##culture:co#seed:6#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1750, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
6,co,0,0,0.013440083278157324,5
6,co,0,1,0.03274168060826438,5
6,co,0,2,0.06660561086127542,5
6,co,0,3,0.07790820928584227,5
6,co,0,4,0.0811444866760138,5
6,co,0,5,0.08274840885440184,5
6,co,0,6,0.08393109474601941,5
6,co,0,7,0.08497228571422234,5
6,co,0,8,0.08592544632421338,5
6,co,0,9,0.11868015503919745,5
6,co,1,0,0.03429450221643556,5
6,co,1,1,0.05830326593569509,5
6,co,1,2,0.07035538845144118,5
6,co,1,3,0.07863982917404026,5
6,co,1,4,0.07976262949004673,5
6,co,1,5,0.09952445189668342,5
6,co,1,6,0.10288272919782963,5
6,co,1,7,0.1257556847612441,5
6,co,1,8,0.1391971597785171,5
6,co,1,9,0.15161263538930808,5
6,co,2,0,0.013440083278157324,5
6,co,2,1,0.04604729276996903,5
6,co,2,2,0.12744337462186142,5
6,co,2,3,0.15729335246961604,5
6,co,2,4,0.16875992594269051,5
6,co,2,5,0.17696491067035805,5
6,co,2,6,0.18706782455141768,5
6,co,2,7,0.19298628358372397,5
6,co,2,8,0.19746380923890633,5
6,co,2,9,0.21506724699022567,5
6,co,3,0,0.025276146134475673,5
6,co,3,1,0.07494839923937827,5
6,co,3,2,0.11737210379944102,5
6,co,3,3,0.13690366908369458,5
6,co,3,4,0.14642258062338284,5
6,co,3,5,0.15078131798502295,5
6,co,3,6,0.15415939689877173,5
6,co,3,7,0.16940943219133806,5
6,co,3,8,0.17215388108082746,5
6,co,3,9,0.18837279357304046,5
6,co,4,0,0.013440083278157324,5
6,co,4,1,0.013440077653138278,5
6,co,4,2,0.013440077283625637,5
6,co,4,3,0.018911348437882617,5
6,co,4,4,0.021816451945101973,5
6,co,4,5,0.028042529212674396,5
6,co,4,6,0.03491137296361395,5
6,co,4,7,0.04443095312023606,5
6,co,4,8,0.0799654040923698,5
6,co,4,9,0.12323183712581126,5
