##culture:mono#seed:3#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(750, 2000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
3,mono,0,0,0.013440843113687238,5
3,mono,0,1,0.013500779671261415,5
3,mono,0,2,0.013687942744252732,5
3,mono,0,3,0.014585291414423319,5
3,mono,0,4,0.018204327960940757,5
3,mono,0,5,0.03051432437204196,5
3,mono,0,6,0.055452887247357426,5
3,mono,0,7,0.07735210960405024,5
3,mono,0,8,0.08814297142709566,5
3,mono,0,9,0.09438461884202441,5
3,mono,1,0,0.013440843113687238,5
3,mono,1,1,0.013491469286628867,5
3,mono,1,2,0.013729861412398011,5
3,mono,1,3,0.01503083115173515,5
3,mono,1,4,0.021796166047434156,5
3,mono,1,5,0.04749571862399971,5
3,mono,1,6,0.08867627402427693,5
3,mono,1,7,0.10928758993994474,5
3,mono,1,8,0.11420146760742352,5
3,mono,1,9,0.1151724553246257,5
3,mono,2,0,0.013440843113687238,5
3,mono,2,1,0.013440843113687238,5
3,mono,2,2,0.013440843113687238,5
3,mono,2,3,0.013440843113687238,5
3,mono,2,4,0.013440843113687238,5
3,mono,2,5,0.013465895575908302,5
3,mono,2,6,0.013532400184579954,5
3,mono,2,7,0.01377428153033983,5
3,mono,2,8,0.014714898702795411,5
3,mono,2,9,0.01789397616827611,5
3,mono,3,0,0.013440843113687238,5
3,mono,3,1,0.013440843113687238,5
3,mono,3,2,0.013463927514813909,5
3,mono,3,3,0.013591425643249265,5
3,mono,3,4,0.014058772086551296,5
3,mono,3,5,0.016138979769442487,5
3,mono,3,6,0.02498121320848055,5
3,mono,3,7,0.05157498714149887,5
3,mono,3,8,0.08657926033911799,5
3,mono,3,9,0.10520271746402447,5
3,mono,4,0,0.013475490346852826,5
3,mono,4,1,0.013594684607257277,5
3,mono,4,2,0.014119915755395637,5
3,mono,4,3,0.016410206818219208,5
3,mono,4,4,0.024991137929209557,5
3,mono,4,5,0.04625245896024895,5
3,mono,4,6,0.06928780172201453,5
3,mono,4,7,0.07978975481602635,5
3,mono,4,8,0.0829216394559593,5
3,mono,4,9,0.08408677055272629,5
