##culture:co#seed:7#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
7,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5,1.0,1000.0,0.0
7,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5,1.0,1000.0,0.0
7,co,0,0,1,Escherichia coli,E0c0,0.033689731871209064,0.07413862500794409,0.10782835687915315,1.0,5,2.6532457880357097,997.5538892285242,0.03739997510976706
7,co,0,0,1,Salmonella enterica,S0c0,0.033689731871209064,2.533163513879147,2.566853245750356,1.0,5,2.6532457880357097,997.5538892285242,0.03739997510976706
7,co,0,0,2,Escherichia coli,E0c0,7.427828567349915e-12,999.1076183344322,999.1076183344396,1.0,5,344.3999276760101,-1.2404429722158573e-35,-1.0230417339917878e-26
7,co,0,0,2,Escherichia coli,E1c0,7.427828567349915e-12,507.56674665688877,507.5667466568962,1.3161556450760423,5,344.3999276760101,-1.2404429722158573e-35,-1.0230417339917878e-26
7,co,0,0,2,Salmonella enterica,S0c0,1.0,0.0,1.0,1.0,5,344.3999276760101,-1.2404429722158573e-35,-1.0230417339917878e-26
7,co,0,1,1,Escherichia coli,E0c0,3.3659670742972927,3.3742222422574724,6.7401893165547655,1.0,5,308.9034032178142,631.2937783600413,371.91363829764384
7,co,0,1,1,Escherichia coli,E1c0,5.683335238177507,3.5012499412183753,9.184585179395881,1.3161556450760423,5,308.9034032178142,631.2937783600413,371.91363829764384
7,co,0,1,1,Salmonella enterica,S0c0,0.0033689734844665857,0.017010707783539664,0.02037968126800625,1.0,5,308.9034032178142,631.2937783600413,371.91363829764384
7,co,0,1,2,Escherichia coli,E0c0,9.376647677235454e-14,446.35814547232604,446.35814547232616,1.0,5,344.3999276760061,2.429647013214809e-41,-2.676393992540631e-31
7,co,0,1,2,Escherichia coli,E1c0,8.321506891453697e-11,569.5664157335902,569.5664157336735,1.3161556450760423,5,344.3999276760061,2.429647013214809e-41,-2.676393992540631e-31
7,co,0,1,2,Salmonella enterica,S0c0,9.385020786370055e-17,505.0202736270154,505.0202736270154,1.0,5,344.3999276760061,2.429647013214809e-41,-2.676393992540631e-31
7,co,0,2,1,Escherichia coli,E0c0,1.5037687579290457,1.5032749875458513,3.0070437454748973,1.0,5,508.5790482787395,752.6710504625994,8.889365460374949
7,co,0,2,1,Escherichia coli,E1c0,6.377559016087726,3.9198190080819693,10.297378024169696,1.3161556450760423,5,508.5790482787395,752.6710504625994,8.889365460374949
7,co,0,2,1,Salmonella enterica,S0c0,1.7013999123897865,9.895883520008537,11.597283432398324,1.0,5,508.5790482787395,752.6710504625994,8.889365460374949
7,co,0,2,2,Escherichia coli,E0c0,5.269482608720859e-12,251.50722238978415,251.5072223897894,1.0,5,344.39992767605685,6.195974835810407e-32,1.9488707708609886e-17
7,co,0,2,2,Escherichia coli,E1c0,2.8569717708432525e-11,761.7969866354063,761.7969866354348,1.3161556450760423,5,344.39992767605685,6.195974835810407e-32,1.9488707708609886e-17
7,co,0,2,2,Salmonella enterica,S0c0,5.9620185257105635e-12,516.5971749554795,516.5971749554855,1.0,5,344.39992767605685,6.195974835810407e-32,1.9488707708609886e-17
7,co,0,3,1,Escherichia coli,E0c0,0.8473211609988506,0.8470134698776403,1.6943346308764908,1.0,5,511.96431287146214,754.4074093442487,3.018170291823331
7,co,0,3,1,Escherichia coli,E1c0,8.53000651683048,5.2426224621054525,13.772628978935934,1.3161556450760423,5,511.96431287146214,754.4074093442487,3.018170291823331
7,co,0,3,1,Salmonella enterica,S0c0,1.7404021796782358,11.527859102905229,13.268261282583465,1.0,5,511.96431287146214,754.4074093442487,3.018170291823331
7,co,0,3,2,Escherichia coli,E0c0,0.0,124.1314684982019,124.1314684982019,1.0,5,344.3999276760191,-5.311901389484288e-32,7.769800914688189e-18
7,co,0,3,2,Escherichia coli,E1c0,3.2827581243343224e-09,891.3352819206631,891.3352819239458,1.3161556450760423,5,344.3999276760191,-5.311901389484288e-32,7.769800914688189e-18
7,co,0,3,2,Salmonella enterica,S0c0,0.0,518.2681524549818,518.2681524549818,1.0,5,344.3999276760191,-5.311901389484288e-32,7.769800914688189e-18
7,co,0,4,1,Escherichia coli,E0c0,0.4181956248619477,0.41804172777405263,0.8362373526360003,1.0,5,512.2076818640294,754.6086839583215,2.528675840331834
7,co,0,4,1,Escherichia coli,E1c0,9.980474978481618,6.134071278661056,16.114546257142674,1.3161556450760423,5,512.2076818640294,754.6086839583215,2.528675840331834
7,co,0,4,1,Salmonella enterica,S0c0,1.7460316588867069,12.071511265427873,13.81754292431458,1.0,5,512.2076818640294,754.6086839583215,2.528675840331834
7,co,0,4,2,Escherichia coli,E0c0,4.735941468906581e-13,56.45652159077347,56.456521590773946,1.0,5,344.39992767602206,9.437782578891398e-36,-5.759097946062969e-21
7,co,0,4,2,Escherichia coli,E1c0,0.0,960.4940485273594,960.4940485273594,1.3161556450760423,5,344.39992767602206,9.437782578891398e-36,-5.759097946062969e-21
7,co,0,4,2,Salmonella enterica,S0c0,1.9773290926537386e-12,518.8174339813826,518.8174339813845,1.0,5,344.39992767602206,9.437782578891398e-36,-5.759097946062969e-21
7,co,0,5,1,Escherichia coli,E0c0,0.19020052425852885,0.1901302376244414,0.3803307618829702,1.0,5,512.2575542130112,754.6349364178861,2.4415876471671094
7,co,0,5,1,Escherichia coli,E1c0,10.754860731272618,6.610006919616,17.36486765088862,1.3161556450760423,5,512.2575542130112,754.6349364178861,2.4415876471671094
7,co,0,5,1,Salmonella enterica,S0c0,1.747882178307105,12.283728294703359,14.031610473010463,1.0,5,512.2575542130112,754.6349364178861,2.4415876471671094
7,co,0,5,2,Escherichia coli,E0c0,1.7223424703878914e-14,24.643631660104614,24.64363166010463,1.0,5,344.3999276760102,-2.3431299461733054e-34,9.526846446979498e-22
7,co,0,5,2,Escherichia coli,E1c0,5.085962378236465e-10,992.1013530974163,992.101353097925,1.3161556450760423,5,344.3999276760102,-2.3431299461733054e-34,9.526846446979498e-22
7,co,0,5,2,Escherichia coli,E2c5,1.5827787776025038e-13,518.0315014851177,518.0315014851178,1.583576536097786,5,344.3999276760102,-2.3431299461733054e-34,9.526846446979498e-22
