##culture:co#seed:5#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
5,co,0,0,0.029734424770044954,5
5,co,0,1,0.0693630893589267,5
5,co,0,2,0.08985234813052989,5
5,co,0,3,0.09439811695123126,5
5,co,0,4,0.09540536281820379,5
5,co,0,5,0.09567447887329723,5
5,co,0,6,0.10029680572938628,5
5,co,0,7,0.10110998099314232,5
5,co,0,8,0.10178741335371372,5
5,co,0,9,0.10249704557038815,5
5,co,1,0,0.013440405764986977,5
5,co,1,1,0.013440386272528292,5
5,co,1,2,0.02455524795419718,5
5,co,1,3,0.0425902060038664,5
5,co,1,4,0.07087202168489724,5
5,co,1,5,0.08812338311878044,5
5,co,1,6,0.11966798275134401,5
5,co,1,7,0.13946230091155928,5
5,co,1,8,0.15082065750075374,5
5,co,1,9,0.1589871654408523,5
5,co,2,0,0.013440405764986977,5
5,co,2,1,0.013440386272528292,5
5,co,2,2,0.02091372881201751,5
5,co,2,3,0.029820251146435797,5
5,co,2,4,0.038849816089901304,5
5,co,2,5,0.044473243694283966,5
5,co,2,6,0.04691482737690181,5
5,co,2,7,0.047806964737509505,5
5,co,2,8,0.04811197930604544,5
5,co,2,9,0.04821386745285432,5
5,co,3,0,0.013440405764986977,5
5,co,3,1,0.013440386272528292,5
5,co,3,2,0.013440384390311479,5
5,co,3,3,0.028817110141799107,5
5,co,3,4,0.050081547009478984,5
5,co,3,5,0.07189221692033142,5
5,co,3,6,0.08945239164341576,5
5,co,3,7,0.09746321666254976,5
5,co,3,8,0.10524122480704443,5
5,co,3,9,0.11439912586148705,5
5,co,4,0,0.03005306885709224,5
5,co,4,1,0.06283585483766221,5
5,co,4,2,0.1023339077046533,5
5,co,4,3,0.119621796074876,5
5,co,4,4,0.12765609498247152,5
5,co,4,5,0.145817042147654,5
5,co,4,6,0.15485295606012134,5
5,co,4,7,0.16051969703366406,5
5,co,4,8,0.17585778615421577,5
5,co,4,9,0.1822475628980377,5
