##culture:co#seed:6#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
6,co,0,0,6.5
6,co,0,1,6.800000000000001
6,co,0,2,6.9
6,co,0,3,6.9
6,co,0,4,7.0
6,co,0,5,7.0
6,co,0,6,7.0
6,co,0,7,8.6
6,co,0,8,9.0
6,co,0,9,9.200000000000001
6,co,1,0,5.300000000000001
6,co,1,1,5.300000000000001
6,co,1,2,7.2
6,co,1,3,8.3
6,co,1,4,8.4
6,co,1,5,8.5
6,co,1,6,12.4
6,co,1,7,13.0
6,co,1,8,13.3
6,co,1,9,13.5
6,co,2,0,5.300000000000001
6,co,2,1,5.300000000000001
6,co,2,2,5.300000000000001
6,co,2,3,8.1
6,co,2,4,8.700000000000001
6,co,2,5,8.9
6,co,2,6,10.700000000000001
6,co,2,7,11.0
6,co,2,8,11.200000000000001
6,co,2,9,11.5
6,co,3,0,5.300000000000001
6,co,3,1,5.300000000000001
6,co,3,2,5.300000000000001
6,co,3,3,5.300000000000001
6,co,3,4,5.300000000000001
6,co,3,5,7.2
6,co,3,6,8.5
6,co,3,7,13.4
6,co,3,8,15.0
6,co,3,9,15.3
6,co,4,0,5.300000000000001
6,co,4,1,5.300000000000001
6,co,4,2,5.300000000000001
6,co,4,3,6.1000000000000005
6,co,4,4,6.2
6,co,4,5,6.300000000000001
6,co,4,6,6.300000000000001
6,co,4,7,6.300000000000001
6,co,4,8,6.300000000000001
6,co,4,9,6.4
