##culture:mono#seed:499#rep:10#mu:(0.0005, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
mono,0,0,0,Escherichia coli,E0c0,0.0,10.0,1.0,1000.0,1000.0,0.0
mono,0,0,1,Escherichia coli,E0c0,0.0671853272472443,0.06737946805099602,1.0,999.5067032497818,995.0672574978179,4.982044677204266
mono,0,0,2,Escherichia coli,E0c0,1000.1343547673422,5.783866679499471e-11,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,1,1,Escherichia coli,E0c0,3.3597622726362864,3.3694261215891625,1.0,1425.3329703014497,753.3309855143577,754.135560705512
mono,0,1,2,Escherichia coli,E0c0,1006.7289769979799,-5.1605449870744865e-12,1.0,899.9998110000291,-2.2351571565172735e-25,1009.9997879000317
mono,0,2,1,Escherichia coli,E0c0,3.381933816780379,3.391643228719347,1.0,1425.1703241815562,751.7045243153797,755.7782865164843
mono,0,2,2,Escherichia coli,E0c0,1006.7733656400436,-1.307058002856663e-11,1.0,899.9998110000217,3.3332931776252268e-22,1009.9997879000235
mono,0,3,1,Escherichia coli,E0c0,3.382083055294517,3.3917927728574364,1.0,1425.1692294046563,751.6935765464154,755.7893437631362
mono,0,3,2,Escherichia coli,E0c0,1006.773664422633,-1.2029043715630644e-11,1.0,899.9998110000216,2.8167917819691284e-22,1009.9997879000244
mono,0,4,1,Escherichia coli,E0c0,3.3820840586459973,3.3917937797646016,1.0,1425.1692220356044,751.6935028558981,755.7894181905586
mono,0,4,2,Escherichia coli,E0c0,1006.773666432892,-1.2071282993126175e-11,1.0,899.9998110000219,2.8378863214446206e-22,1009.9997879000263
mono,0,5,1,Escherichia coli,E0c0,3.3820840654046997,3.3917937865373045,1.0,1425.1692219860242,751.6935023600985,755.7894186913165
mono,0,5,2,Escherichia coli,E0c0,1006.7736664464219,-1.2040463786861125e-11,1.0,899.9998110000233,2.822521272579714e-22,1009.9997879000242
mono,0,6,1,Escherichia coli,E0c0,3.3820840666344893,3.3917937862810583,1.0,1425.169221985735,751.6935023572038,755.7894186942405
mono,0,6,2,Escherichia coli,E0c0,1005.773666447398,-1.2033807913991919e-11,1.0,899.9998110000229,2.8191285375718553e-22,1009.9997879000257
mono,0,6,2,Escherichia coli,E1c6,1.0,0.0,1.8441223024538371,899.9998110000229,2.8191285375718553e-22,1009.9997879000257
mono,0,7,1,Escherichia coli,E0c0,3.378724403169895,3.388424813102962,1.0,1425.171166030588,751.712942805714,755.7697838412445
mono,0,7,1,Escherichia coli,E1c6,0.012384915587257048,0.03322462038615512,1.8441223024538371,1425.171166030588,751.712942805714,755.7697838412445
mono,0,7,2,Escherichia coli,E0c0,1001.0560517940693,2.1696553981534634e-10,1.0,899.9998110000204,5.691202806565016e-21,1009.9997879000238
