seed,culture,rep,cycle,frac,duration
307,co,0,0,0.008914445039022542,5
307,co,0,1,0.022897758152758494,5
307,co,0,2,0.0385233377894356,5
307,co,0,3,0.04557727962067664,5
307,co,0,4,0.04764850096324417,5
307,co,0,5,0.0483042123042053,5
307,co,0,6,0.04894374640560577,5
307,co,0,7,0.049203363837490126,5
307,co,0,8,0.04942626320477073,5
307,co,0,9,0.04968858107345305,5
307,co,1,0,0.008914445039022542,5
307,co,1,1,0.009544850169827934,5
307,co,1,2,0.009689310757474114,5
307,co,1,3,0.021915762538603757,5
307,co,1,4,0.034164758618776485,5
307,co,1,5,0.04086423725813611,5
307,co,1,6,0.04334834217194862,5
307,co,1,7,0.04391727935665334,5
307,co,1,8,0.04452536269478966,5
307,co,1,9,0.06395530590056857,5
307,co,2,0,0.008914445039022542,5
307,co,2,1,0.008822661482722085,5
307,co,2,2,0.030979955515813094,5
307,co,2,3,0.0596674530079803,5
307,co,2,4,0.06915782181973183,5
307,co,2,5,0.07063764697294103,5
307,co,2,6,0.07891798287545544,5
307,co,2,7,0.08183368025495072,5
307,co,2,8,0.08471749799051664,5
307,co,2,9,0.08772184456115427,5
307,co,3,0,0.008914453174064719,5
307,co,3,1,0.02811059110241057,5
307,co,3,2,0.05199871596615671,5
307,co,3,3,0.060849208304411484,5
307,co,3,4,0.06258275749752008,5
307,co,3,5,0.06278946208908365,5
307,co,3,6,0.06277284413855777,5
307,co,3,7,0.06274805917858857,5
307,co,3,8,0.06273559451343082,5
307,co,3,9,0.06275584251957259,5
307,co,4,0,0.008914448480481549,5
307,co,4,1,0.008822577385353386,5
307,co,4,2,0.008819221699400219,5
307,co,4,3,0.008818840835681288,5
307,co,4,4,0.016253264058260868,5
307,co,4,5,0.04704702694292474,5
307,co,4,6,0.07367694616198696,5
307,co,4,7,0.08911983299804292,5
307,co,4,8,0.09570180553364421,5
307,co,4,9,0.09835259889335517,5
