seed,culture,rep,cycle,tol_time
307,co,0,0,4.89
307,co,0,1,6.24
307,co,0,2,7.25
307,co,0,3,7.59
307,co,0,4,7.68
307,co,0,5,7.71
307,co,0,6,7.74
307,co,0,7,7.75
307,co,0,8,7.7700000000000005
307,co,0,9,7.78
307,co,1,0,4.89
307,co,1,1,4.96
307,co,1,2,4.97
307,co,1,3,6.13
307,co,1,4,6.96
307,co,1,5,7.3100000000000005
307,co,1,6,7.42
307,co,1,7,7.45
307,co,1,8,7.47
307,co,1,9,8.83
307,co,2,0,4.89
307,co,2,1,4.88
307,co,2,2,7.04
307,co,2,3,8.58
307,co,2,4,8.92
307,co,2,5,8.97
307,co,2,6,9.540000000000001
307,co,2,7,9.72
307,co,2,8,9.91
307,co,2,9,10.11
307,co,3,0,4.89
307,co,3,1,6.75
307,co,3,2,8.120000000000001
307,co,3,3,8.47
307,co,3,4,8.53
307,co,3,5,8.540000000000001
307,co,3,6,8.540000000000001
307,co,3,7,8.540000000000001
307,co,3,8,8.540000000000001
307,co,3,9,8.540000000000001
307,co,4,0,4.89
307,co,4,1,4.88
307,co,4,2,4.88
307,co,4,3,4.88
307,co,4,4,5.61
307,co,4,5,8.21
307,co,4,6,9.63
307,co,4,7,10.26
307,co,4,8,10.51
307,co,4,9,10.6
