seed,culture,rep,cycle,tol_time
307,mono,0,0,5.3
307,mono,0,1,5.3
307,mono,0,2,5.33
307,mono,0,3,5.44
307,mono,0,4,5.94
307,mono,0,5,7.23
307,mono,0,6,8.41
307,mono,0,7,8.85
307,mono,0,8,8.950000000000001
307,mono,0,9,8.97
307,mono,1,0,5.3100000000000005
307,mono,1,1,5.34
307,mono,1,2,5.51
307,mono,1,3,6.23
307,mono,1,4,7.79
307,mono,1,5,8.870000000000001
307,mono,1,6,9.200000000000001
307,mono,1,7,9.28
307,mono,1,8,9.3
307,mono,1,9,9.31
307,mono,2,0,5.3100000000000005
307,mono,2,1,5.32
307,mono,2,2,5.39
307,mono,2,3,5.63
307,mono,2,4,6.36
307,mono,2,5,7.44
307,mono,2,6,8.15
307,mono,2,7,8.5
307,mono,2,8,8.82
307,mono,2,9,9.27
307,mono,3,0,5.3100000000000005
307,mono,3,1,5.33
307,mono,3,2,5.49
307,mono,3,3,6.18
307,mono,3,4,7.78
307,mono,3,5,8.93
307,mono,3,6,9.28
307,mono,3,7,9.36
307,mono,3,8,9.38
307,mono,3,9,9.41
307,mono,4,0,5.3
307,mono,4,1,5.29
307,mono,4,2,5.29
307,mono,4,3,5.29
307,mono,4,4,5.29
307,mono,4,5,5.29
307,mono,4,6,5.29
307,mono,4,7,5.29
307,mono,4,8,5.29
307,mono,4,9,5.29
