seed,culture,rep,cycle,tol_time

307,co,0,0,5.300000000000001

307,co,0,1,6.9

307,co,0,2,8.0

307,co,0,3,8.4

307,co,0,4,8.5

307,co,0,5,8.6

307,co,0,6,8.6

307,co,0,7,8.6

307,co,0,8,8.6

307,co,0,9,8.6

307,co,1,0,5.300000000000001

307,co,1,1,5.4

307,co,1,2,5.4

307,co,1,3,6.800000000000001

307,co,1,4,7.7

307,co,1,5,8.1

307,co,1,6,8.200000000000001

307,co,1,7,8.200000000000001

307,co,1,8,8.200000000000001

307,co,1,9,9.8

307,co,2,0,5.300000000000001

307,co,2,1,5.300000000000001

307,co,2,2,7.9

307,co,2,3,9.5

307,co,2,4,9.9

307,co,2,5,10.0

307,co,2,6,10.600000000000001

307,co,2,7,10.8

307,co,2,8,11.100000000000001

307,co,2,9,11.3

307,co,3,0,5.300000000000001

307,co,3,1,7.5

307,co,3,2,9.0

307,co,3,3,9.4

307,co,3,4,9.5

307,co,3,5,9.5

307,co,3,6,9.5

307,co,3,7,9.5

307,co,3,8,9.5

307,co,3,9,9.5

307,co,4,0,5.300000000000001

307,co,4,1,5.300000000000001

307,co,4,2,5.300000000000001

307,co,4,3,5.300000000000001

307,co,4,4,6.2

307,co,4,5,9.200000000000001

307,co,4,6,10.700000000000001

307,co,4,7,11.4

307,co,4,8,11.700000000000001

307,co,4,9,11.8

