seed,culture,rep,cycle,tol_time

307,mono,0,0,5.300000000000001

307,mono,0,1,5.4

307,mono,0,2,5.4

307,mono,0,3,5.5

307,mono,0,4,6.0

307,mono,0,5,7.300000000000001

307,mono,0,6,8.5

307,mono,0,7,9.0

307,mono,0,8,9.1

307,mono,0,9,9.1

307,mono,1,0,5.4

307,mono,1,1,5.4

307,mono,1,2,5.6000000000000005

307,mono,1,3,6.300000000000001

307,mono,1,4,7.9

307,mono,1,5,9.0

307,mono,1,6,9.3

307,mono,1,7,9.4

307,mono,1,8,9.4

307,mono,1,9,9.5

307,mono,2,0,5.4

307,mono,2,1,5.4

307,mono,2,2,5.4

307,mono,2,3,5.7

307,mono,2,4,6.4

307,mono,2,5,7.5

307,mono,2,6,8.200000000000001

307,mono,2,7,8.6

307,mono,2,8,8.9

307,mono,2,9,9.4

307,mono,3,0,5.4

307,mono,3,1,5.4

307,mono,3,2,5.5

307,mono,3,3,6.2

307,mono,3,4,7.9

307,mono,3,5,9.0

307,mono,3,6,9.4

307,mono,3,7,9.5

307,mono,3,8,9.5

307,mono,3,9,9.600000000000001

307,mono,4,0,5.300000000000001

307,mono,4,1,5.300000000000001

307,mono,4,2,5.300000000000001

307,mono,4,3,5.300000000000001

307,mono,4,4,5.300000000000001

307,mono,4,5,5.300000000000001

307,mono,4,6,5.300000000000001

307,mono,4,7,5.300000000000001

307,mono,4,8,5.300000000000001

307,mono,4,9,5.300000000000001

