seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
166,mono,0,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1.0,5,1000.0,1000.0,0.0
166,mono,0,0,1,Escherichia coli,E0c0,0.06737946805099602,0.0671853272472443,0.13456479529824034,1.0,5,999.5067032497818,995.0672574978179,4.982044677204266
166,mono,0,0,2,Escherichia coli,E0c0,5.783866679499471e-11,1000.1343547673422,1000.1343547674,1.0,5,449.99990550001,-9.151738254385038e-28,504.99989395001097
166,mono,0,1,1,Escherichia coli,E0c0,3.3694261215891625,3.3597622726362864,6.729188394225449,1.0,5,1425.3329703014497,753.3309855143577,754.135560705512
166,mono,0,1,2,Escherichia coli,E0c0,-5.1605449870744865e-12,1006.7289769979799,1006.7289769979748,1.0,5,449.99990550001456,-1.1175785782586367e-25,504.99989395001586
166,mono,0,2,1,Escherichia coli,E0c0,3.391643228719347,3.381933816780379,6.773577045499726,1.0,5,1425.1703241815562,751.7045243153797,755.7782865164843
166,mono,0,2,2,Escherichia coli,E0c0,-1.307058002856663e-11,1005.7733656400436,1005.7733656400305,1.0,5,449.99990550001087,1.6666465888126134e-22,504.99989395001177
166,mono,0,2,2,Escherichia coli,E1c2,1.0,0.0,1.0,1.5256033362504788,5,449.99990550001087,1.6666465888126134e-22,504.99989395001177
166,mono,0,3,1,Escherichia coli,E0c0,3.3884237996911706,3.3787235253561008,6.767147325047271,1.0,5,1425.1702967693063,751.704250192914,755.7785633801726
166,mono,0,3,1,Escherichia coli,E1c2,0.018863261778778388,0.009212535509707376,0.028075797288485763,1.5256033362504788,5,1425.1702967693063,751.704250192914,755.7785633801726
166,mono,0,3,2,Escherichia coli,E0c0,-5.177800207419848e-11,1003.4942061835947,1003.4942061835429,1.0,5,449.99990550001115,1.765722967996782e-24,504.999893950013
166,mono,0,3,2,Escherichia coli,E1c2,-2.9355391343703656e-11,3.3008055289376927,3.3008055289083376,1.5256033362504788,5,449.99990550001115,1.765722967996782e-24,504.999893950013
166,mono,0,4,1,Escherichia coli,E0c0,3.380745371918208,3.3710666803487346,6.751812052266942,1.0,5,1425.1722187010885,751.7234695107202,755.7591518691889
166,mono,0,4,1,Escherichia coli,E1c2,0.06226395877263794,0.030408785633864056,0.092672744406502,1.5256033362504788,5,1425.1722187010885,751.7234695107202,755.7591518691889
166,mono,0,4,2,Escherichia coli,E0c0,3.3682737505799793e-10,994.0056913006242,994.0056913009611,1.0,5,449.9999055000101,6.107794301312492e-17,504.999893950011
166,mono,0,4,2,Escherichia coli,E1c2,1.1442415824651165e-10,10.838582075656083,10.838582075770507,1.5256033362504788,5,449.9999055000101,6.107794301312492e-17,504.999893950011
166,mono,0,4,2,Escherichia coli,E2c4,1.0,0.0,1.0,2.0687177411436712,5,449.9999055000101,6.107794301312492e-17,504.999893950011
166,mono,0,4,2,Escherichia coli,E3c4,1.0,0.0,1.0,1.3275632882921127,5,449.9999055000101,6.107794301312492e-17,504.999893950011
166,mono,0,5,1,Escherichia coli,E0c0,3.3487788168847348,3.339189750402028,6.687968567286763,1.0,5,1425.1822468484327,751.8237509842014,755.6578675809709
166,mono,0,5,1,Escherichia coli,E1c2,0.20445101100605376,0.09985077399848949,0.30430178500454325,1.5256033362504788,5,1425.1822468484327,751.8237509842014,755.6578675809709
166,mono,0,5,1,Escherichia coli,E2c4,0.044596348380863494,0.014244818210617148,0.05884116659148064,2.0687177411436712,5,1425.1822468484327,751.8237509842014,755.6578675809709
166,mono,0,5,1,Escherichia coli,E3c4,0.011568770998663422,0.006998297335102528,0.01856706833376595,1.3275632882921127,5,1425.1822468484327,751.8237509842014,755.6578675809709
166,mono,0,5,2,Escherichia coli,E0c0,-1.501245161603554e-10,964.4359166205998,964.4359166204496,1.0,5,449.99990550000985,1.8084296006665308e-21,504.999893950012
166,mono,0,5,2,Escherichia coli,E1c2,-1.029719180536108e-10,34.79078775734775,34.79078775724478,1.5256033362504788,5,449.99990550000985,1.8084296006665308e-21,504.999893950012
166,mono,0,5,2,Escherichia coli,E2c4,1.8640062910836925e-09,5.539992191304162,5.539992193168168,2.0687177411436712,5,449.99990550000985,1.8084296006665308e-21,504.999893950012
166,mono,0,5,2,Escherichia coli,E3c4,-9.532550726764862e-12,2.302770550594293,2.3027705505847607,1.3275632882921127,5,449.99990550000985,1.8084296006665308e-21,504.999893950012
166,mono,0,6,1,Escherichia coli,E0c0,3.249159029790528,3.239849234133875,6.489008263924402,1.0,5,1425.2148591728228,752.1498742280975,755.3284831046358
