seed,met,lac,mdkratio
1,250,250,0.23499365809305978
1,250,500,1.8308718125878238
1,250,750,0.673103073354146
1,250,1000,0.8595696316323569
1,250,1250,2.5369448755100237
1,250,1500,1.6935025582431353
1,250,1750,0.9424006216896218
1,250,2000,1.2307427969847655
2,500,250,0.4622371052635581
2,500,500,3.5394732561530797
2,500,750,12.818114452170775
2,500,1000,1.3976938935048018
2,500,1250,1.1402459147914412
2,500,1500,2.387358981732676
2,500,1750,1.9475458312310887
2,500,2000,1.7085045084577335
3,750,250,19.91186149668294
3,750,500,2.2718483011383688
3,750,750,0.9438420739743781
3,750,1000,1.1348163764570158
3,750,1250,1.2896109585619715
3,750,1500,1.2821650464910141
3,750,1750,1.8566507149365052
3,750,2000,1.4402844675874302
4,1000,250,1.570229923384752
4,1000,500,2.4721286285564887
4,1000,750,2.2546243651368267
4,1000,1000,1.2654291613180866
4,1000,1250,1.0651073033552823
4,1000,1500,1.305252995412864
4,1000,1750,1.2660055225175804
4,1000,2000,2.1320206856725425
5,1250,250,1.3798977416263776
5,1250,500,1.2052103511751844
5,1250,750,5.860589347838025
5,1250,1000,0.887116227922266
5,1250,1250,2.1899035310998043
5,1250,1500,2.003717539791499
5,1250,1750,1.8674611540400432
5,1250,2000,1.519335255560878
6,1500,250,3.2166040111985406
6,1500,500,1.5025503104609217
6,1500,750,0.7439987421967019
6,1500,1000,5.980956881671777
6,1500,1250,0.8611972215502145
6,1500,1500,1.6904801664907632
6,1500,1750,1.5849531470984088
6,1500,2000,1.0610103803972737
7,1750,250,1.5332140225300839
7,1750,500,75.38964371059546
7,1750,750,2.2643910577110296
7,1750,1000,1.1649112775984287
7,1750,1250,1.4127887706840403
7,1750,1500,0.8991872776234344
7,1750,1750,1.1403814208886744
7,1750,2000,1.4531889394603765
8,2000,250,0.9726793183692789
8,2000,500,1.1535965275233557
8,2000,750,0.8458578723132244
8,2000,1000,1.6441052924734831
8,2000,1250,1.0192734702546207
8,2000,1500,1.0350440522786488
8,2000,1750,2.649672566350324
8,2000,2000,1.1218807333837002
