seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
721,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
721,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5
721,co,0,0,1,Escherichia coli,E0c0,0.03368961329846606,0.07401308530230857,0.10770269860077464,1.0,5
721,co,0,0,1,Salmonella enterica,S0c0,0.03368961329846606,2.5330683283576207,2.566757941656087,1.0,5
721,co,0,0,2,Escherichia coli,E0c0,4.380001943405839e-06,2780.107467053715,2780.107471433717,1.0,5
721,co,0,0,2,Salmonella enterica,S0c0,4.380001943405839e-06,1406.4666596607317,1406.4666640407336,1.0,5
721,co,0,1,1,Escherichia coli,E0c0,9.36610882530059,9.324563338152455,18.690672163453044,1.0,5
721,co,0,1,1,Salmonella enterica,S0c0,4.738349005577117,25.069846948601338,29.808195954178455,1.0,5
721,co,0,1,2,Escherichia coli,E0c0,4.999147906086967e-06,1044.1514521012996,1044.1514571004475,1.0,5
721,co,0,1,2,Escherichia coli,E1c1,6.291935004190666e-05,1781.3470937747697,1781.3471566941198,1.7812540806272765,5
721,co,0,1,2,Salmonella enterica,S0c0,4.991706069711325e-06,502.1185639461475,502.1185689378536,1.0,5
721,co,0,1,2,Salmonella enterica,S1c1,5.438523727127946e-06,487.801293722451,487.80129916097474,1.092998270163047,5
721,co,0,1,2,Salmonella enterica,S2c1,8.213858284448568e-06,416.98006111641564,416.9800693302739,1.6428917165916148,5
721,co,0,2,1,Escherichia coli,E0c0,3.517718381617282,3.5021174754048348,7.019835857022117,1.0,5
721,co,0,2,1,Escherichia coli,E1c1,53.78351006448305,21.00747857270256,74.79098863718562,1.7812540806272765,5
721,co,0,2,1,Salmonella enterica,S0c0,1.6916232413974364,9.164466270177844,10.85608951157528,1.0,5
721,co,0,2,1,Salmonella enterica,S1c1,2.514787696290915,10.10939264951485,12.624180345805765,1.092998270163047,5
721,co,0,2,1,Salmonella enterica,S2c1,9.939105167076905,14.112388969869343,24.051494136946246,1.6428917165916148,5
721,co,0,2,2,Escherichia coli,E0c0,4.999805639817881e-06,323.57023271325045,323.5702377130561,1.0,5
721,co,0,2,2,Escherichia coli,E1c1,0.0007154617357547919,2538.239617508077,2538.2403329698127,1.7812540806272765,5
721,co,0,2,2,Salmonella enterica,S0c0,4.999254653226675e-06,355.35691736067247,355.3569223599271,1.0,5
721,co,0,2,2,Salmonella enterica,S1c1,5.464011890463805e-06,406.52243138573084,406.52243684974275,1.092998270163047,5
721,co,0,2,2,Salmonella enterica,S2c1,5.176021987803067e-05,689.552274665906,689.5523264261259,1.6428917165916148,5
721,co,0,3,1,Escherichia coli,E0c0,1.0900999137180214,1.0852554808399129,2.1753553945579345,1.0,5
721,co,0,3,1,Escherichia coli,E1c1,76.63608411200954,29.93335208031958,106.56943619232912,1.7812540806272765,5
721,co,0,3,1,Salmonella enterica,S0c0,1.1971868801770134,7.295231681249352,8.492418561426366,1.0,5
