seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
929,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
929,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5
929,co,0,0,2,Escherichia coli,E0c0,4.988133736906634e-06,2784.9995510668205,2784.999556054954,1.0,5
929,co,0,0,2,Salmonella enterica,S0c0,4.988133736906634e-06,1408.8998400477567,1408.8998450358904,1.0,5
929,co,0,1,1,Escherichia coli,E0c0,9.382589053566772,9.340968874765188,18.72355792833196,1.0,5
929,co,0,1,1,Salmonella enterica,S0c0,4.746546001246007,25.11016741289162,29.856713414137626,1.0,5
929,co,0,1,2,Escherichia coli,E0c0,4.995147302204825e-06,2798.7231047413243,2798.7231097364715,1.0,5
929,co,0,1,2,Salmonella enterica,S0c0,4.98530574666183e-06,1433.7565495063445,1433.7565544916504,1.0,5
929,co,0,2,1,Escherichia coli,E0c0,9.428824110235896,9.386935384949826,18.815759495185723,1.0,5
929,co,0,2,1,Salmonella enterica,S0c0,4.830288170655967,25.991735981990285,30.82202415264625,1.0,5
929,co,0,2,2,Escherichia coli,E0c0,4.995057850522294e-06,2798.815305189563,2798.8153101846206,1.0,5
929,co,0,2,2,Salmonella enterica,S0c0,4.998221710422984e-06,1400.9039639178968,1400.9039689161186,1.0,5
929,co,0,2,2,Salmonella enterica,S1c2,7.904691327853653e-06,33.81800308053561,33.81801098522694,1.581234319868205,5
929,co,0,3,1,Escherichia coli,E0c0,9.429134159390486,9.387252098076695,18.81638625746718,1.0,5
929,co,0,3,1,Salmonella enterica,S0c0,4.719608150561494,25.331441560760194,30.05104971132169,1.0,5
929,co,0,3,1,Salmonella enterica,S1c2,0.7158813440993929,1.096944648441517,1.81282599254091,1.581234319868205,5
929,co,0,3,2,Escherichia coli,E0c0,4.986610822152381e-06,1011.2424655861854,1011.2424705727963,1.0,5
929,co,0,3,2,Escherichia coli,E1c3,9.596964299106258e-06,1815.6245839871685,1815.6245935841328,1.9227804205172843,5
929,co,0,3,2,Salmonella enterica,S0c0,4.997915267886229e-06,796.9927067564613,796.9927117543766,1.0,5
929,co,0,3,2,Salmonella enterica,S1c2,7.903996166252178e-06,297.5424438929382,297.54245179693436,1.581234319868205,5
929,co,0,3,2,Salmonella enterica,S2c3,6.9826339064440975e-06,313.17775245004884,313.17775943268276,1.396719904043925,5
929,co,0,4,1,Escherichia coli,E0c0,3.4068490318514293,3.391721229874829,6.798570261726258,1.0,5
929,co,0,4,1,Escherichia coli,E1c3,67.39943938198121,23.709277657918065,91.10871703989928,1.9227804205172843,5
929,co,0,4,1,Salmonella enterica,S0c0,2.685047645031681,15.280903816533161,17.965951461564842,1.0,5
