seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
949,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
949,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5
949,co,0,0,1,Escherichia coli,E0c0,0.03368944706474438,0.07413830138372896,0.10782774844847334,1.0,5
949,co,0,0,1,Salmonella enterica,S0c0,0.03368944706474438,2.53316273713654,2.5668521842012844,1.0,5
949,co,0,0,2,Escherichia coli,E0c0,4.9886744425845286e-06,1000.1077786740343,1000.1077836627087,1.0,5
949,co,0,0,2,Salmonella enterica,S0c0,4.9886744425845286e-06,507.5668523641735,507.56685735284793,1.0,5
949,co,0,1,1,Escherichia coli,E0c0,3.3693374000995133,3.3682293102236516,6.737566710323165,1.0,5
949,co,0,1,1,Salmonella enterica,S0c0,1.7099794934386716,9.912133529196733,11.622113022635405,1.0,5
949,co,0,1,2,Escherichia coli,E0c0,4.999414730448141e-06,1006.7374948720857,1006.7374998715004,1.0,5
949,co,0,1,2,Salmonella enterica,S0c0,4.997624069102424e-06,516.6220940849763,516.6220990826004,1.0,5
949,co,0,2,1,Escherichia coli,E0c0,3.391671532086028,3.3905003673683662,6.782171899454394,1.0,5
949,co,0,2,1,Salmonella enterica,S0c0,1.7404863844308014,10.406878626807371,12.147365011238172,1.0,5
949,co,0,2,2,Escherichia coli,E0c0,4.996329814175255e-06,1006.7820985228095,1006.7821035191394,1.0,5
949,co,0,2,2,Salmonella enterica,S0c0,4.9996740129574e-06,517.1473440283738,517.1473490280479,1.0,5
949,co,0,3,1,Escherichia coli,E0c0,3.3918215848827273,3.3906459939722424,6.78246757885497,1.0,5
949,co,0,3,1,Salmonella enterica,S0c0,1.7422552326664549,10.45513402083749,12.197389253503944,1.0,5
949,co,0,3,2,Escherichia coli,E0c0,4.9955807641083e-06,1006.7823933944464,1006.7823983900272,1.0,5
949,co,0,3,2,Salmonella enterica,S0c0,4.9937575422789244e-06,517.1973684697406,517.1973734634981,1.0,5
949,co,0,4,1,Escherichia coli,E0c0,3.3918232357048486,3.3906473099135823,6.78247054561843,1.0,5
949,co,0,4,1,Salmonella enterica,S0c0,1.7424245670517482,10.459995542274827,12.202420109326575,1.0,5
949,co,0,4,2,Escherichia coli,E0c0,4.997738957213294e-06,1006.7823968585524,1006.7824018562914,1.0,5
949,co,0,4,2,Salmonella enterica,S0c0,4.995332499082307e-06,517.2023987815415,517.202403776874,1.0,5
949,co,0,5,1,Escherichia coli,E0c0,3.391822696163561,3.390646970805597,6.782469666969158,1.0,5
949,co,0,5,1,Salmonella enterica,S0c0,1.7424413169332549,10.460486926590178,12.202928243523433,1.0,5
949,co,0,5,2,Escherichia coli,E0c0,4.998391769171447e-06,1006.7823949377968,1006.7823999361885,1.0,5
949,co,0,5,2,Salmonella enterica,S0c0,4.99733869910008e-06,517.2029065298228,517.2029115271615,1.0,5
949,co,0,6,1,Escherichia coli,E0c0,3.3918235347633146,3.3906470527290176,6.782470587492332,1.0,5
949,co,0,6,1,Salmonella enterica,S0c0,1.7424431815145625,10.460537251352118,12.202980432866681,1.0,5
949,co,0,6,2,Escherichia coli,E0c0,4.998604815327018e-06,1006.7823972239489,1006.7824022225537,1.0,5
949,co,0,6,2,Salmonella enterica,S0c0,4.998397012038584e-06,517.2029598115196,517.2029648099166,1.0,5
949,co,0,7,1,Escherichia coli,E0c0,3.3918231598856075,3.390647246609543,6.78247040649515,1.0,5
949,co,0,7,1,Salmonella enterica,S0c0,1.7424427583775106,10.46054133012088,12.20298408849839,1.0,5
949,co,0,7,2,Escherichia coli,E0c0,4.980806441087948e-06,1006.7823957117209,1006.7824006925274,1.0,5
949,co,0,7,2,Salmonella enterica,S0c0,4.998935905511916e-06,517.2029638793402,517.2029688782761,1.0,5
949,co,0,8,1,Escherichia coli,E0c0,3.391823043285331,3.3906472144569766,6.7824702577423075,1.0,5
949,co,0,8,1,Salmonella enterica,S0c0,1.742443577609856,10.460542570879818,12.202986148489675,1.0,5
949,co,0,8,2,Escherichia coli,E0c0,4.9989126662085705e-06,1006.7823969128648,1006.7824019117775,1.0,5
949,co,0,8,2,Salmonella enterica,S0c0,4.997305442854028e-06,517.2029666774471,517.2029716747526,1.0,5
949,co,0,9,1,Escherichia coli,E0c0,3.391823967398214,3.3906476706380353,6.782471638036249,1.0,5
949,co,0,9,1,Salmonella enterica,S0c0,1.7424430657497756,10.460542125131012,12.202985190880787,1.0,5
949,co,0,9,2,Escherichia coli,E0c0,4.998925532571889e-06,1006.7823983978614,1006.7824033967869,1.0,5
949,co,0,9,2,Salmonella enterica,S0c0,4.999551965454905e-06,517.2029635198007,517.2029685193527,1.0,5
949,co,0,10,1,Escherichia coli,E0c0,3.391822935303598,3.39064715545297,6.7824700907565685,1.0,5
949,co,0,10,1,Salmonella enterica,S0c0,1.7424433650856395,10.460541772814985,12.202985137900624,1.0,5
949,co,0,10,2,Escherichia coli,E0c0,4.998004680957685e-06,1006.7823981722041,1006.7824031702088,1.0,5
949,co,0,10,2,Salmonella enterica,S0c0,4.998552168784108e-06,517.2029648020317,517.2029698005839,1.0,5
949,co,0,11,1,Escherichia coli,E0c0,3.3918240506265933,3.3906480490624475,6.782472099689041,1.0,5
949,co,0,11,1,Salmonella enterica,S0c0,1.7424433979103602,10.460542596930189,12.20298599484055,1.0,5
949,co,0,11,2,Escherichia coli,E0c0,4.9966593957970675e-06,1006.7823990669852,1006.7824040636447,1.0,5
949,co,0,11,2,Salmonella enterica,S0c0,4.988150392929886e-06,517.2029660707684,517.2029710589188,1.0,5
949,co,0,12,1,Escherichia coli,E0c0,3.3918235993887635,3.390647659760337,6.7824712591491005,1.0,5
949,co,0,12,1,Salmonella enterica,S0c0,1.742443430059784,10.460541928444655,12.202985358504439,1.0,5
949,co,0,12,2,Escherichia coli,E0c0,4.991906405698563e-06,1006.7823978749249,1006.7824028668313,1.0,5
949,co,0,12,2,Salmonella enterica,S0c0,4.999373653572801e-06,517.2029650056559,517.2029700050296,1.0,5
949,co,0,13,1,Escherichia coli,E0c0,3.391823271651331,3.3906472124571554,6.782470484108487,1.0,5
949,co,0,13,1,Salmonella enterica,S0c0,1.7424432022821406,10.46054229184046,12.2029854941226,1.0,5
949,co,0,13,2,Escherichia coli,E0c0,4.9950108062802655e-06,1006.7823979158857,1006.7824029108965,1.0,5
949,co,0,13,2,Salmonella enterica,S0c0,4.9971530238707115e-06,483.6539849986641,483.65398999581714,1.0,5
949,co,0,13,2,Salmonella enterica,S1c13,7.457699586822347e-06,33.548983534435294,33.54899099213488,1.4919207070283071,5
949,co,0,14,1,Escherichia coli,E0c0,3.39182363966535,3.390671508803036,6.782495148468386,1.0,5
949,co,0,14,1,Salmonella enterica,S0c0,1.6294177304633306,9.62163468213716,11.25105241260049,1.0,5
949,co,0,14,1,Salmonella enterica,S1c13,0.5877080979536871,1.1067160765702255,1.6944241745239126,1.4919207070283071,5
949,co,0,14,2,Escherichia coli,E0c0,4.998005223405518e-06,1006.7824227090592,1006.7824277070645,1.0,5
949,co,0,14,2,Salmonella enterica,S0c0,4.996494227384513e-06,453.8146040262611,453.81460902275535,1.0,5
949,co,0,14,2,Salmonella enterica,S1c13,7.458417190109863e-06,64.13085928116614,64.13086673958333,1.4919207070283071,5
949,co,0,15,1,Escherichia coli,E0c0,3.391822712946176,3.390686751322207,6.782509464268383,1.0,5
949,co,0,15,1,Salmonella enterica,S0c0,1.5288895763382209,8.949466987174674,10.478356563512895,1.0,5
949,co,0,15,1,Salmonella enterica,S1c13,1.123438237856193,2.099775190835648,3.2232134286918406,1.4919207070283071,5
949,co,0,15,2,Escherichia coli,E0c0,4.9925271471590655e-06,1006.7824369375737,1006.7824419301008,1.0,5
949,co,0,15,2,Salmonella enterica,S0c0,4.998369179987323e-06,402.4862593671929,402.4862643655621,1.0,5
949,co,0,15,2,Salmonella enterica,S1c13,7.4569906736944834e-06,116.215291460615,116.21529891760568,1.4919207070283071,5
949,co,0,16,1,Escherichia coli,E0c0,3.391822834178563,3.390718433944785,6.782541268123348,1.0,5
