seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
982,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
982,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5
982,co,0,0,1,Escherichia coli,E0c0,0.03368961329846606,0.07401308530230857,0.10770269860077464,1.0,5
982,co,0,0,1,Salmonella enterica,S0c0,0.03368961329846606,2.5330683283576207,2.566757941656087,1.0,5
982,co,0,0,2,Escherichia coli,E0c0,4.380001943405839e-06,2780.107467053715,2780.107471433717,1.0,5
982,co,0,0,2,Salmonella enterica,S0c0,4.380001943405839e-06,1406.4666596607317,1406.4666640407336,1.0,5
982,co,0,1,1,Escherichia coli,E0c0,9.36610882530059,9.324563338152455,18.690672163453044,1.0,5
982,co,0,1,1,Salmonella enterica,S0c0,4.738349005577117,25.069846948601338,29.808195954178455,1.0,5
982,co,0,1,2,Escherichia coli,E0c0,4.997929390155205e-06,2798.69041509626,2798.6904200941894,1.0,5
982,co,0,1,2,Salmonella enterica,S0c0,4.993611277229961e-06,1393.7649853998143,1393.7649903934257,1.0,5
982,co,0,1,2,Salmonella enterica,S1c1,5.1577858709546025e-06,39.94312640045693,39.943131558242804,1.0326994130985612,5
982,co,0,2,1,Escherichia coli,E0c0,9.428714217805659,9.386826715160925,18.815540932966584,1.0,5
982,co,0,2,1,Salmonella enterica,S0c0,4.6955574781568385,25.25998585244865,29.95554333060549,1.0,5
982,co,0,2,1,Salmonella enterica,S1c1,0.1576508249493929,0.7586279353630933,0.9162787603124861,1.0326994130985612,5
982,co,0,2,2,Escherichia coli,E0c0,4.995351088324616e-06,2798.8152833663103,2798.8152883616613,1.0,5
982,co,0,2,2,Salmonella enterica,S0c0,4.998609595338208e-06,1392.3619694928766,1392.361974491486,1.0,5
982,co,0,2,2,Salmonella enterica,S1c1,5.163070240105231e-06,42.409776732038964,42.409781895109205,1.0326994130985612,5
982,co,0,3,1,Escherichia coli,E0c0,9.429137396161728,9.387244791521356,18.816382187683082,1.0,5
982,co,0,3,1,Salmonella enterica,S0c0,4.690831511797324,25.268930004452955,29.95976151625028,1.0,5
982,co,0,3,1,Salmonella enterica,S1c1,0.1673866931457915,0.806565319143294,0.9739520122890855,1.0326994130985612,5
982,co,0,3,2,Escherichia coli,E0c0,4.998930653378977e-06,985.258249701456,985.2582547003866,1.0,5
982,co,0,3,2,Escherichia coli,E1c3,5.481952005434622e-06,1842.517652822343,1842.517658304295,1.0965223532044235,5
982,co,0,3,2,Salmonella enterica,S0c0,4.992736752854974e-06,798.6954739642093,798.6954789569461,1.0,5
982,co,0,3,2,Salmonella enterica,S1c1,5.150496137902837e-06,607.1784133382315,607.1784184887276,1.0326994130985612,5
982,co,0,4,1,Escherichia coli,E0c0,3.319309474261543,3.3046008344113047,6.623910308672848,1.0,5
982,co,0,4,1,Escherichia coli,E1c3,9.639512324653593,8.062033269132336,17.70154559378593,1.0965223532044235,5
982,co,0,4,1,Salmonella enterica,S0c0,2.690783907405923,14.096957777578979,16.7877416849849,1.0,5
982,co,0,4,1,Salmonella enterica,S1c1,2.3964673656154822,11.232995429387703,13.629462795003185,1.0326994130985612,5
982,co,0,4,2,Escherichia coli,E0c0,4.9985255476999e-06,786.7886079810024,786.788612979528,1.0,5
982,co,0,4,2,Escherichia coli,E1c3,5.481214491100989e-06,2017.5366118035072,2017.5366172847216,1.0965223532044235,5
982,co,0,4,2,Salmonella enterica,S0c0,4.997834712577306e-06,793.2915168929633,793.291521890798,1.0,5
982,co,0,4,2,Salmonella enterica,S1c1,5.162615547973698e-06,641.0256012087879,641.0256063714035,1.0326994130985612,5
982,co,0,5,1,Escherichia coli,E0c0,2.6506698064757956,2.6388910193224278,5.289560825798223,1.0,5
982,co,0,5,1,Escherichia coli,E1c3,10.555159217950482,8.827734005733518,19.382893223684,1.0965223532044235,5
982,co,0,5,1,Salmonella enterica,S0c0,2.6725778404211997,14.476306232450671,17.148884072871873,1.0,5
