seed,culture,rep,cycle,tol_time
721,co,0,0,5.9
721,co,0,1,8.0
721,co,0,2,8.5
721,co,0,3,8.8
721,co,0,4,9.200000000000001
721,co,0,5,9.600000000000001
721,co,0,6,10.0
721,co,0,7,10.0
721,co,0,8,10.0
721,co,0,9,10.0
721,co,1,0,5.9
721,co,1,1,6.0
721,co,1,2,6.0
721,co,1,3,6.0
721,co,1,4,6.0
721,co,1,5,6.0
721,co,1,6,6.0
721,co,1,7,6.0
721,co,1,8,6.0
721,co,1,9,6.2
721,co,2,0,5.9
721,co,2,1,6.300000000000001
721,co,2,2,6.4
721,co,2,3,6.4
721,co,2,4,6.5
721,co,2,5,7.9
721,co,2,6,9.1
721,co,2,7,10.0
721,co,2,8,10.0
721,co,2,9,10.0
721,co,3,0,5.9
721,co,3,1,6.0
721,co,3,2,6.0
721,co,3,3,6.0
721,co,3,4,6.0
721,co,3,5,6.0
721,co,3,6,6.2
721,co,3,7,6.6000000000000005
721,co,3,8,7.5
721,co,3,9,8.200000000000001
721,co,4,0,5.9
721,co,4,1,6.0
721,co,4,2,7.800000000000001
721,co,4,3,9.9
721,co,4,4,10.0
721,co,4,5,10.0
721,co,4,6,10.0
721,co,4,7,10.0
721,co,4,8,10.0
721,co,4,9,10.0
721,co,5,0,5.9
721,co,5,1,6.0
721,co,5,2,6.0
721,co,5,3,6.0
721,co,5,4,6.0
721,co,5,5,6.0
721,co,5,6,6.0
721,co,5,7,6.0
721,co,5,8,6.1000000000000005
721,co,5,9,6.2
721,co,6,0,5.9
721,co,6,1,7.4
721,co,6,2,7.800000000000001
721,co,6,3,7.9
721,co,6,4,8.0
721,co,6,5,8.0
721,co,6,6,9.1
721,co,6,7,9.600000000000001
721,co,6,8,10.0
721,co,6,9,10.0
721,co,7,0,5.9
721,co,7,1,6.0
721,co,7,2,6.0
721,co,7,3,6.0
721,co,7,4,6.800000000000001
721,co,7,5,8.4
721,co,7,6,9.200000000000001
721,co,7,7,10.0
721,co,7,8,10.0
721,co,7,9,10.0
721,co,8,0,5.9
721,co,8,1,6.800000000000001
721,co,8,2,7.0
721,co,8,3,7.1000000000000005
721,co,8,4,7.2
721,co,8,5,7.300000000000001
721,co,8,6,7.4
721,co,8,7,6.9
721,co,8,8,7.2
721,co,8,9,8.0
721,co,9,0,5.9
721,co,9,1,6.0
721,co,9,2,6.0
721,co,9,3,6.0
721,co,9,4,6.0
721,co,9,5,6.0
721,co,9,6,6.1000000000000005
721,co,9,7,6.1000000000000005
721,co,9,8,6.2
721,co,9,9,6.300000000000001
