seed,culture,rep,cycle,tol_time
929,co,0,0,5.9
929,co,0,1,6.0
929,co,0,2,6.0
929,co,0,3,8.3
929,co,0,4,9.1
929,co,0,5,10.0
929,co,0,6,10.0
929,co,0,7,10.0
929,co,0,8,10.0
929,co,0,9,10.0
929,co,1,0,5.9
929,co,1,1,6.0
929,co,1,2,6.0
929,co,1,3,6.0
929,co,1,4,6.1000000000000005
929,co,1,5,6.1000000000000005
929,co,1,6,6.300000000000001
929,co,1,7,6.5
929,co,1,8,6.7
929,co,1,9,6.9
929,co,2,0,5.9
929,co,2,1,6.0
929,co,2,2,6.1000000000000005
929,co,2,3,6.2
929,co,2,4,6.5
929,co,2,5,6.9
929,co,2,6,7.300000000000001
929,co,2,7,7.6000000000000005
929,co,2,8,7.800000000000001
929,co,2,9,8.0
929,co,3,0,5.9
929,co,3,1,6.0
929,co,3,2,6.0
929,co,3,3,6.2
929,co,3,4,6.6000000000000005
929,co,3,5,7.300000000000001
929,co,3,6,8.0
929,co,3,7,8.4
929,co,3,8,8.5
929,co,3,9,8.6
929,co,4,0,5.9
929,co,4,1,6.0
929,co,4,2,6.0
929,co,4,3,6.0
929,co,4,4,6.0
929,co,4,5,6.0
929,co,4,6,6.0
929,co,4,7,6.0
929,co,4,8,6.0
929,co,4,9,6.0
929,co,5,0,5.9
929,co,5,1,6.0
929,co,5,2,6.0
929,co,5,3,6.800000000000001
929,co,5,4,7.0
929,co,5,5,7.1000000000000005
929,co,5,6,7.2
929,co,5,7,7.7
929,co,5,8,7.800000000000001
929,co,5,9,8.200000000000001
929,co,6,0,5.9
929,co,6,1,8.6
929,co,6,2,9.200000000000001
929,co,6,3,9.4
929,co,6,4,9.4
929,co,6,5,9.4
929,co,6,6,10.0
929,co,6,7,10.0
929,co,6,8,10.0
929,co,6,9,10.0
929,co,7,0,5.9
929,co,7,1,7.2
929,co,7,2,7.5
929,co,7,3,7.6000000000000005
929,co,7,4,7.7
929,co,7,5,7.7
929,co,7,6,8.0
929,co,7,7,8.1
929,co,7,8,8.200000000000001
929,co,7,9,8.4
929,co,8,0,5.9
929,co,8,1,6.0
929,co,8,2,6.0
929,co,8,3,6.0
929,co,8,4,6.1000000000000005
929,co,8,5,6.2
929,co,8,6,6.300000000000001
929,co,8,7,8.1
929,co,8,8,8.9
929,co,8,9,9.600000000000001
929,co,9,0,5.9
929,co,9,1,6.0
929,co,9,2,6.0
929,co,9,3,6.0
929,co,9,4,6.6000000000000005
929,co,9,5,6.5
929,co,9,6,6.7
929,co,9,7,7.0
929,co,9,8,7.4
929,co,9,9,7.9
