seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
733,mono,0,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1.0,5,1000.0,1000.0,0.0
733,mono,0,0,1,Escherichia coli,E0c0,0.06737964745248162,0.06718549267488187,0.13456514012736348,1.0,5,999.5067032489718,995.0672574897176,4.982044685385316
733,mono,0,0,2,Escherichia coli,E0c0,4.998569131684008e-06,1000.1345116075294,1000.1345166060985,1.0,5,449.99990550000933,1.9332479274015617e-28,504.99989395001467
733,mono,0,1,1,Escherichia coli,E0c0,3.369426106459231,3.3597627380842665,6.729188844543497,1.0,5,1425.33296633777,753.3309458775824,754.13560073866
733,mono,0,1,2,Escherichia coli,E0c0,4.999928412070873e-06,1006.7291137350077,1006.729118734936,1.0,5,449.9999055000089,2.392945331577625e-39,504.9998939500122
733,mono,0,2,1,Escherichia coli,E0c0,3.3916442470908397,3.3819346782973807,6.77357892538822,1.0,5,1425.170320661008,751.7044891099555,755.7783220739587
733,mono,0,2,2,Escherichia coli,E0c0,4.99703953492055e-06,1006.7735055747055,1006.7735105717451,1.0,5,449.99990550001,0.0,504.9998939500108
733,mono,0,3,1,Escherichia coli,E0c0,3.3917928697187127,3.3820833487882562,6.7738762185069685,1.0,5,1425.1692258944886,751.693541444755,755.7893792158111
733,mono,0,3,2,Escherichia coli,E0c0,4.998068656142553e-06,1006.7738020305786,1006.7738070286473,1.0,5,449.9999055000126,0.0,504.99989395001063
733,mono,0,4,1,Escherichia coli,E0c0,3.391793617369001,3.3820842177869594,6.773877835155961,1.0,5,1425.1692185833504,751.6934683333503,755.7894530583296
733,mono,0,4,2,Escherichia coli,E0c0,4.998048132737088e-06,1006.7738043547562,1006.7738093528043,1.0,5,449.9999055000103,1.814762823653051e-40,504.99989395000995
733,mono,0,5,1,Escherichia coli,E0c0,3.391794188215233,3.3820842558308435,6.773878444046076,1.0,5,1425.1692184182862,751.6934666827447,755.789454725442
733,mono,0,5,2,Escherichia coli,E0c0,4.996272683945742e-06,1006.7738040303576,1006.7738090266303,1.0,5,449.99990550001235,1.4977683963960204e-29,504.99989395001245
733,mono,0,6,1,Escherichia coli,E0c0,3.391794344707489,3.3820846300042504,6.77387897471174,1.0,5,1425.1692183819628,751.6934663194775,755.7894550923426
733,mono,0,6,2,Escherichia coli,E0c0,4.995921743812067e-06,1004.7738042443812,1004.7738092403029,1.0,5,449.99990550001064,-1.350346917708062e-39,504.9998939500118
733,mono,0,6,2,Escherichia coli,E1c6,1.0,0.0,1.0,1.0602857491116604,5,449.99990550001064,-1.350346917708062e-39,504.9998939500118
733,mono,0,6,2,Escherichia coli,E2c6,1.0,0.0,1.0,1.9132505482016573,5,449.99990550001064,-1.350346917708062e-39,504.9998939500118
733,mono,0,7,1,Escherichia coli,E0c0,3.385058139335868,3.37536711844758,6.760425257783448,1.0,5,1425.1714509673684,751.7157921735266,755.7669059797529
733,mono,0,7,1,Escherichia coli,E1c6,0.004477072140499703,0.00398959560255448,0.008466667743054183,1.0602857491116604,5,1425.1714509673684,751.7157921735266,755.7669059797529
733,mono,0,7,1,Escherichia coli,E2c6,0.03664423335273683,0.012991820497820593,0.04963605385055742,1.9132505482016573,5,1425.1714509673684,751.7157921735266,755.7669059797529
733,mono,0,7,2,Escherichia coli,E0c0,4.997508967753472e-06,999.5503515436135,999.5503565411225,1.0,5,449.9999055000109,-9.026243988392303e-40,504.99989395001325
733,mono,0,7,2,Escherichia coli,E1c6,5.298403491960239e-06,1.2168848182506329,1.2168901166541248,1.0602857491116604,5,449.9999055000109,-9.026243988392303e-40,504.99989395001325
733,mono,0,7,2,Escherichia coli,E2c6,9.55839786240862e-06,5.051509366589742,5.0515189249876045,1.9132505482016573,5,449.9999055000109,-9.026243988392303e-40,504.99989395001325
733,mono,0,7,2,Escherichia coli,E3c7,1.0,0.0,1.0,1.1240810573344648,5,449.9999055000109,-9.026243988392303e-40,504.99989395001325
733,mono,0,8,1,Escherichia coli,E0c0,3.367459787363707,3.3578177979870447,6.725277585350751,1.0,5,1425.1792433499152,751.793715999007,755.68820291602
733,mono,0,8,1,Escherichia coli,E1c6,0.005447709254437116,0.004854857221256345,0.01030256647569346,1.0602857491116604,5,1425.1792433499152,751.793715999007,755.68820291602
733,mono,0,8,1,Escherichia coli,E2c6,0.18510845683344757,0.06562830647627431,0.2507367633097219,1.9132505482016573,5,1425.1792433499152,751.793715999007,755.68820291602
733,mono,0,8,1,Escherichia coli,E3c7,0.00585044658160661,0.004685715763006974,0.010536162344613582,1.1240810573344648,5,1425.1792433499152,751.793715999007,755.68820291602
733,mono,0,8,2,Escherichia coli,E0c0,4.996543099960113e-06,978.997623245724,978.9976282422671,1.0,5,449.9999055000125,-5.7081974306692895e-39,504.9998939500133
733,mono,0,8,2,Escherichia coli,E1c6,5.275258627040407e-06,1.4564187762205738,1.4564240514792008,1.0602857491116604,5,449.9999055000125,-5.7081974306692895e-39,504.9998939500133
733,mono,0,8,2,Escherichia coli,E2c6,9.546053041783291e-06,25.09815371588432,25.098163261937362,1.9132505482016573,5,449.9999055000125,-5.7081974306692895e-39,504.9998939500133
733,mono,0,8,2,Escherichia coli,E3c7,5.618064444378736e-06,1.4450214372036128,1.445027055268057,1.1240810573344648,5,449.9999055000125,-5.7081974306692895e-39,504.9998939500133
733,mono,0,9,1,Escherichia coli,E0c0,3.298217950295038,3.2887679228809588,6.586985873175997,1.0,5,1425.2179544074372,752.1808265741842,755.2972212350879
733,mono,0,9,1,Escherichia coli,E1c6,0.006519931031709011,0.005810526097826067,0.012330457129535077,1.0602857491116604,5,1425.2179544074372,752.1808265741842,755.2972212350879
733,mono,0,9,1,Escherichia coli,E2c6,0.91970142581215,0.32607034106896865,1.2457717668811186,1.9132505482016573,5,1425.2179544074372,752.1808265741842,755.2972212350879
733,mono,0,9,1,Escherichia coli,E3c7,0.00845421586326975,0.006771068659487246,0.015225284522756996,1.1240810573344648,5,1425.2179544074372,752.1808265741842,755.2972212350879
733,mono,0,9,2,Escherichia coli,E0c0,4.979247226299702e-06,888.7284147192536,888.7284196985008,1.0,5,449.99990550001263,-6.712590561132606e-40,504.9998939500113
733,mono,0,9,2,Escherichia coli,E1c6,5.2987827742052145e-06,1.615576501989711,1.6155818007724851,1.0602857491116604,5,449.99990550001263,-6.712590561132606e-40,504.9998939500113
733,mono,0,9,2,Escherichia coli,E2c6,9.553071244273649e-06,115.58132647342222,115.58133602649346,1.9132505482016573,5,449.99990550001263,-6.712590561132606e-40,504.9998939500113
