seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
8,mono,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
8,mono,0,0,2,Escherichia coli,E0c0,4.999755062212786e-06,804.9999448660291,804.9999498657842,1.0,5
8,mono,0,1,1,Escherichia coli,E0c0,2.7120230061100234,2.781839809262052,5.493862815372076,1.0,5
8,mono,0,1,2,Escherichia coli,E0c0,4.997320929560289e-06,805.493809116586,805.493814113907,1.0,5
8,mono,0,2,1,Escherichia coli,E0c0,2.7136877477437835,2.78356382611866,5.497251573862444,1.0,5
8,mono,0,2,2,Escherichia coli,E0c0,4.999243200206391e-06,805.4971999869801,805.4972049862233,1.0,5
8,mono,0,3,1,Escherichia coli,E0c0,2.7136987094257794,2.7835754770228682,5.497274186448648,1.0,5
8,mono,0,3,2,Escherichia coli,E0c0,4.985661140348895e-06,805.4972199493322,805.4972249349934,1.0,5
8,mono,0,4,1,Escherichia coli,E0c0,2.7136991472269925,2.783575543852335,5.497274691079328,1.0,5
8,mono,0,4,2,Escherichia coli,E0c0,4.988059536473646e-06,702.1349379992913,702.1349429873509,1.0,5
8,mono,0,4,2,Escherichia coli,E1c4,5.858971928768402e-06,103.36230853103031,103.36231439000224,1.1721300362142195,5
8,mono,0,5,1,Escherichia coli,E0c0,2.3654750349911824,2.4263172047507133,4.791792239741896,1.0,5
8,mono,0,5,1,Escherichia coli,E1c4,0.7256807493751858,0.5536562164363824,1.2793369658115683,1.1721300362142195,5
8,mono,0,5,2,Escherichia coli,E0c0,4.997930951556918e-06,646.8721641884688,646.8721691863998,1.0,5
8,mono,0,5,2,Escherichia coli,E1c4,5.8520798493431994e-06,159.19893878721751,159.19894463929737,1.1721300362142195,5
8,mono,0,6,1,Escherichia coli,E0c0,2.1792947922068016,2.2353306242891144,4.414625416495916,1.0,5
8,mono,0,6,1,Escherichia coli,E1c4,1.1176953997828636,0.8527372153578908,1.9704326151407545,1.1721300362142195,5
8,mono,0,6,2,Escherichia coli,E0c0,4.999858768335606e-06,571.3220312599071,571.3220362597659,1.0,5
8,mono,0,6,2,Escherichia coli,E1c4,5.859788267185587e-06,235.06300090299362,235.0630067627819,1.1721300362142195,5
8,mono,0,7,1,Escherichia coli,E0c0,1.924768992978755,1.9742274206075034,3.8989964135862585,1.0,5
