seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
949,mono,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
949,mono,0,0,1,Escherichia coli,E0c0,0.033689745168904196,0.033592515149100624,0.06728226031800483,1.0,5
949,mono,0,0,2,Escherichia coli,E0c0,4.468230943872208e-06,1000.0672273668181,1000.067231835049,1.0,5
949,mono,0,1,1,Escherichia coli,E0c0,3.3692009732433887,3.3595369106530892,6.728737883896478,1.0,5
949,mono,0,1,2,Escherichia coli,E0c0,4.999543756261347e-06,1006.7286660364127,1006.7286710359565,1.0,5
949,mono,0,2,1,Escherichia coli,E0c0,3.391642004533041,3.381932606332288,6.773574610865329,1.0,5
949,mono,0,2,2,Escherichia coli,E0c0,4.995782462054285e-06,1006.7735000202897,1006.7735050160721,1.0,5
949,mono,0,3,1,Escherichia coli,E0c0,3.391793391372913,3.3820837800650687,6.773877171437982,1.0,5
949,mono,0,3,2,Escherichia coli,E0c0,4.996063581388437e-06,1006.773802212794,1006.7738072088575,1.0,5
949,mono,0,4,1,Escherichia coli,E0c0,3.391794003829082,3.3820843450405813,6.773878348869664,1.0,5
949,mono,0,4,2,Escherichia coli,E0c0,4.998281808140648e-06,1006.7738047363779,1006.7738097346597,1.0,5
949,mono,0,5,1,Escherichia coli,E0c0,3.3917931020188656,3.382084104872077,6.773877206890942,1.0,5
949,mono,0,5,2,Escherichia coli,E0c0,4.999024518957432e-06,1006.7738033293708,1006.7738083283954,1.0,5
949,mono,0,6,1,Escherichia coli,E0c0,3.3917938049789633,3.38208445757381,6.773878262552773,1.0,5
949,mono,0,6,2,Escherichia coli,E0c0,4.999548782123992e-06,1006.7738068315821,1006.7738118311308,1.0,5
949,mono,0,7,1,Escherichia coli,E0c0,3.3917941275142107,3.382084576705925,6.773878704220136,1.0,5
949,mono,0,7,2,Escherichia coli,E0c0,4.984334419472596e-06,1006.7738050389682,1006.7738100233026,1.0,5
949,mono,0,8,1,Escherichia coli,E0c0,3.3917943819990093,3.382084434514843,6.773878816513852,1.0,5
949,mono,0,8,2,Escherichia coli,E0c0,4.997891763248463e-06,1006.773804021884,1006.7738090197757,1.0,5
949,mono,0,9,1,Escherichia coli,E0c0,3.3917941146398167,3.3820843665150115,6.773878481154828,1.0,5
949,mono,0,9,2,Escherichia coli,E0c0,4.999389718728256e-06,1006.7738056579418,1006.7738106573315,1.0,5
949,mono,0,10,1,Escherichia coli,E0c0,3.391794777881644,3.3820848337071996,6.7738796115888436,1.0,5
949,mono,0,10,2,Escherichia coli,E0c0,4.994706969249542e-06,1006.7738021930153,1006.7738071877222,1.0,5
949,mono,0,11,1,Escherichia coli,E0c0,3.3917929536664158,3.3820837515395947,6.7738767052060105,1.0,5
949,mono,0,11,2,Escherichia coli,E0c0,4.9984403196350635e-06,1006.7738032580803,1006.7738082565206,1.0,5
949,mono,0,12,1,Escherichia coli,E0c0,3.3917946312978313,3.382084852863442,6.773879484161274,1.0,5
949,mono,0,12,2,Escherichia coli,E0c0,4.995476864659836e-06,1006.7738056517926,1006.7738106472694,1.0,5
949,mono,0,13,1,Escherichia coli,E0c0,3.3917942754016033,3.382084483339965,6.773878758741568,1.0,5
949,mono,0,13,2,Escherichia coli,E0c0,4.9979098947627664e-06,1006.7738055486008,1006.7738105465106,1.0,5
949,mono,0,14,1,Escherichia coli,E0c0,3.391793967243979,3.3820843473091307,6.77387831455311,1.0,5
949,mono,0,14,2,Escherichia coli,E0c0,4.997900420425428e-06,1006.7738037142675,1006.7738087121679,1.0,5
949,mono,0,15,1,Escherichia coli,E0c0,3.391793043904488,3.3820839717285245,6.773877015633012,1.0,5
949,mono,0,15,2,Escherichia coli,E0c0,4.9974675629437055e-06,1006.7738031811409,1006.7738081786085,1.0,5
949,mono,0,16,1,Escherichia coli,E0c0,3.3917949133672747,3.3820847627412167,6.773879676108491,1.0,5
949,mono,0,16,2,Escherichia coli,E0c0,4.998011465390276e-06,1006.7738067282958,1006.7738117263073,1.0,5
949,mono,0,17,1,Escherichia coli,E0c0,3.3917943981627054,3.3820845259247396,6.773878924087445,1.0,5
949,mono,0,17,2,Escherichia coli,E0c0,4.996839789618418e-06,1006.7738044932009,1006.7738094900408,1.0,5
949,mono,0,18,1,Escherichia coli,E0c0,3.3917945632804383,3.3820848930644365,6.773879456344875,1.0,5
949,mono,0,18,2,Escherichia coli,E0c0,4.997317464080899e-06,1006.7738089547679,1006.7738139520853,1.0,5
949,mono,0,19,1,Escherichia coli,E0c0,3.3917945118862627,3.382084582069141,6.773879093955404,1.0,5
949,mono,0,19,2,Escherichia coli,E0c0,4.996591462999127e-06,1006.7738042242112,1006.7738092208026,1.0,5
949,mono,1,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
949,mono,1,0,1,Escherichia coli,E0c0,0.033689745168904196,0.033592515149100624,0.06728226031800483,1.0,5
949,mono,1,0,2,Escherichia coli,E0c0,4.468230943872208e-06,1000.0672273668181,1000.067231835049,1.0,5
949,mono,1,1,1,Escherichia coli,E0c0,3.3692009732433887,3.3595369106530892,6.728737883896478,1.0,5
949,mono,1,1,2,Escherichia coli,E0c0,4.999543756261347e-06,1006.7286660364127,1006.7286710359565,1.0,5
949,mono,1,2,1,Escherichia coli,E0c0,3.391642004533041,3.381932606332288,6.773574610865329,1.0,5
949,mono,1,2,2,Escherichia coli,E0c0,4.995782462054285e-06,1006.7735000202897,1006.7735050160721,1.0,5
949,mono,1,3,1,Escherichia coli,E0c0,3.391793391372913,3.3820837800650687,6.773877171437982,1.0,5
949,mono,1,3,2,Escherichia coli,E0c0,4.996063581388437e-06,1006.773802212794,1006.7738072088575,1.0,5
949,mono,1,4,1,Escherichia coli,E0c0,3.391794003829082,3.3820843450405813,6.773878348869664,1.0,5
949,mono,1,4,2,Escherichia coli,E0c0,4.998281808140648e-06,1006.7738047363779,1006.7738097346597,1.0,5
949,mono,1,5,1,Escherichia coli,E0c0,3.3917931020188656,3.382084104872077,6.773877206890942,1.0,5
949,mono,1,5,2,Escherichia coli,E0c0,4.999024518957432e-06,1006.7738033293708,1006.7738083283954,1.0,5
949,mono,1,6,1,Escherichia coli,E0c0,3.3917938049789633,3.38208445757381,6.773878262552773,1.0,5
949,mono,1,6,2,Escherichia coli,E0c0,4.996041148710693e-06,904.2577107959495,904.2577157919907,1.0,5
949,mono,1,6,2,Escherichia coli,E1c6,5.8207768039187005e-06,102.51612037419852,102.51612619497533,1.1645142613138728,5
949,mono,1,7,1,Escherichia coli,E0c0,3.04642026237656,3.037694049957182,6.0841143123337424,1.0,5
949,mono,1,7,1,Escherichia coli,E1c6,0.6999392436121581,0.5267266492901791,1.226665892902337,1.1645142613138728,5
949,mono,1,7,2,Escherichia coli,E0c0,4.999906064550865e-06,849.044533111639,849.0445381115451,1.0,5
949,mono,1,7,2,Escherichia coli,E1c6,5.821795127773322e-06,158.26619913231997,158.2662049541151,1.1645142613138728,5
949,mono,1,8,1,Escherichia coli,E0c0,2.8604082481891107,2.8522136827948756,5.712621930983986,1.0,5
949,mono,1,8,1,Escherichia coli,E1c6,1.0805776613104707,0.8131692355619724,1.8937468968724431,1.1645142613138728,5
949,mono,1,8,2,Escherichia coli,E0c0,4.995543516261673e-06,771.2317833666366,771.23178836218,1.0,5
949,mono,1,8,2,Escherichia coli,E1c6,5.819630033090467e-06,236.3745354054389,236.37454122506895,1.1645142613138728,5
949,mono,1,9,1,Escherichia coli,E0c0,2.598258619459167,2.590812359723578,5.189070979182745,1.0,5
949,mono,1,9,1,Escherichia coli,E1c6,1.6138690699370728,1.2144874364722877,2.8283565064093605,1.1645142613138728,5
949,mono,1,9,2,Escherichia coli,E0c0,4.995648163406185e-06,670.2533160838764,670.2533210795245,1.0,5
949,mono,1,9,2,Escherichia coli,E1c6,5.817921452677846e-06,337.76406174395805,337.76406756187953,1.1645142613138728,5
949,mono,1,10,1,Escherichia coli,E0c0,2.2580656845310094,2.2515908888642278,4.509656573395237,1.0,5
949,mono,1,10,1,Escherichia coli,E1c6,2.306116079872222,1.7354228537697791,4.041538933642001,1.1645142613138728,5
949,mono,1,10,2,Escherichia coli,E0c0,4.998292309114205e-06,434.33243581167017,434.33244080996246,1.0,5
949,mono,1,10,2,Escherichia coli,E1c6,5.819106604251556e-06,510.97287339706503,510.97287921617163,1.1645142613138728,5
949,mono,1,10,2,Escherichia coli,E2c10,2.5835072010307706e-05,63.245806371711865,63.245832206783874,1.8889557110016566,5
949,mono,1,11,1,Escherichia coli,E0c0,1.4632542197326364,1.4590455015753907,2.9222997213080273,1.0,5
949,mono,1,11,1,Escherichia coli,E1c6,3.488714439154856,2.6253444892922198,6.114058928447076,1.1645142613138728,5
949,mono,1,11,1,Escherichia coli,E2c10,2.240988373584517,0.8084026354012421,3.0493910089857588,1.8889557110016566,5
949,mono,1,11,2,Escherichia coli,E0c0,4.999005642171189e-06,276.6691393735194,276.669144372525,1.0,5
949,mono,1,11,2,Escherichia coli,E1c6,5.794693109913325e-06,535.1823321733515,535.1823379680446,1.1645142613138728,5
949,mono,1,11,2,Escherichia coli,E2c10,5.7115113779467684e-05,200.23416845740965,200.23422557252343,1.8889557110016566,5
949,mono,1,12,1,Escherichia coli,E0c0,0.9320912827654835,0.9293993278258602,1.8614906105913436,1.0,5
949,mono,1,12,1,Escherichia coli,E1c6,3.654007873410936,2.7497038855576617,6.403711758968598,1.1645142613138728,5
949,mono,1,12,1,Escherichia coli,E2c10,7.094893723108284,2.5593571869742977,9.654250910082581,1.8889557110016566,5
949,mono,1,12,2,Escherichia coli,E0c0,4.998882116319302e-06,130.85776264424655,130.85776764312865,1.0,5
949,mono,1,12,2,Escherichia coli,E1c6,5.8219203889959896e-06,416.21408329429744,416.21408911621785,1.1645142613138728,5
949,mono,1,12,2,Escherichia coli,E2c10,0.00017904604974632027,470.84737838298605,470.8475574290358,1.8889557110016566,5
949,mono,1,13,1,Escherichia coli,E0c0,0.4408561605429022,0.4395741384133446,0.8804302989562468,1.0,5
949,mono,1,13,1,Escherichia coli,E1c6,2.841741233724708,2.1384208990204083,4.980162132745116,1.1645142613138728,5
949,mono,1,13,1,Escherichia coli,E2c10,16.683530935036487,6.018207707264539,22.701738642301024,1.8889557110016566,5
