##culture:mono#seed:499#rep:10#mu:(0.0005, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
499,mono,0,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1.0,5,1000.0,1000.0,0.0
499,mono,0,0,1,Escherichia coli,E0c0,0.06737946805099602,0.0671853272472443,0.13456479529824034,1.0,5,999.5067032497818,995.0672574978179,4.982044677204266
499,mono,0,0,2,Escherichia coli,E0c0,5.783866679499471e-11,998.1343547673422,998.1343547674,1.0,5,449.99990550001,-9.151738254385038e-28,504.99989395001097
499,mono,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.0,1.1781492889477925,5,449.99990550001,-9.151738254385038e-28,504.99989395001097
499,mono,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.0,1.0426547197467917,5,449.99990550001,-9.151738254385038e-28,504.99989395001097
499,mono,0,1,1,Escherichia coli,E0c0,3.3626881746228885,3.35304357592702,6.715731750549908,1.0,5,1425.3333176193967,753.3344586938254,754.1320527942509
499,mono,0,1,1,Escherichia coli,E1c0,0.007175437693210669,0.005291875864010514,0.012467313557221183,1.1781492889477925,5,1425.3333176193967,753.3344586938254,754.1320527942509
499,mono,0,1,1,Escherichia coli,E2c0,0.004133633196872135,0.0038020563768997825,0.007935689573771918,1.0426547197467917,5,1425.3333176193967,753.3344586938254,754.1320527942509
499,mono,0,1,2,Escherichia coli,E0c0,0.0,1002.8619860361805,1002.8619860361805,1.0,5,449.999905500015,-9.918451247170121e-26,504.9998939500163
499,mono,0,1,2,Escherichia coli,E1c0,0.0,1.7122566870877167,1.7122566870877167,1.1781492889477925,5,449.999905500015,-9.918451247170121e-26,504.9998939500163
499,mono,0,1,2,Escherichia coli,E2c0,0.0,1.161680632739407,1.161680632739407,1.0426547197467917,5,449.999905500015,-9.918451247170121e-26,504.9998939500163
499,mono,0,1,2,Escherichia coli,E3c1,1.0,0.0,1.0,1.399594247412107,5,449.999905500015,-9.918451247170121e-26,504.9998939500163
499,mono,0,2,1,Escherichia coli,E0c0,3.3786154386981977,3.368943072024102,6.7475585107223,1.0,5,1425.1714709119037,751.7159916188727,755.7667045399587
499,mono,0,2,1,Escherichia coli,E1c0,0.012286191172927764,0.009061092819419789,0.021347283992347553,1.1781492889477925,5,1425.1714709119037,751.7159916188727,755.7667045399587
499,mono,0,2,1,Escherichia coli,E2c0,0.0048019616274013275,0.0044167980107713565,0.009218759638172685,1.0426547197467917,5,1425.1714709119037,751.7159916188727,755.7667045399587
499,mono,0,2,1,Escherichia coli,E3c1,0.014043282158693939,0.007816996673997503,0.02186027883269144,1.399594247412107,5,1425.1714709119037,751.7159916188727,755.7667045399587
499,mono,0,2,2,Escherichia coli,E0c0,1.0044595773939122e-10,999.8530465392466,999.8530465393471,1.0,5,449.9999055000091,8.483752545157981e-22,504.99989395001086
499,mono,0,2,2,Escherichia coli,E1c0,4.933258319414499e-12,2.9063478271777297,2.906347827182663,1.1781492889477925,5,449.9999055000091,8.483752545157981e-22,504.99989395001086
499,mono,0,2,2,Escherichia coli,E2c0,2.8450182095607675e-13,1.337776123670966,1.3377761236712504,1.0426547197467917,5,449.9999055000091,8.483752545157981e-22,504.99989395001086
499,mono,0,2,2,Escherichia coli,E3c1,6.348574930042414e-11,2.702602932034418,2.7026029320979035,1.399594247412107,5,449.9999055000091,8.483752545157981e-22,504.99989395001086
499,mono,0,3,1,Escherichia coli,E0c0,3.368478401629417,3.3588349028280033,6.72731330445742,1.0,5,1425.1715375975891,751.7166584757828,755.7660310144738
499,mono,0,3,1,Escherichia coli,E1c0,0.020854317748747242,0.015380104323977026,0.036234422072724266,1.1781492889477925,5,1425.1715375975891,751.7166584757828,755.7660310144738
499,mono,0,3,1,Escherichia coli,E2c0,0.005529875794790166,0.005086326227425358,0.010616202022215523,1.0426547197467917,5,1425.1715375975891,751.7166584757828,755.7660310144738
499,mono,0,3,1,Escherichia coli,E3c1,0.03795341553816802,0.0211262375024817,0.05907965304064972,1.399594247412107,5,1425.1715375975891,751.7166584757828,755.7660310144738
499,mono,0,3,2,Escherichia coli,E0c0,0.0,992.1070044588812,992.1070044588812,1.0,5,449.99990550000996,5.64820693938416e-21,504.9998939500111
499,mono,0,3,2,Escherichia coli,E1c0,0.0,4.9146345138558285,4.9146345138558285,1.1781492889477925,5,449.99990550000996,5.64820693938416e-21,504.9998939500111
499,mono,0,3,2,Escherichia coli,E2c0,0.0,1.5347760310651455,1.5347760310651455,1.0426547197467917,5,449.99990550000996,5.64820693938416e-21,504.9998939500111
499,mono,0,3,2,Escherichia coli,E3c1,0.0,7.276617160207794,7.276617160207794,1.399594247412107,5,449.99990550000996,5.64820693938416e-21,504.9998939500111
499,mono,0,3,2,Escherichia coli,E4c3,1.0,0.0,1.0,1.2811277493922362,5,449.99990550000996,5.64820693938416e-21,504.9998939500111
499,mono,0,4,1,Escherichia coli,E0c0,3.342382191261683,3.332812601062852,6.675194792324535,1.0,5,1425.1752576963859,751.7538594637351,755.728458016642
499,mono,0,4,1,Escherichia coli,E1c0,0.03526465373909502,0.026007752925880947,0.061272406664975965,1.1781492889477925,5,1425.1752576963859,751.7538594637351,755.728458016642
499,mono,0,4,1,Escherichia coli,E2c0,0.006344201151783677,0.005835333469897827,0.012179534621681504,1.0426547197467917,5,1425.1752576963859,751.7538594637351,755.728458016642
499,mono,0,4,1,Escherichia coli,E3c1,0.10218758794107852,0.056881280420778745,0.15906886836185727,1.399594247412107,5,1425.1752576963859,751.7538594637351,755.728458016642
499,mono,0,4,1,Escherichia coli,E4c3,0.010092541502208098,0.006466790260891807,0.016559331763099906,1.2811277493922362,5,1425.1752576963859,751.7538594637351,755.728458016642
499,mono,0,4,2,Escherichia coli,E0c0,9.49895658047885e-10,975.4376212603073,975.4376212612572,1.0,5,449.9999055000096,7.333060451948735e-23,504.99989395001177
499,mono,0,4,2,Escherichia coli,E1c0,4.740830934860302e-11,8.226519499395877,8.226519499443286,1.1781492889477925,5,449.9999055000096,7.333060451948735e-23,504.99989395001177
499,mono,0,4,2,Escherichia coli,E2c0,2.951419251326445e-12,1.7429612024135508,1.7429612024165022,1.0426547197467917,5,449.9999055000096,7.333060451948735e-23,504.99989395001177
499,mono,0,4,2,Escherichia coli,E3c1,1.9182067449728592e-10,19.393598810814684,19.393598811006505,1.399594247412107,5,449.9999055000096,7.333060451948735e-23,504.99989395001177
499,mono,0,4,2,Escherichia coli,E4c3,2.0235515090994958e-11,2.123362723248591,2.1233627232688264,1.2811277493922362,5,449.9999055000096,7.333060451948735e-23,504.99989395001177
499,mono,0,5,1,Escherichia coli,E0c0,3.2862234809783613,3.276812875500763,6.563036356479124,1.0,5,1425.1836952460162,751.8382349600539,755.6432387653603
499,mono,0,5,1,Escherichia coli,E1c0,0.059028878100036285,0.043533895886201726,0.102562773986238,1.1781492889477925,5,1425.1836952460162,751.8382349600539,755.6432387653603
499,mono,0,5,1,Escherichia coli,E2c0,0.007204762286807399,0.00662686561100822,0.01383162789781562,1.0426547197467917,5,1425.1836952460162,751.8382349600539,755.6432387653603
499,mono,0,5,1,Escherichia coli,E3c1,0.27234978017552997,0.1515996050200379,0.42394938519556785,1.399594247412107,5,1425.1836952460162,751.8382349600539,755.6432387653603
499,mono,0,5,1,Escherichia coli,E4c3,0.021430126408915548,0.01373133545103946,0.03516146185995501,1.2811277493922362,5,1425.1836952460162,751.8382349600539,755.6432387653603
499,mono,0,5,2,Escherichia coli,E0c0,0.0,935.8569443117015,935.8569443117015,1.0,5,449.9999055000101,4.7985204933550265e-23,504.9998939500118
499,mono,0,5,2,Escherichia coli,E1c0,0.0,13.451607602438278,13.451607602438278,1.1781492889477925,5,449.9999055000101,4.7985204933550265e-23,504.9998939500118
499,mono,0,5,2,Escherichia coli,E2c0,0.0,1.9335851122121537,1.9335851122121537,1.0426547197467917,5,449.9999055000101,4.7985204933550265e-23,504.9998939500118
499,mono,0,5,2,Escherichia coli,E3c1,1.1899737538557168e-10,50.49184291172329,50.491842911842284,1.399594247412107,5,449.9999055000101,4.7985204933550265e-23,504.9998939500118
