##culture:co#seed:685#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013972818264308224,5
co,0,1,0.01926078977457124,5
co,0,2,0.054561935594828234,5
co,0,3,0.09075757733769389,5
co,0,4,0.1041636472405618,5
co,0,5,0.11680576878336346,5
co,0,6,0.13539077434202662,5
co,0,7,0.15852420061725342,5
co,0,8,0.1790063693065896,5
co,0,9,0.19239937038473595,5
co,1,0,0.01379327235040987,5
co,1,1,0.01876406363590033,5
co,1,2,0.06205012135061631,5
co,1,3,0.09821744708273474,5
co,1,4,0.10537632932010743,5
co,1,5,0.11240733259892138,5
co,1,6,0.12560375480512867,5
co,1,7,0.1490662691431749,5
co,1,8,0.1774291306674006,5
co,1,9,0.20256868597977287,5
co,2,0,0.014013357464751002,5
co,2,1,0.022000001103295724,5
co,2,2,0.07059497675559843,5
co,2,3,0.10308569287929445,5
co,2,4,0.12099370702099636,5
co,2,5,0.14518788676742486,5
co,2,6,0.17090647237291515,5
co,2,7,0.19117428557440794,5
co,2,8,0.2049814818705242,5
co,2,9,0.21659623122973296,5
co,3,0,0.013727749658244415,5
co,3,1,0.018853812992802817,5
co,3,2,0.061883413591714606,5
co,3,3,0.09914706551596024,5
co,3,4,0.11380558495747786,5
co,3,5,0.13101234090153016,5
co,3,6,0.15106212201956848,5
co,3,7,0.1689168096358797,5
co,3,8,0.183944826246393,5
co,3,9,0.1971486945125629,5
co,4,0,0.013914795888014149,5
co,4,1,0.021996572258715895,5
co,4,2,0.07515769060001205,5
co,4,3,0.1033988709837725,5
co,4,4,0.1118119521295533,5
co,4,5,0.1243836700229383,5
co,4,6,0.14811009076114165,5
co,4,7,0.18065880695561742,5
co,4,8,0.20904113625995147,5
co,4,9,0.22566092840493787,5
co,5,0,0.013819106904077819,5
co,5,1,0.018752592747604147,5
co,5,2,0.05869398241704064,5
co,5,3,0.09695580782426182,5
co,5,4,0.1076726535185453,5
co,5,5,0.11826050128451535,5
co,5,6,0.13675151877069194,5
co,5,7,0.1648170387406741,5
co,5,8,0.19507254363435264,5
co,5,9,0.21877741149471935,5
co,6,0,0.01404760026632417,5
co,6,1,0.022301544943136607,5
co,6,2,0.06539614334484431,5
co,6,3,0.08988120064289203,5
co,6,4,0.09977449614797455,5
co,6,5,0.11587780683471025,5
co,6,6,0.14312236369310422,5
co,6,7,0.17363780681910346,5
co,6,8,0.1948046992245637,5
co,6,9,0.20734458507670744,5
co,7,0,0.01392443210702033,5
co,7,1,0.022869401064715054,5
co,7,2,0.07780181617559657,5
co,7,3,0.10521433366741702,5
co,7,4,0.1155558782481308,5
co,7,5,0.13156913012914262,5
co,7,6,0.1573610280228905,5
co,7,7,0.1857433021485334,5
co,7,8,0.20574988785434195,5
co,7,9,0.21751754510872337,5
co,8,0,0.013928144351169208,5
co,8,1,0.021106711601020765,5
co,8,2,0.0670086946455195,5
co,8,3,0.09758064207455143,5
co,8,4,0.1079706922334915,5
co,8,5,0.12071150503823005,5
co,8,6,0.14250944855879935,5
co,8,7,0.17220471351811423,5
co,8,8,0.19875804836168542,5
co,8,9,0.21635042876950472,5
co,9,0,0.01376557910475945,5
co,9,1,0.019515517367309738,5
co,9,2,0.07076228540521523,5
co,9,3,0.11316900007735516,5
co,9,4,0.12725006613800668,5
co,9,5,0.14536658713574854,5
co,9,6,0.17126305365314,5
co,9,7,0.19944124296102583,5
co,9,8,0.22220419048822115,5
co,9,9,0.23803137121231668,5
