##culture:mono#seed:685#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
mono,0,0,0.014123425553688104,5
mono,0,1,0.014338006435311213,5
mono,0,2,0.014524562733738734,5
mono,0,3,0.014623940726136049,5
mono,0,4,0.014978250763027367,5
mono,0,5,0.015131621391841111,5
mono,0,6,0.015153348651984373,5
mono,0,7,0.015371761788542515,5
mono,0,8,0.015565335470380361,5
mono,0,9,0.015522417145250418,5
mono,1,0,0.013679665743308967,5
mono,1,1,0.014078257084726674,5
mono,1,2,0.014316590573948915,5
mono,1,3,0.014777981742501193,5
mono,1,4,0.015058932620465405,5
mono,1,5,0.015196787526691157,5
mono,1,6,0.015213635721088598,5
mono,1,7,0.015392692127364844,5
mono,1,8,0.015431830859771659,5
mono,1,9,0.015355063841080254,5
mono,2,0,0.013778813946728878,5
mono,2,1,0.014070379678191285,5
mono,2,2,0.01439263996246712,5
mono,2,3,0.014884000675636154,5
mono,2,4,0.014818610843832144,5
mono,2,5,0.015005142083525711,5
mono,2,6,0.014871546786465632,5
mono,2,7,0.014908048411485804,5
mono,2,8,0.014877746100625304,5
mono,2,9,0.01499724764279857,5
mono,3,0,0.014028260069366388,5
mono,3,1,0.014548812270321279,5
mono,3,2,0.014592500274425275,5
mono,3,3,0.014589586450225097,5
mono,3,4,0.014629220126049749,5
mono,3,5,0.014891874181246718,5
mono,3,6,0.01502238736982973,5
mono,3,7,0.015169855623759458,5
mono,3,8,0.015238600472854389,5
mono,3,9,0.015570392785897976,5
mono,4,0,0.013790129510783213,5
mono,4,1,0.014164857578894371,5
mono,4,2,0.014443777223978752,5
mono,4,3,0.014559330836777047,5
mono,4,4,0.014610820218727477,5
mono,4,5,0.014762554680128607,5
mono,4,6,0.014838095535430987,5
mono,4,7,0.015109007314746532,5
mono,4,8,0.015216826007636096,5
mono,4,9,0.01542778891709465,5
mono,5,0,0.013882954005421866,5
mono,5,1,0.014218895758046395,5
mono,5,2,0.014416995948371763,5
mono,5,3,0.014573499797672812,5
mono,5,4,0.014722925233774943,5
mono,5,5,0.015193320227478218,5
mono,5,6,0.015306782351032567,5
mono,5,7,0.01548126871147569,5
mono,5,8,0.015304274530953548,5
mono,5,9,0.015152056929890101,5
mono,6,0,0.014295680834794813,5
mono,6,1,0.014461862339814563,5
mono,6,2,0.01479430463490766,5
mono,6,3,0.015264878851122763,5
mono,6,4,0.015064245846423931,5
mono,6,5,0.015085455572129296,5
mono,6,6,0.015004690498901919,5
mono,6,7,0.014839359386246073,5
mono,6,8,0.015375035159578878,5
mono,6,9,0.015227581557659246,5
mono,7,0,0.014204270124641755,5
mono,7,1,0.014284911982699062,5
mono,7,2,0.014466507897132028,5
mono,7,3,0.014706231890787019,5
mono,7,4,0.015239009792550957,5
mono,7,5,0.015180418392949913,5
mono,7,6,0.01518456622539103,5
mono,7,7,0.015552608978153429,5
mono,7,8,0.015621404386859532,5
mono,7,9,0.015738947359635446,5
mono,8,0,0.013858784528220971,5
mono,8,1,0.014431981708781356,5
mono,8,2,0.01433979673463901,5
mono,8,3,0.01468027227024961,5
mono,8,4,0.014917192091838123,5
mono,8,5,0.015113140405223975,5
mono,8,6,0.015004335372749643,5
mono,8,7,0.015384278776725498,5
mono,8,8,0.015247425270767218,5
mono,8,9,0.015460251622183244,5
mono,9,0,0.014291044668921452,5
mono,9,1,0.01483416095296197,5
mono,9,2,0.015037242752028258,5
mono,9,3,0.015245718494216255,5
mono,9,4,0.01530896939343448,5
mono,9,5,0.015172040635636397,5
mono,9,6,0.01524528590919223,5
mono,9,7,0.015090719985313875,5
mono,9,8,0.015377434784955719,5
mono,9,9,0.015455276095336411,5
