culture,dur,rep,frac_slope
Monoculture,0,0,0.11635071740226066
Coculture,0,0,0.11689996863329481
Monoculture,0,1,0.12141494882035474
Coculture,0,1,0.11406113026087297
Monoculture,0,2,0.1259936266923329
Coculture,0,2,0.10816994561760886
Monoculture,0,3,0.12902203211622837
Coculture,0,3,0.10861352857368692
Monoculture,0,4,0.12836026919034868
Coculture,0,4,0.11928996653828815
Monoculture,0,5,0.11605670487239471
Coculture,0,5,0.11146232571898224
Monoculture,0,6,0.11631657457745577
Coculture,0,6,0.12979099490289248
Monoculture,0,7,0.10983118128152049
Coculture,0,7,0.11898581246698199
Monoculture,0,8,0.11629009671406096
Coculture,0,8,0.1213067847684733
Monoculture,0,9,0.12751788913560863
Coculture,0,9,0.12680839230951738
Monoculture,1,0,0.1089847827776626
Coculture,1,0,0.1256725166841678
Monoculture,1,1,0.11423070328430084
Coculture,1,1,0.132018353413977
Monoculture,1,2,0.11625090746720242
Coculture,1,2,0.10056657013485515
Monoculture,1,3,0.11184579527296078
Coculture,1,3,0.10768891267935485
Monoculture,1,4,0.11245289602202721
Coculture,1,4,0.11601721821842972
Monoculture,1,5,0.11444952133241867
Coculture,1,5,0.12930149812435332
Monoculture,1,6,0.13714884478954006
Coculture,1,6,0.12221436147010885
Monoculture,1,7,0.11631599908738384
Coculture,1,7,0.12319957399899109
Monoculture,1,8,0.10384881287833324
Coculture,1,8,0.11244461765943667
Monoculture,1,9,0.12224763047856263
Coculture,1,9,0.12290304135762914
Monoculture,2,0,0.1206838455154029
Coculture,2,0,0.1087883025982019
Monoculture,2,1,0.11430324130510894
Coculture,2,1,0.11308420873628205
Monoculture,2,2,0.11283562383630298
Coculture,2,2,0.11542946757794095
Monoculture,2,3,0.10508092674086753
Coculture,2,3,0.13169886053456137
Monoculture,2,4,0.12116605304515271
Coculture,2,4,0.1228792298787679
Monoculture,2,5,0.11047563049260839
Coculture,2,5,0.12145774517166301
Monoculture,2,6,0.12807492263465634
Coculture,2,6,0.11209130508489196
Monoculture,2,7,0.11768558773895717
Coculture,2,7,0.12850146848592633
Monoculture,2,8,0.11437504130876132
Coculture,2,8,0.12206456415758872
Monoculture,2,9,0.12073154182859602
Coculture,2,9,0.12619054752499007
Monoculture,3,0,0.13227241798593825
Coculture,3,0,0.12240079450649209
Monoculture,3,1,0.11481920094118547
Coculture,3,1,0.11394161876903304
Monoculture,3,2,0.11616763568838935
Coculture,3,2,0.12793733790445325
