##culture:co#seed:166#rep:10#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
co,0,0,0,Escherichia coli,E0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,0,Salmonella enterica,S0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,1,Escherichia coli,E0c0,0.016075268873220735,4.175425154111128e-05,1.0,17.83061285001004,1216.7342233937404,228.84557966381405
co,0,0,1,Salmonella enterica,S0c0,0.1434987582952561,4.175425154111128e-05,1.0,17.83061285001004,1216.7342233937404,228.84557966381405
co,0,0,2,Escherichia coli,E0c0,1000.0159070197669,2.8941129566547403e-18,1.0,688.7998553520183,8.069269117217319e-36,-1.3847653293853742e-26
co,0,0,2,Salmonella enterica,S0c0,504.1434344324178,2.8941129566547403e-18,1.0,688.7998553520183,8.069269117217319e-36,-1.3847653293853742e-26
co,0,0,2,Salmonella enterica,S1c0,1.0,0.0,1.3223603577684517,688.7998553520183,8.069269117217319e-36,-1.3847653293853742e-26
co,0,1,1,Escherichia coli,E0c0,0.03920157635460138,0.004175492424457713,1.0,772.8303699462299,625.0196951570385,3.4371819611784127
co,0,1,1,Salmonella enterica,S0c0,3.4843427424777547,0.0021050136068196017,1.0,772.8303699462299,625.0196951570385,3.4371819611784127
co,0,1,1,Salmonella enterica,S1c0,0.006428977468545683,6.099290501493887e-05,1.3223603577684517,772.8303699462299,625.0196951570385,3.4371819611784127
co,0,1,2,Escherichia coli,E0c0,1000.0431670597302,2.828654816134083e-13,1.0,688.799855352021,-1.264479692243378e-35,-1.1760173405750871e-26
co,0,1,2,Salmonella enterica,S0c0,507.5481149571173,1.4260255360929683e-13,1.0,688.799855352021,-1.264479692243378e-35,-1.1760173405750871e-26
co,0,1,2,Salmonella enterica,S1c0,0.9447159858540177,6.85853978160832e-13,1.3223603577684517,688.799855352021,-1.264479692243378e-35,-1.1760173405750871e-26
co,0,2,1,Escherichia coli,E0c0,0.03920167945031677,0.004175606178329238,1.0,773.3929318605265,625.016287760625,2.7189533624406876
co,0,2,1,Salmonella enterica,S0c0,3.600206102123853,0.0021192295637051423,1.0,773.3929318605265,625.016287760625,2.7189533624406876
co,0,2,1,Salmonella enterica,S1c0,0.006233790435538373,5.762097218460427e-05,1.3223603577684517,773.3929318605265,625.016287760625,2.7189533624406876
co,0,2,2,Escherichia coli,E0c0,1000.0431672765756,4.2148560953466645e-13,1.0,688.7998553520257,-3.5654438053863174e-35,-6.698934470981579e-26
co,0,2,2,Salmonella enterica,S0c0,507.721849859627,2.1391503482275636e-13,1.0,688.7998553520257,-3.5654438053863174e-35,-6.698934470981579e-26
co,0,2,2,Salmonella enterica,S1c0,0.8866600756871932,9.198632028986472e-13,1.3223603577684517,688.7998553520257,-3.5654438053863174e-35,-6.698934470981579e-26
co,0,3,1,Escherichia coli,E0c0,0.03920166808035942,0.004175606181043058,1.0,773.411941163362,625.0162877278352,2.6945824902606534
co,0,3,1,Salmonella enterica,S0c0,3.605134829065205,0.0021199549818414483,1.0,773.411941163362,625.0162877278352,2.6945824902606534
co,0,3,1,Salmonella enterica,S1c0,0.005856720396887138,5.407997358773597e-05,1.3223603577684517,773.411941163362,625.0162877278352,2.6945824902606534
co,0,3,2,Escherichia coli,E0c0,1000.0431672652097,2.812936249651076e-13,1.0,688.7998553521085,-5.95204302206797e-36,-9.862335089165101e-27
