##culture:mono#seed:685#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
mono,0,0,0,Escherichia coli,E0c0,0.0,10.0,1.0,1000.0,1000.0,0.0
mono,0,0,1,Escherichia coli,E0c0,0.023400457921584263,1.1301737413381923e-05,1.0,1424.7511179779842,747.5116972798297,760.0131276723738
mono,0,0,2,Escherichia coli,E0c0,992.0232017547768,2.061025224457508e-12,1.0,899.9998110000313,-7.580699533358738e-27,1009.9997879000346
mono,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.3879719460698343,899.9998110000313,-7.580699533358738e-27,1009.9997879000346
mono,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.8843328950246132,899.9998110000313,-7.580699533358738e-27,1009.9997879000346
mono,0,0,2,Escherichia coli,E3c0,1.0,0.0,2.0163476156784155,899.9998110000313,-7.580699533358738e-27,1009.9997879000346
mono,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.8822565999103065,899.9998110000313,-7.580699533358738e-27,1009.9997879000346
mono,0,0,2,Escherichia coli,E5c0,1.0,0.0,1.0431251429713444,899.9998110000313,-7.580699533358738e-27,1009.9997879000346
mono,0,0,2,Escherichia coli,E6c0,1.0,0.0,1.4331156232989,899.9998110000313,-7.580699533358738e-27,1009.9997879000346
mono,0,0,2,Escherichia coli,E7c0,1.0,0.0,1.2517322987592077,899.9998110000313,-7.580699533358738e-27,1009.9997879000346
mono,0,0,2,Escherichia coli,E8c0,1.0,0.0,1.0797349989794016,899.9998110000313,-7.580699533358738e-27,1009.9997879000346
mono,0,1,1,Escherichia coli,E0c0,0.035100573699867826,0.0005605752174157393,1.0,1637.5014564965388,625.0157012152584,1136.234014260105
mono,0,1,1,Escherichia coli,E1c0,4.225697857542228e-05,2.1392336525646004e-05,1.3879719460698343,1637.5014564965388,625.0157012152584,1136.234014260105
mono,0,1,1,Escherichia coli,E2c0,0.00011757021133268207,0.0002522001255029452,1.8843328950246132,1637.5014564965388,625.0157012152584,1136.234014260105
mono,0,1,1,Escherichia coli,E3c0,0.00015640067283203334,0.0003961984436607063,2.0163476156784155,1637.5014564965388,625.0157012152584,1136.234014260105
mono,0,1,1,Escherichia coli,E4c0,0.0001170275151973312,0.0002502881171599255,1.8822565999103065,1637.5014564965388,625.0157012152584,1136.234014260105
mono,0,1,1,Escherichia coli,E5c0,3.5090874985835906e-05,9.672155013289307e-07,1.0431251429713444,1637.5014564965388,625.0157012152584,1136.234014260105
mono,0,1,1,Escherichia coli,E6c0,4.518653853890335e-05,2.8733710426936782e-05,1.4331156232989,1637.5014564965388,625.0157012152584,1136.234014260105
mono,0,1,1,Escherichia coli,E7c0,3.6744553935571484e-05,7.718416000984111e-06,1.2517322987592077,1637.5014564965388,625.0157012152584,1136.234014260105
mono,0,1,1,Escherichia coli,E8c0,3.497336061049931e-05,1.4758370956895739e-06,1.0797349989794016,1637.5014564965388,625.0157012152584,1136.234014260105
mono,0,1,2,Escherichia coli,E0c0,961.7814416104032,-1.5170470105734628e-13,1.0,899.9998110000212,-1.332125821713869e-32,1009.9997879000252
