##culture:co#seed:763#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 10)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013992509259457707,5
co,0,1,0.016557342308151993,5
co,0,2,0.026071294597024477,5
co,0,3,0.050670958928297,5
co,0,4,0.07773621732810403,5
co,0,5,0.09133230794690794,5
co,0,6,0.09806012491895073,5
co,0,7,0.10321549597034638,5
co,0,8,0.10946558450493118,5
co,0,9,0.11764773103895694,5
co,1,0,0.014142352995781413,5
co,1,1,0.017720430483437105,5
co,1,2,0.031393202212470536,5
co,1,3,0.06327768647549939,5
co,1,4,0.09239089552654613,5
co,1,5,0.10627287721387564,5
co,1,6,0.11423019784877302,5
co,1,7,0.12190289666066745,5
co,1,8,0.13045728839782456,5
co,1,9,0.13956315677606698,5
co,2,0,0.013980899836349352,5
co,2,1,0.017102944303438734,5
co,2,2,0.02960496171147037,5
co,2,3,0.059833545439088275,5
co,2,4,0.08773720910478598,5
co,2,5,0.10021301886418053,5
co,2,6,0.10683545508281084,5
co,2,7,0.11247345585852202,5
co,2,8,0.11953907079622876,5
co,2,9,0.12844242187481925,5
co,3,0,0.013700038826776572,5
co,3,1,0.014794258508597492,5
co,3,2,0.019192927295561144,5
co,3,3,0.03329996872236672,5
co,3,4,0.058722724915004874,5
co,3,5,0.07929327509145317,5
co,3,6,0.09092930054741596,5
co,3,7,0.09951420785585124,5
co,3,8,0.10888453234242325,5
co,3,9,0.1193115031716983,5
co,4,0,0.013854047055831884,5
co,4,1,0.016348778796242164,5
co,4,2,0.02689557465558967,5
co,4,3,0.058968078286498395,5
co,4,4,0.1010048048506679,5
co,4,5,0.12937263587294007,5
co,4,6,0.14845676953818057,5
co,4,7,0.163899321384903,5
co,4,8,0.1767140611574426,5
co,4,9,0.18702623761456338,5
co,5,0,0.013757025801547973,5
co,5,1,0.015309378204414012,5
co,5,2,0.022020993201655632,5
co,5,3,0.04313848980298418,5
co,5,4,0.07318596483181491,5
co,5,5,0.0911072604193703,5
co,5,6,0.09966531640689351,5
co,5,7,0.10634071654948798,5
co,5,8,0.11391901100471025,5
co,5,9,0.12328320450555237,5
co,6,0,0.014067357048256755,5
co,6,1,0.016954790350286623,5
co,6,2,0.02854462960750249,5
co,6,3,0.05770168124025181,5
co,6,4,0.08653923251981298,5
co,6,5,0.09987714568019308,5
co,6,6,0.1063843887068286,5
co,6,7,0.11246488053017165,5
co,6,8,0.11947270280500656,5
co,6,9,0.12818701471905042,5
co,7,0,0.01416050717158456,5
co,7,1,0.01716850822727052,5
co,7,2,0.02949459937164909,5
co,7,3,0.06040111761299477,5
co,7,4,0.09156270720480636,5
co,7,5,0.10676858246906358,5
co,7,6,0.11534648151754788,5
co,7,7,0.12321935333146439,5
co,7,8,0.13212288390103016,5
co,7,9,0.14307206373479872,5
co,8,0,0.01395366728437053,5
co,8,1,0.016134256386896334,5
co,8,2,0.025149489104170163,5
co,8,3,0.051602647210680114,5
co,8,4,0.08446603951844917,5
co,8,5,0.10230895235170127,5
co,8,6,0.11213237174469086,5
co,8,7,0.12013130776416031,5
co,8,8,0.1289603286047382,5
co,8,9,0.1391809937247194,5
co,9,0,0.013821815073129427,5
co,9,1,0.015619010326266204,5
co,9,2,0.02268035010534007,5
co,9,3,0.04422579028848692,5
co,9,4,0.07517808141620541,5
co,9,5,0.09505519590863833,5
co,9,6,0.10583525623893028,5
co,9,7,0.11437633247539797,5
co,9,8,0.12398122670317646,5
co,9,9,0.13402161378995817,5
