seed,culture,lac,rep,frac_slope
763,Monoculture,1,0,0.0
763,Coculture,1,0,6.829009673411345e-07
763,Monoculture,1,1,0.0
763,Coculture,1,1,6.829009673411345e-07
763,Monoculture,1,2,0.0
763,Coculture,1,2,0.04865210438585726
763,Monoculture,1,3,0.0
763,Coculture,1,3,6.829009673411345e-07
763,Monoculture,1,4,0.0
763,Coculture,1,4,6.829009673411345e-07
763,Monoculture,1,5,0.0
763,Coculture,1,5,6.829009673411345e-07
763,Monoculture,1,6,0.0
763,Coculture,1,6,6.829009673411345e-07
763,Monoculture,1,7,0.0
763,Coculture,1,7,6.824252784091191e-07
763,Monoculture,1,8,0.0
763,Coculture,1,8,6.829009673411345e-07
763,Monoculture,1,9,0.0
763,Coculture,1,9,0.07474757191523257
763,Monoculture,5,0,0.0
763,Coculture,5,0,0.05811082870221055
763,Monoculture,5,1,0.043248248533749804
763,Coculture,5,1,0.023418148633000072
763,Monoculture,5,2,0.04313640980897154
763,Coculture,5,2,0.029944771084978863
763,Monoculture,5,3,0.0
763,Coculture,5,3,3.45806281671643e-07
763,Monoculture,5,4,0.0
763,Coculture,5,4,0.13394151529694037
763,Monoculture,5,5,0.0
763,Coculture,5,5,0.12401974761406405
763,Monoculture,5,6,0.0
763,Coculture,5,6,3.45806281671643e-07
763,Monoculture,5,7,0.0745829654599203
763,Coculture,5,7,3.45806281671643e-07
763,Monoculture,5,8,0.0
763,Coculture,5,8,3.483966386618288e-07
763,Monoculture,5,9,0.08852954105961942
763,Coculture,5,9,0.08127415218494012
763,Monoculture,10,0,0.042269064546765045
763,Coculture,10,0,7.646630557162924e-08
763,Monoculture,10,1,0.12068836277309934
763,Coculture,10,1,7.67959165592913e-08
763,Monoculture,10,2,0.0
763,Coculture,10,2,0.1168009540539371
763,Monoculture,10,3,0.0
763,Coculture,10,3,7.646630557162924e-08
763,Monoculture,10,4,0.05060215376493357
763,Coculture,10,4,7.646630557162924e-08
763,Monoculture,10,5,0.0
763,Coculture,10,5,0.040676137337483646
763,Monoculture,10,6,0.0
763,Coculture,10,6,0.01069621137200629
763,Monoculture,10,7,0.0
763,Coculture,10,7,0.06204915174627296
763,Monoculture,10,8,0.0996873702185973
763,Coculture,10,8,0.011723000617473703
763,Monoculture,10,9,0.1257703290933488
763,Coculture,10,9,0.09317808655342663
763,Monoculture,20,0,0.04899189081279781
763,Coculture,20,0,0.08986190897836334
763,Monoculture,20,1,0.0252495575339033
763,Coculture,20,1,0.019833425003728623
763,Monoculture,20,2,0.004782497433394705
763,Coculture,20,2,-9.634837715534093e-08
763,Monoculture,20,3,0.021126552166093777
763,Coculture,20,3,0.10235305046421614
763,Monoculture,20,4,0.12384248974772545
763,Coculture,20,4,0.0471181651899979
763,Monoculture,20,5,0.12265926251756265
763,Coculture,20,5,0.09692984675749372
763,Monoculture,20,6,0.019206179704056782
763,Coculture,20,6,0.07756879079930447
763,Monoculture,20,7,0.044907575769559935
763,Coculture,20,7,0.09016916065040728
763,Monoculture,20,8,0.12067818448879779
763,Coculture,20,8,0.10204566446076307
763,Monoculture,20,9,0.09572599917676315
763,Coculture,20,9,0.04649449338002907
763,Monoculture,50,0,0.05924620595346881
763,Coculture,50,0,0.03231845978742445
763,Monoculture,50,1,0.06341106288359188
763,Coculture,50,1,0.008105500812166816
763,Monoculture,50,2,0.11662637394413973
763,Coculture,50,2,0.11133398288631852
763,Monoculture,50,3,0.10562555673388707
763,Coculture,50,3,0.11942771669270401
763,Monoculture,50,4,0.13495707196530943
763,Coculture,50,4,0.09623809495925353
763,Monoculture,50,5,0.07328753470760234
763,Coculture,50,5,0.08755493793648417
763,Monoculture,50,6,0.09203491236825417
763,Coculture,50,6,0.13205926152901648
763,Monoculture,50,7,0.10897630263801687
763,Coculture,50,7,0.11068971553111462
763,Monoculture,50,8,0.15921083203035855
763,Coculture,50,8,0.02343979038896691
763,Monoculture,50,9,0.07845710153698257
763,Coculture,50,9,0.08950720035986204
763,Monoculture,100,0,0.13500984680396755
763,Coculture,100,0,0.1029296680736292
763,Monoculture,100,1,0.10181145444650894
763,Coculture,100,1,0.1192379215824529
763,Monoculture,100,2,0.13197890418024522
763,Coculture,100,2,0.09415479098516973
763,Monoculture,100,3,0.10091572571271772
763,Coculture,100,3,0.12989278207768076
763,Monoculture,100,4,0.09206102955408044
763,Coculture,100,4,0.10747603764272502
763,Monoculture,100,5,0.08922127503444513
763,Coculture,100,5,0.0926423410239165
763,Monoculture,100,6,0.10943587988094827
763,Coculture,100,6,0.10075585749330317
763,Monoculture,100,7,0.100401416269251
763,Coculture,100,7,0.13978625172084536
763,Monoculture,100,8,0.1014657509034882
763,Coculture,100,8,0.11257852012543354
763,Monoculture,100,9,0.0915297484818424
763,Coculture,100,9,0.0944775798293437
763,Monoculture,125,0,0.10351317497699658
763,Coculture,125,0,0.12287383369498717
763,Monoculture,125,1,0.11063587324411751
763,Coculture,125,1,0.10227010123320407
763,Monoculture,125,2,0.1187635419876516
763,Coculture,125,2,0.12126066209658393
763,Monoculture,125,3,0.10701804442395742
763,Coculture,125,3,0.11103426802769296
