##culture:co#seed:763#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 400, 0)#init_n:(5, 5)#init_lag:(1, 10)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
co,0,0,0,Escherichia coli,E0c0,0.0,5.0,1.0,1.0,400.0,0.0
co,0,0,0,Salmonella enterica,S0c0,0.0,5.0,10.0,1.0,400.0,0.0
co,0,0,1,Escherichia coli,E0c0,0.11406402586291123,0.033689735559102395,1.0,1.8189684678391376,397.5738669307955,1.089383274563977
co,0,0,1,Salmonella enterica,S0c0,0.60634564947433,3.032653298560169,10.0,1.8189684678391376,397.5738669307955,1.089383274563977
co,0,0,2,Escherichia coli,E0c0,396.1476697305704,-1.0433460196399428e-15,1.0,276.119942014805,-3.409090855427352e-27,2.854481379743697e-14
co,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.6196078027466423,276.119942014805,-3.409090855427352e-27,2.854481379743697e-14
co,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.4910471213226637,276.119942014805,-3.409090855427352e-27,2.854481379743697e-14
co,0,0,2,Escherichia coli,E3c0,1.0,0.0,1.8909345768279997,276.119942014805,-3.409090855427352e-27,2.854481379743697e-14
co,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.5115530472698944,276.119942014805,-3.409090855427352e-27,2.854481379743697e-14
co,0,0,2,Salmonella enterica,S0c0,204.59347948809835,0.04547642511074595,10.0,276.119942014805,-3.409090855427352e-27,2.854481379743697e-14
co,0,0,2,Salmonella enterica,S1c0,1.0,0.0,10.112262489581928,276.119942014805,-3.409090855427352e-27,2.854481379743697e-14
co,0,1,1,Escherichia coli,E0c0,1.3513115125227917,1.3346109929719072,1.0,155.3233896263509,301.37378315238027,66.11754227480218
co,0,1,1,Escherichia coli,E1c0,0.010324529320313917,0.022815518741018056,1.6196078027466423,155.3233896263509,301.37378315238027,66.11754227480218
co,0,1,1,Escherichia coli,E2c0,0.008940231108219687,0.01748354265898269,1.4910471213226637,155.3233896263509,301.37378315238027,66.11754227480218
co,0,1,1,Escherichia coli,E3c0,0.012936000728992052,0.0355312633937787,1.8909345768279997,155.3233896263509,301.37378315238027,66.11754227480218
co,0,1,1,Escherichia coli,E4c0,0.009166303959210472,0.018297271983093732,1.5115530472698944,155.3233896263509,301.37378315238027,66.11754227480218
co,0,1,1,Salmonella enterica,S0c0,6.926080933008745,62.05990046647096,10.0,155.3233896263509,301.37378315238027,66.11754227480218
co,0,1,1,Salmonella enterica,S1c0,0.03361598950629099,0.3049533786778186,10.112262489581928,155.3233896263509,301.37378315238027,66.11754227480218
co,0,1,2,Escherichia coli,E0c0,383.2567296480505,1.6157964546572696e-17,1.0,276.1199420148104,-2.2109943450957705e-29,-7.885428969644629e-15
co,0,1,2,Escherichia coli,E1c0,3.857018612565913,1.283530373606537e-13,1.6196078027466423,276.1199420148104,-2.2109943450957705e-29,-7.885428969644629e-15
co,0,1,2,Escherichia coli,E2c0,3.205497453734166,1.0617554742090764e-14,1.4910471213226637,276.1199420148104,-2.2109943450957705e-29,-7.885428969644629e-15
co,0,1,2,Escherichia coli,E3c0,5.192737841172666,8.114402557943315e-12,1.8909345768279997,276.1199420148104,-2.2109943450957705e-29,-7.885428969644629e-15
