##culture:mono#seed:763#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 500, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
mono,0,0,0,Escherichia coli,E0c0,0.0,10.0,1.0,1000.0,500.0,0.0
mono,0,0,1,Escherichia coli,E0c0,0.0673171716938096,0.06737946805249767,1.0,999.5067098420045,495.06733592004156,4.981978095757981
mono,0,0,2,Escherichia coli,E0c0,499.13459161180674,5.722610439875677e-12,1.0,949.9998005000275,-5.8373234761107075e-24,504.99989395001506
mono,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.5092924885347472,949.9998005000275,-5.8373234761107075e-24,504.99989395001506
mono,0,1,1,Escherichia coli,E0c0,1.6809430888816344,1.6815712048364817,1.0,1462.665987530034,376.6612290501747,377.0720866968326
mono,0,1,1,Escherichia coli,E1c0,0.009052759315248907,0.018206844603782347,1.5092924885347472,1462.665987530034,376.6612290501747,377.0720866968326
mono,0,1,2,Escherichia coli,E0c0,495.15378863935496,-6.37238151504112e-12,1.0,949.9998005000243,-3.827841628047727e-21,504.99989395001205
mono,0,1,2,Escherichia coli,E1c0,3.2358795550517883,-5.982595602428077e-11,1.5092924885347472,949.9998005000243,-3.827841628047727e-21,504.99989395001205
mono,0,1,2,Escherichia coli,E2c1,1.0,0.0,1.999311152329477,949.9998005000243,-3.827841628047727e-21,504.99989395001205
mono,0,1,2,Escherichia coli,E3c1,1.0,0.0,1.4444654208905787,949.9998005000243,-3.827841628047727e-21,504.99989395001205
mono,0,1,2,Escherichia coli,E4c1,1.0,0.0,1.9917478273493594,949.9998005000243,-3.827841628047727e-21,504.99989395001205
mono,0,1,2,Escherichia coli,E5c1,1.0,0.0,1.6967143201891164,949.9998005000243,-3.827841628047727e-21,504.99989395001205
mono,0,1,2,Escherichia coli,E6c1,1.0,0.0,1.7089863987963247,949.9998005000243,-3.827841628047727e-21,504.99989395001205
mono,0,2,1,Escherichia coli,E0c0,1.667550426495349,1.6681599851834739,1.0,1462.5967307752612,375.9686615024473,377.771579920036
mono,0,2,1,Escherichia coli,E1c0,0.029293829127486726,0.058915156214318205,1.5092924885347472,1462.5967307752612,375.9686615024473,377.771579920036
mono,0,2,1,Escherichia coli,E2c1,0.013728205820095029,0.04100716231751579,1.999311152329477,1462.5967307752612,375.9686615024473,377.771579920036
mono,0,2,1,Escherichia coli,E3c1,0.008336882060391952,0.015691511616425603,1.4444654208905787,1462.5967307752612,375.9686615024473,377.771579920036
mono,0,2,1,Escherichia coli,E4c1,0.013667398892195991,0.040619577091178076,1.9917478273493594,1462.5967307752612,375.9686615024473,377.771579920036
mono,0,2,1,Escherichia coli,E5c1,0.01101022223752084,0.02625183922813848,1.6967143201891164,1462.5967307752612,375.9686615024473,377.771579920036
mono,0,2,1,Escherichia coli,E6c1,0.011131595709723918,0.026813279733607552,1.7089863987963247,1462.5967307752612,375.9686615024473,377.771579920036
mono,0,2,2,Escherichia coli,E0c0,467.63845643441107,9.625157399584959e-11,1.0,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E1c0,9.974481246914364,-1.8950239968758413e-10,1.5092924885347472,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E2c1,4.181339050742126,8.678134538257688e-10,1.999311152329477,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E3c1,2.7888771898696816,-4.066437333894713e-11,1.4444654208905787,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E4c1,5.151836368670628,8.100586197896848e-10,1.9917478273493594,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E5c1,3.9216246931202763,-7.187076656371827e-11,1.6967143201891164,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E6c1,3.975456334012407,-6.65792981602783e-11,1.7089863987963247,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E7c2,1.0,0.0,1.506078442658847,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E8c2,1.0,0.0,1.0159843611333488,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E9c2,1.0,0.0,1.7505880023211926,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E10c2,1.0,0.0,2.0706393374384087,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E11c2,1.0,0.0,1.4103170168354233,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,2,2,Escherichia coli,E12c2,1.0,0.0,2.0240930600989397,949.9998005000214,-7.619491109206368e-27,504.99989395001114
mono,0,3,1,Escherichia coli,E0c0,1.5748732671595582,1.5754615606286442,1.0,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E1c0,0.09029664644792829,0.18160383006308625,1.5092924885347472,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E2c1,0.05740199650878416,0.17146484919400248,1.999311152329477,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E3c1,0.02325040310859574,0.043761698821169766,1.4444654208905787,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E4c1,0.07041185059066433,0.20926541457133913,1.9917478273493594,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E5c1,0.04317772703717231,0.10294986095513901,1.6967143201891164,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E6c1,0.04425293538606779,0.10659502275096402,1.7089863987963247,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E7c2,0.009017672379600697,0.018078581573354877,1.506078442658847,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E8c2,0.00353198315377908,0.0036446943236230923,1.0159843611333488,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E9c2,0.011536221957372,0.028743881365089572,1.7505880023211926,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E10c2,0.014283658579077985,0.04469648960756391,2.0706393374384087,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E11c2,0.00795364188382296,0.014429950088688269,1.4103170168354233,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,1,Escherichia coli,E12c2,0.013924813513193163,0.04228218947211466,2.0240930600989397,1462.6344063836173,376.34541758603666,377.3910562756099
mono,0,3,2,Escherichia coli,E0c0,382.36673189934805,1.3434564682067866e-11,1.0,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E1c0,26.475732539860886,-4.4539729527663334e-11,1.5092924885347472,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E2c1,18.65716791828158,9.102088955586199e-10,1.999311152329477,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E3c1,6.697549638091163,-7.567075633985602e-12,1.4444654208905787,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E4c1,22.856613125542314,1.0441883816846808e-09,1.9917478273493594,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E5c1,13.243437468279025,-1.5487595834002827e-11,1.6967143201891164,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E6c1,13.60953593732567,-1.1297544183038313e-11,1.7089863987963247,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E7c2,2.6418115659211456,-4.374732888611037e-12,1.506078442658847,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E8c2,0.8687447955151323,3.583621974398555e-14,1.0159843611333488,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E9c2,3.5793179925572667,3.080374219151199e-12,1.7505880023211926,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E10c2,4.6968416828022965,4.075301866745301e-10,2.0706393374384087,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E11c2,2.268707454454502,-1.936255828082232e-12,1.4103170168354233,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E12c2,4.5445928906836155,2.7308833755465164e-10,2.0240930600989397,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E13c3,1.0,0.0,1.5769669530447978,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,3,2,Escherichia coli,E14c3,1.0,0.0,2.0213308958026652,949.9998005000217,-4.527706265705446e-23,504.9998939500115
mono,0,4,1,Escherichia coli,E0c0,1.2876665058846968,1.2881833818427562,1.0,1462.7683153556518,377.68450730638125,376.03857565806237
mono,0,4,1,Escherichia coli,E1c0,0.2396738157801275,0.4820395481305483,1.5092924885347472,1462.7683153556518,377.68450730638125,376.03857565806237
mono,0,4,1,Escherichia coli,E2c1,0.2561236946898229,0.7650775132487494,1.999311152329477,1462.7683153556518,377.68450730638125,376.03857565806237
mono,0,4,1,Escherichia coli,E3c1,0.05583520361775271,0.10509467794955608,1.4444654208905787,1462.7683153556518,377.68450730638125,376.03857565806237
mono,0,4,1,Escherichia coli,E4c1,0.31238342928557755,0.9284259589402444,1.9917478273493594,1462.7683153556518,377.68450730638125,376.03857565806237
mono,0,4,1,Escherichia coli,E5c1,0.14580966537517376,0.34766459124679566,1.6967143201891164,1462.7683153556518,377.68450730638125,376.03857565806237
mono,0,4,1,Escherichia coli,E6c1,0.1514922033903068,0.36491629413382115,1.7089863987963247,1462.7683153556518,377.68450730638125,376.03857565806237
mono,0,4,1,Escherichia coli,E7c2,0.023822513467296663,0.04776020589637647,1.506078442658847,1462.7683153556518,377.68450730638125,376.03857565806237
mono,0,4,1,Escherichia coli,E8c2,0.003068307955025797,0.003166309225450642,1.0159843611333488,1462.7683153556518,377.68450730638125,376.03857565806237
mono,0,4,1,Escherichia coli,E9c2,0.0412910428661458,0.10288349174645638,1.7505880023211926,1462.7683153556518,377.68450730638125,376.03857565806237
