##culture:co#seed:245#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013568274020256102,5
co,0,1,0.014289479784288057,5
co,0,2,0.017276453675705666,5
co,0,3,0.02866999004677457,5
co,0,4,0.05578887085039016,5
co,0,5,0.08354281345291878,5
co,0,6,0.09915984576514925,5
co,0,7,0.1088406126188801,5
co,0,8,0.11818044658184257,5
co,0,9,0.1287344550529426,5
co,1,0,0.013585263166187135,5
co,1,1,0.014227809921730226,5
co,1,2,0.0176351010152309,5
co,1,3,0.0324630745600061,5
co,1,4,0.06885214860644544,5
co,1,5,0.1027481342622364,5
co,1,6,0.12170509063171571,5
co,1,7,0.1366201052724898,5
co,1,8,0.15211137653324136,5
co,1,9,0.16844218793498353,5
co,2,0,0.013508860550086519,5
co,2,1,0.013982422256253204,5
co,2,2,0.016116876329310185,5
co,2,3,0.0246592563687669,5
co,2,4,0.04738261770908803,5
co,2,5,0.07365901938211605,5
co,2,6,0.0879182166331038,5
co,2,7,0.09500047954803245,5
co,2,8,0.10090415876134118,5
co,2,9,0.1073143306341427,5
co,3,0,0.013486800960955591,5
co,3,1,0.013760142319991973,5
co,3,2,0.01474377301734535,5
co,3,3,0.01840006469497795,5
co,3,4,0.029549888182220107,5
co,3,5,0.050545015621307914,5
co,3,6,0.06971130753358913,5
co,3,7,0.0819677747239196,5
co,3,8,0.0904379674886657,5
co,3,9,0.09794063009169761,5
co,4,0,0.013516388711175756,5
co,4,1,0.013841871218404488,5
co,4,2,0.014924929867652096,5
co,4,3,0.018764802201146326,5
co,4,4,0.029198949812651313,5
co,4,5,0.04696161416733035,5
co,4,6,0.06288992539130003,5
co,4,7,0.07264091959017112,5
co,4,8,0.0795966923026611,5
co,4,9,0.08768216361700144,5
co,5,0,0.013859094972946904,5
co,5,1,0.01592660620389419,5
co,5,2,0.025679617704764866,5
co,5,3,0.05602830451888878,5
co,5,4,0.0912676591870735,5
co,5,5,0.1063024397421113,5
co,5,6,0.11137759972479158,5
co,5,7,0.11463260655143916,5
co,5,8,0.1181341144131086,5
co,5,9,0.12214288428505127,5
co,6,0,0.01355203872920121,5
co,6,1,0.014048525448618857,5
co,6,2,0.01657358579066281,5
co,6,3,0.026148829946031963,5
co,6,4,0.05056366995300872,5
co,6,5,0.07857161674807583,5
co,6,6,0.09486409057711617,5
co,6,7,0.10488413777841768,5
co,6,8,0.11477265076588994,5
co,6,9,0.1263468363144032,5
co,7,0,0.013730834868500002,5
co,7,1,0.015211201035886003,5
co,7,2,0.021882545463252356,5
co,7,3,0.04602941640820091,5
co,7,4,0.0842422468521161,5
co,7,5,0.10761951771144199,5
co,7,6,0.1184350518700307,5
co,7,7,0.12651505154929907,5
co,7,8,0.1349640874626695,5
co,7,9,0.14452670913434928,5
co,8,0,0.013644788832326839,5
co,8,1,0.014804262871579122,5
co,8,2,0.019809226256117873,5
co,8,3,0.03714447814160979,5
co,8,4,0.06714407634607969,5
co,8,5,0.087141751790878,5
co,8,6,0.0954891300549902,5
co,8,7,0.10041082090669745,5
co,8,8,0.10504128911248405,5
co,8,9,0.11151741724929448,5
co,9,0,0.013537638178007886,5
co,9,1,0.01417021552917238,5
co,9,2,0.017586489001915777,5
co,9,3,0.0330262685707763,5
co,9,4,0.07035643289051852,5
co,9,5,0.1003649242907179,5
co,9,6,0.110719573160209,5
co,9,7,0.1152839175364368,5
co,9,8,0.11935076683015716,5
co,9,9,0.12444503565172536,5
