##culture:mono#seed:245#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
mono,0,0,0.0135089765335324,5
mono,0,1,0.013916117753379335,5
mono,0,2,0.015663293932554386,5
mono,0,3,0.022682237150376407,5
mono,0,4,0.04329490688035115,5
mono,0,5,0.07256824512162076,5
mono,0,6,0.09014377976595739,5
mono,0,7,0.09653422572825494,5
mono,0,8,0.09989542888627564,5
mono,0,9,0.1026523443639283,5
mono,1,0,0.013599136935716578,5
mono,1,1,0.014328704399818407,5
mono,1,2,0.01746071675416444,5
mono,1,3,0.02888261987988259,5
mono,1,4,0.055393235118694054,5
mono,1,5,0.08092737692263771,5
mono,1,6,0.0926563729788631,5
mono,1,7,0.09692766800948391,5
mono,1,8,0.09953761361787467,5
mono,1,9,0.10192692024333609,5
mono,2,0,0.013729727514610147,5
mono,2,1,0.014928542432664487,5
mono,2,2,0.0203106641342352,5
mono,2,3,0.039570984094329735,5
mono,2,4,0.07440888679117498,5
mono,2,5,0.09721748266834926,5
mono,2,6,0.10554791624905727,5
mono,2,7,0.10985288063192694,5
mono,2,8,0.11311590500777773,5
mono,2,9,0.11682476235621307,5
mono,3,0,0.013679349456164046,5
mono,3,1,0.014589462114299734,5
mono,3,2,0.018403724090520622,5
mono,3,3,0.03294726043502381,5
mono,3,4,0.06446522067536915,5
mono,3,5,0.09276791372054932,5
mono,3,6,0.10596964087770025,5
mono,3,7,0.11351274113749343,5
mono,3,8,0.12011541449093807,5
mono,3,9,0.12849111987404205,5
mono,4,0,0.01361912205318708,5
mono,4,1,0.014487431619611676,5
mono,4,2,0.017811436607621616,5
mono,4,3,0.029313476470859693,5
mono,4,4,0.05406862976341625,5
mono,4,5,0.07688556246151294,5
mono,4,6,0.08808835831007464,5
mono,4,7,0.09398881487387153,5
mono,4,8,0.098088770072056,5
mono,4,9,0.10315257054231215,5
mono,5,0,0.013634174683817375,5
mono,5,1,0.014562808431100976,5
mono,5,2,0.01817277942556397,5
mono,5,3,0.030716221135641427,5
mono,5,4,0.05729711601476543,5
mono,5,5,0.08021112599282386,5
mono,5,6,0.09103552158780014,5
mono,5,7,0.09596337681772955,5
mono,5,8,0.09974655217498775,5
mono,5,9,0.10383740382166565,5
mono,6,0,0.013853290455701104,5
mono,6,1,0.015822236459436288,5
mono,6,2,0.024329018725712866,5
mono,6,3,0.05072993857369289,5
mono,6,4,0.08472084517717712,5
mono,6,5,0.10137443926745535,5
mono,6,6,0.10726813796018095,5
mono,6,7,0.1107245649784097,5
mono,6,8,0.11339815735383223,5
mono,6,9,0.11702884905277716,5
mono,7,0,0.013722241438028979,5
mono,7,1,0.014812923570636752,5
mono,7,2,0.019322129978476505,5
mono,7,3,0.0361253817298545,5
mono,7,4,0.07018148407099148,5
mono,7,5,0.09770622062214523,5
mono,7,6,0.11103551857026715,5
mono,7,7,0.1182594959752108,5
mono,7,8,0.12453941866054612,5
mono,7,9,0.13103674034522153,5
mono,8,0,0.013737577722869923,5
mono,8,1,0.015038756821248708,5
mono,8,2,0.020221924510473815,5
mono,8,3,0.037802746170948566,5
mono,8,4,0.06817692455006054,5
mono,8,5,0.08884019621470751,5
mono,8,6,0.09762117927902166,5
mono,8,7,0.10290692454455204,5
mono,8,8,0.10790301150710817,5
mono,8,9,0.11357259450060989,5
mono,9,0,0.013628857888387228,5
mono,9,1,0.014212850280208961,5
mono,9,2,0.0168311081905436,5
mono,9,3,0.026567766042211196,5
mono,9,4,0.05043619683286444,5
mono,9,5,0.07557871914295618,5
mono,9,6,0.08771905432604273,5
mono,9,7,0.09286225062895093,5
mono,9,8,0.09576810738386039,5
mono,9,9,0.09920316431043054,5
