##culture:co#seed:245#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
co,0,0,0,Escherichia coli,E0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,0,Salmonella enterica,S0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,1,Escherichia coli,E0c0,0.07413862500794409,0.033689731871209064,1.0,2.6532457880357097,997.5538892285242,0.03739997510976706
co,0,0,1,Salmonella enterica,S0c0,2.533163513879147,0.033689731871209064,1.0,2.6532457880357097,997.5538892285242,0.03739997510976706
co,0,0,2,Escherichia coli,E0c0,993.1076183344322,7.427828567349915e-12,1.0,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.719239698022683,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.4954438451422023,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E3c0,1.0,0.0,1.0554051268525788,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.0,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E5c0,1.0,0.0,1.3074891688944796,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E6c0,1.0,0.0,1.0,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E7c0,1.0,0.0,1.0,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Salmonella enterica,S0c0,506.56674665688877,7.427828567349915e-12,1.0,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Salmonella enterica,S1c0,1.0,0.0,1.7509228603525613,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,1,1,Escherichia coli,E0c0,3.344653814966658,3.3457532292290684,1.0,509.5895615017797,753.373936290257,6.9740345689669665
co,0,1,1,Escherichia coli,E1c0,0.011232183944344717,0.027285237290830783,1.719239698022683,509.5895615017797,753.373936290257,6.9740345689669665
co,0,1,1,Escherichia coli,E2c0,0.008901241546916502,0.017656767347596893,1.4954438451422023,509.5895615017797,753.373936290257,6.9740345689669665
co,0,1,1,Escherichia coli,E3c0,0.003946989637211386,0.004380184465458106,1.0554051268525788,509.5895615017797,753.373936290257,6.9740345689669665
co,0,1,1,Escherichia coli,E4c0,0.0033678664358411064,0.003368973480276287,1.0,509.5895615017797,753.373936290257,6.9740345689669665
co,0,1,1,Escherichia coli,E5c0,0.006782780833282777,0.010918784350005437,1.3074891688944796,509.5895615017797,753.373936290257,6.9740345689669665
co,0,1,1,Escherichia coli,E6c0,0.0033678664358411064,0.003368973480276287,1.0,509.5895615017797,753.373936290257,6.9740345689669665
co,0,1,1,Escherichia coli,E7c0,0.0033678664358411064,0.003368973480276287,1.0,509.5895615017797,753.373936290257,6.9740345689669665
co,0,1,1,Salmonella enterica,S0c0,9.891910670616557,1.70660993547692,1.0,509.5895615017797,753.373936290257,6.9740345689669665
co,0,1,1,Salmonella enterica,S1c0,0.037823525329577605,0.028759586575864922,1.7509228603525613,509.5895615017797,753.373936290257,6.9740345689669665
