##culture:mono#seed:245#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
mono,0,0,0,Escherichia coli,E0c0,0.0,10.0,1.0,1000.0,1000.0,0.0
mono,0,0,1,Escherichia coli,E0c0,0.0671853272472443,0.06737946805099602,1.0,999.5067032497818,995.0672574978179,4.982044677204266
mono,0,0,2,Escherichia coli,E0c0,989.1343547673422,5.783866679499471e-11,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.1142658605419247,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E3c0,1.0,0.0,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E5c0,1.0,0.0,1.210285625197787,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E6c0,1.0,0.0,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E7c0,1.0,0.0,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E8c0,1.0,0.0,1.131028362257923,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E9c0,1.0,0.0,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E10c0,1.0,0.0,1.0883625614502515,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E11c0,1.0,0.0,1.4383513260798648,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,1,1,Escherichia coli,E0c0,3.3228095093392,3.332367413275525,1.0,1425.3346746919428,753.3480294192932,754.1183463615288
mono,0,1,1,Escherichia coli,E1c0,0.00335931058639711,0.003368973483950166,1.0,1425.3346746919428,753.3480294192932,754.1183463615288
mono,0,1,1,Escherichia coli,E2c0,0.004577065446715198,0.005625718410427591,1.1142658605419247,1425.3346746919428,753.3480294192932,754.1183463615288
mono,0,1,1,Escherichia coli,E3c0,0.00335931058639711,0.003368973483950166,1.0,1425.3346746919428,753.3480294192932,754.1183463615288
mono,0,1,1,Escherichia coli,E4c0,0.00335931058639711,0.003368973483950166,1.0,1425.3346746919428,753.3480294192932,754.1183463615288
mono,0,1,1,Escherichia coli,E5c0,0.005656693130159203,0.008031344039058894,1.210285625197787,1425.3346746919428,753.3480294192932,754.1183463615288
