##culture:co#seed:763#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1750, 0)#init_n:(5, 5)#init_lag:(1, 10)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013851953741577924,5
co,0,1,0.01563773373004234,5
co,0,2,0.023441302142474994,5
co,0,3,0.04862607636298457,5
co,0,4,0.08739261362445379,5
co,0,5,0.11509853738765455,5
co,0,6,0.1335780742441999,5
co,0,7,0.14960642172591532,5
co,0,8,0.16492429059245786,5
co,0,9,0.17902340203644335,5
co,1,0,0.013730233581888341,5
co,1,1,0.015087054953317854,5
co,1,2,0.020849608003971072,5
co,1,3,0.039496444599110156,5
co,1,4,0.0709179950308698,5
co,1,5,0.09292394163982148,5
co,1,6,0.10340218040869906,5
co,1,7,0.10977110714988024,5
co,1,8,0.11521685756571376,5
co,1,9,0.12100740606899145,5
co,2,0,0.013701579449014841,5
co,2,1,0.015084432657506034,5
co,2,2,0.02127071989319924,5
co,2,3,0.04285236800933246,5
co,2,4,0.07843223861959449,5
co,2,5,0.10020079363586562,5
co,2,6,0.10915769100549227,5
co,2,7,0.1140100903920281,5
co,2,8,0.11866069285880697,5
co,2,9,0.12390025009611852,5
co,3,0,0.013907932985389455,5
co,3,1,0.015822318586927994,5
co,3,2,0.024728565237705988,5
co,3,3,0.052798577898060285,5
co,3,4,0.09113470901394524,5
co,3,5,0.11487528268817869,5
co,3,6,0.12930115267179504,5
co,3,7,0.1415929559805065,5
co,3,8,0.15387992407153073,5
co,3,9,0.16607395249876125,5
co,4,0,0.013823287708848815,5
co,4,1,0.015538537454266945,5
co,4,2,0.02219375124447987,5
co,4,3,0.041333129874312986,5
co,4,4,0.06843890191813623,5
co,4,5,0.08549149170502332,5
co,4,6,0.09406001890802827,5
co,4,7,0.10074222163545969,5
co,4,8,0.10779080363734415,5
co,4,9,0.11634850593250394,5
co,5,0,0.014012669756503724,5
co,5,1,0.016330987543721764,5
co,5,2,0.025448628323005373,5
co,5,3,0.050401631617639074,5
co,5,4,0.08214776572477855,5
co,5,5,0.10255720662495817,5
co,5,6,0.11607782424113564,5
co,5,7,0.12822423773393676,5
co,5,8,0.14063114943643645,5
co,5,9,0.15297962368045312,5
co,6,0,0.013761427869324971,5
co,6,1,0.015152728925037492,5
co,6,2,0.02094473135723014,5
co,6,3,0.03931871400781637,5
co,6,4,0.06812108685749473,5
co,6,5,0.08700784306329741,5
co,6,6,0.09588567314402811,5
co,6,7,0.10197934899348952,5
co,6,8,0.10863142953178094,5
co,6,9,0.11609088922765005,5
co,7,0,0.013952036231596585,5
co,7,1,0.01623888153784529,5
co,7,2,0.026133013106765354,5
co,7,3,0.05387765731535975,5
co,7,4,0.0863260800712768,5
co,7,5,0.10218272484471802,5
co,7,6,0.1091365808277177,5
co,7,7,0.11442807596529876,5
co,7,8,0.11989750219368657,5
co,7,9,0.1265143991128867,5
co,8,0,0.013957586230076164,5
co,8,1,0.016490637119015127,5
co,8,2,0.027068827987127016,5
co,8,3,0.05633017302746366,5
co,8,4,0.0876341379264977,5
co,8,5,0.1030173864253866,5
co,8,6,0.1105823844854873,5
co,8,7,0.11682479418018214,5
co,8,8,0.1235790295014206,5
co,8,9,0.13175812432349537,5
co,9,0,0.013757144456378169,5
co,9,1,0.015068127390372934,5
co,9,2,0.020307429059374695,5
co,9,3,0.037429952599789776,5
co,9,4,0.06786393642520076,5
co,9,5,0.09208116266098472,5
co,9,6,0.10637434765593434,5
co,9,7,0.11729922784100599,5
co,9,8,0.12879759648645506,5
co,9,9,0.14129735470372212,5
