seed,culture,lac,rep,frac_slope
92,Monoculture,1,0,0.0
92,Coculture,1,0,1.0912121747880423e-06
92,Monoculture,1,1,0.0
92,Coculture,1,1,1.0912121747880423e-06
92,Monoculture,1,2,0.0
92,Coculture,1,2,1.0912121747880423e-06
92,Monoculture,1,3,0.0
92,Coculture,1,3,1.0912121747880423e-06
92,Monoculture,1,4,0.0
92,Coculture,1,4,1.0912121747880423e-06
92,Monoculture,1,5,0.0
92,Coculture,1,5,1.0912121747880423e-06
92,Monoculture,1,6,-3.579628176367172e-16
92,Coculture,1,6,0.042228300764725085
92,Monoculture,1,7,0.0
92,Coculture,1,7,1.0912121747880423e-06
92,Monoculture,1,8,0.0
92,Coculture,1,8,1.0912121747880423e-06
92,Monoculture,1,9,-3.579628176367172e-16
92,Coculture,1,9,0.042168068590467664
92,Monoculture,100,0,0.00896780532128551
92,Coculture,100,0,0.10916294963082873
92,Monoculture,100,1,0.10090171977184816
92,Coculture,100,1,0.027152164490161296
92,Monoculture,100,2,0.11136821813709158
92,Coculture,100,2,0.09646103512995442
92,Monoculture,100,3,0.045697860427844475
92,Coculture,100,3,0.0860535028014752
92,Monoculture,100,4,0.01356433213787372
92,Coculture,100,4,0.10860299123691379
92,Monoculture,100,5,0.07676019617874269
92,Coculture,100,5,0.06856113589448627
92,Monoculture,100,6,0.12242704522695816
92,Coculture,100,6,0.11462515672128608
92,Monoculture,100,7,0.07837061491465068
92,Coculture,100,7,0.09791252570167357
92,Monoculture,100,8,0.08731573915131437
92,Coculture,100,8,0.12006311098748641
92,Monoculture,100,9,0.10501449725081966
92,Coculture,100,9,0.06244635514446767
92,Monoculture,250,0,0.12258251403683018
92,Coculture,250,0,0.1125949350767699
92,Monoculture,250,1,0.09848169286583358
92,Coculture,250,1,0.1069344203824378
92,Monoculture,250,2,0.08750219173283244
92,Coculture,250,2,0.10388503343608867
92,Monoculture,250,3,0.10239418267853868
92,Coculture,250,3,0.11936379590943785
92,Monoculture,250,4,0.11645895408440428
92,Coculture,250,4,0.10410687421779606
92,Monoculture,250,5,0.10646118733993896
92,Coculture,250,5,0.11879014185442707
92,Monoculture,250,6,0.10214956482821153
92,Coculture,250,6,0.10349890249052007
92,Monoculture,250,7,0.10097576503576929
92,Coculture,250,7,0.09051915455120155
92,Monoculture,250,8,0.09498257258905933
92,Coculture,250,8,0.1113444625824486
92,Monoculture,250,9,0.110090286099067
92,Coculture,250,9,0.12600534508753186
92,Monoculture,500,0,0.0895246408982177
92,Coculture,500,0,0.12924923852731363
92,Monoculture,500,1,0.10943423249135892
92,Coculture,500,1,0.12051184544950384
92,Monoculture,500,2,0.12024260212912401
92,Coculture,500,2,0.10655308364743411
92,Monoculture,500,3,0.10845478357811737
92,Coculture,500,3,0.12736034231471238
92,Monoculture,500,4,0.11685261153205442
92,Coculture,500,4,0.10582199905568436
92,Monoculture,500,5,0.11897644578310002
92,Coculture,500,5,0.11639551348436933
92,Monoculture,500,6,0.09589767371925648
92,Coculture,500,6,0.1303327446834618
92,Monoculture,500,7,0.09500002220704572
92,Coculture,500,7,0.12546296223366155
92,Monoculture,500,8,0.12613458947955775
92,Coculture,500,8,0.11305085621616665
92,Monoculture,500,9,0.13698743388030585
92,Coculture,500,9,0.11610643087398365
92,Monoculture,750,0,0.12487816938880789
92,Coculture,750,0,0.11921395765672929
92,Monoculture,750,1,0.11710898119552308
92,Coculture,750,1,0.1230078883038757
92,Monoculture,750,2,0.13621151803820955
92,Coculture,750,2,0.11834325901671112
92,Monoculture,750,3,0.11232631763227853
92,Coculture,750,3,0.11178445704685873
92,Monoculture,750,4,0.1185339807779017
92,Coculture,750,4,0.1263719033072891
92,Monoculture,750,5,0.10811000907745977
92,Coculture,750,5,0.108178689107189
92,Monoculture,750,6,0.11879888149483869
92,Coculture,750,6,0.12086976571124786
92,Monoculture,750,7,0.11282232875287139
92,Coculture,750,7,0.11062247825396974
92,Monoculture,750,8,0.12144983710555024
92,Coculture,750,8,0.11728936450222115
92,Monoculture,750,9,0.11764860759259717
92,Coculture,750,9,0.10892804662206221
92,Monoculture,1000,0,0.11570991563801793
92,Coculture,1000,0,0.11269273903838112
92,Monoculture,1000,1,0.11131928819183666
92,Coculture,1000,1,0.11431293087294404
92,Monoculture,1000,2,0.12133744148662307
92,Coculture,1000,2,0.12811399502291124
92,Monoculture,1000,3,0.11021283078789412
92,Coculture,1000,3,0.11418940435801316
92,Monoculture,1000,4,0.11884584915950361
92,Coculture,1000,4,0.12047685698334633
92,Monoculture,1000,5,0.1176677437146186
92,Coculture,1000,5,0.1145729073259123
92,Monoculture,1000,6,0.12150027999152664
92,Coculture,1000,6,0.11912566111719372
92,Monoculture,1000,7,0.11991292459282724
92,Coculture,1000,7,0.10926859305739513
92,Monoculture,1000,8,0.11589759984350677
92,Coculture,1000,8,0.11191684498766226
92,Monoculture,1000,9,0.1504062321305419
92,Coculture,1000,9,0.1254639476441279
92,Monoculture,1250,0,0.12059852441145238
92,Coculture,1250,0,0.12305283112485291
92,Monoculture,1250,1,0.11404033612651641
92,Coculture,1250,1,0.12624245200652065
92,Monoculture,1250,2,0.11891000944751716
92,Coculture,1250,2,0.12392432426806772
92,Monoculture,1250,3,0.11532953897223203
92,Coculture,1250,3,0.12296537671121238
92,Monoculture,1250,4,0.1611335936533201
92,Coculture,1250,4,0.12266875368083227
92,Monoculture,1250,5,0.131575764031367
92,Coculture,1250,5,0.12029785086020407
92,Monoculture,1250,6,0.11319347706427911
92,Coculture,1250,6,0.11591502194803016
92,Monoculture,1250,7,0.12949462724325858
92,Coculture,1250,7,0.11948900822330424
92,Monoculture,1250,8,0.12122427791417713
92,Coculture,1250,8,0.10842620683184456
92,Monoculture,1250,9,0.11372862901687396
92,Coculture,1250,9,0.11352146577006225
92,Monoculture,1500,0,0.12528266063905177
92,Coculture,1500,0,0.11195965732708678
92,Monoculture,1500,1,0.12273610737737638
92,Coculture,1500,1,0.11953625569181775
92,Monoculture,1500,2,0.12063005933962744
92,Coculture,1500,2,0.11744482524989255
92,Monoculture,1500,3,0.1215187760529408
92,Coculture,1500,3,0.1161675391938767
92,Monoculture,1500,4,0.11582445582461601
92,Coculture,1500,4,0.12014849455399434
92,Monoculture,1500,5,0.12163013451949467
92,Coculture,1500,5,0.12231441259799027
92,Monoculture,1500,6,0.12716264893977205
92,Coculture,1500,6,0.11881789988625366
92,Monoculture,1500,7,0.11789195528953252
92,Coculture,1500,7,0.12145162621954196
92,Monoculture,1500,8,0.11940285430982642
92,Coculture,1500,8,0.1138328260955123
92,Monoculture,1500,9,0.11792309282676944
92,Coculture,1500,9,0.11199137764871703
92,Monoculture,1750,0,0.12105891031207257
92,Coculture,1750,0,0.12162088994929184
92,Monoculture,1750,1,0.12662845711796072
92,Coculture,1750,1,0.11884897358437845
92,Monoculture,1750,2,0.12313246822580061
92,Coculture,1750,2,0.11402698197914378
92,Monoculture,1750,3,0.12051511765665583
92,Coculture,1750,3,0.12877675178056544
92,Monoculture,1750,4,0.1263957835963425
92,Coculture,1750,4,0.11856972819842009
92,Monoculture,1750,5,0.1275660694646446
92,Coculture,1750,5,0.1296269560436231
92,Monoculture,1750,6,0.12183726575024566
92,Coculture,1750,6,0.1254079086046981
92,Monoculture,1750,7,0.1470030433717574
92,Coculture,1750,7,0.11789541701322773
92,Monoculture,1750,8,0.12891113378410782
92,Coculture,1750,8,0.1223127815183818
92,Monoculture,1750,9,0.11378677672153006
92,Coculture,1750,9,0.11520372742841922
92,Monoculture,2000,0,0.12218230327253216
92,Coculture,2000,0,0.12230895565937087
92,Monoculture,2000,1,0.11931453789565352
92,Coculture,2000,1,0.11965846740227686
92,Monoculture,2000,2,0.13243985735787644
92,Coculture,2000,2,0.11709060724088287
92,Monoculture,2000,3,0.1193927187975014
92,Coculture,2000,3,0.11401657673037052
92,Monoculture,2000,4,0.11834766555126408
92,Coculture,2000,4,0.12474357490607449
92,Monoculture,2000,5,0.12419658358718842
92,Coculture,2000,5,0.1210998085273627
92,Monoculture,2000,6,0.12020063643187885
92,Coculture,2000,6,0.11797799362085068
92,Monoculture,2000,7,0.12167588934700843
92,Coculture,2000,7,0.12026277191623774
92,Monoculture,2000,8,0.1185572800550474
92,Coculture,2000,8,0.11638480906651638
92,Monoculture,2000,9,0.1192298635459724
92,Coculture,2000,9,0.11500258253429722
