##culture:co#seed:92#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 5, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
co,0,0,0,Escherichia coli,E0c0,0.0,5.0,1.0,1.0,5.0,0.0
co,0,0,0,Salmonella enterica,S0c0,0.0,5.0,1.0,1.0,5.0,0.0
co,0,0,1,Escherichia coli,E0c0,0.16182451422870953,0.03368973321534266,1.0,2.612010548857053,2.5977570488062502,0.05160518205001322
co,0,0,1,Salmonella enterica,S0c0,2.591650094210534,0.03368973321534266,1.0,2.612010548857053,2.5977570488062502,0.05160518205001322
co,0,0,2,Escherichia coli,E0c0,4.195513156563235,-8.56143769718979e-12,1.0,4.43899906781011,8.853881001876399e-15,4.30516066716786e-14
co,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.0,4.43899906781011,8.853881001876399e-15,4.30516066716786e-14
co,0,0,2,Salmonella enterica,S0c0,5.150338746031668,-8.56143769718979e-12,1.0,4.43899906781011,8.853881001876399e-15,4.30516066716786e-14
co,0,1,1,Escherichia coli,E0c0,0.039402869115410626,0.01413457301171991,1.0,4.042514382250606,3.734270654033228,0.06096619147169943
co,0,1,1,Escherichia coli,E1c0,0.009391668586201744,0.003368973587804724,1.0,4.042514382250606,3.734270654033228,0.06096619147169943
co,0,1,1,Salmonella enterica,S0c0,1.3403976445130446,0.017351355203599157,1.0,4.042514382250606,3.734270654033228,0.06096619147169943
co,0,1,2,Escherichia coli,E0c0,4.091167737215771,6.370630926593384e-13,1.0,4.438999067810228,-5.743169000668486e-16,-7.147972531444013e-14
co,0,1,2,Escherichia coli,E1c0,0.9751292832496866,1.5184383808509236e-13,1.0,4.438999067810228,-5.743169000668486e-16,-7.147972531444013e-14
