##culture:co#seed:154#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013686516597790332,5
co,0,1,0.014765436515291788,5
co,0,2,0.019704785658482344,5
co,0,3,0.03757788137349295,5
co,0,4,0.07022909229208592,5
co,0,5,0.09283776691015641,5
co,0,6,0.10259499581488916,5
co,0,7,0.10858075382223464,5
co,0,8,0.11497806724508038,5
co,0,9,0.12252434279250006,5
co,1,0,0.013544602232516184,5
co,1,1,0.013977806599916693,5
co,1,2,0.015642608247355565,5
co,1,3,0.021608236179239904,5
co,1,4,0.037670998017623324,5
co,1,5,0.06107486987788689,5
co,1,6,0.07767192574595018,5
co,1,7,0.08658624611931394,5
co,1,8,0.09206314607311022,5
co,1,9,0.09710747356466143,5
co,2,0,0.013695448095137636,5
co,2,1,0.014587268481463946,5
co,2,2,0.01875203481456728,5
co,2,3,0.0345991427950575,5
co,2,4,0.06793972448308584,5
co,2,5,0.09447238417316974,5
co,2,6,0.10585372772243377,5
co,2,7,0.11164670320903464,5
co,2,8,0.11605935502977369,5
co,2,9,0.1207851104917199,5
co,3,0,0.01347989791693203,5
co,3,1,0.013671275931228799,5
co,3,2,0.014485555098881211,5
co,3,3,0.017681604819545983,5
co,3,4,0.028877873191926084,5
co,3,5,0.055371865999680005,5
co,3,6,0.08365159915356513,5
co,3,7,0.09942382400186331,5
co,3,8,0.10721239514112631,5
co,3,9,0.11173144817008472,5
co,4,0,0.01380301377376511,5
co,4,1,0.015136198928996925,5
co,4,2,0.020992854825685314,5
co,4,3,0.0398743889487428,5
co,4,4,0.06985317797802741,5
co,4,5,0.08853081033995093,5
co,4,6,0.09607563917956471,5
co,4,7,0.10000829083079649,5
co,4,8,0.10385569346898459,5
co,4,9,0.10803154162990204,5
co,5,0,0.013790853222001147,5
co,5,1,0.015024470857058702,5
co,5,2,0.019486800040154007,5
co,5,3,0.03312018408146294,5
co,5,4,0.05578839047133227,5
co,5,5,0.07344967709464564,5
co,5,6,0.08363740016641641,5
co,5,7,0.09242360600142001,5
co,5,8,0.10296749384273818,5
co,5,9,0.11624526913451697,5
co,6,0,0.013688073564210824,5
co,6,1,0.014867240619805678,5
co,6,2,0.01923114773741334,5
co,6,3,0.03322178397200548,5
co,6,4,0.05770791655013847,5
co,6,5,0.07627766942455572,5
co,6,6,0.08566614343492546,5
co,6,7,0.09141023695464212,5
co,6,8,0.0968424270694562,5
co,6,9,0.10276787998720702,5
co,7,0,0.013827219597442365,5
co,7,1,0.015493533887405176,5
co,7,2,0.02323343583312124,5
co,7,3,0.046885823342891035,5
co,7,4,0.07727920970997709,5
co,7,5,0.09239518362809922,5
co,7,6,0.09781299642456309,5
co,7,7,0.10073221205156437,5
co,7,8,0.10327583125694391,5
co,7,9,0.10666564451668875,5
co,8,0,0.013741213557833157,5
co,8,1,0.014837052198253221,5
co,8,2,0.01923674442885374,5
co,8,3,0.03351690297592961,5
co,8,4,0.05898672982626791,5
co,8,5,0.07904260332675325,5
co,8,6,0.08960628039392353,5
co,8,7,0.09632152395443486,5
co,8,8,0.10316013322482549,5
co,8,9,0.11080258341426913,5
co,9,0,0.013583605403187699,5
co,9,1,0.014392149709425144,5
co,9,2,0.018125620862907615,5
co,9,3,0.032419977755791016,5
co,9,4,0.06208425048345686,5
co,9,5,0.08557915209515557,5
co,9,6,0.09479045733001404,5
co,9,7,0.09891845336166658,5
co,9,8,0.10168574309644392,5
co,9,9,0.10557309986794232,5
