##culture:mono#seed:154#rep:10#mu:(0.01, 0)#cycles:10#init_R:(8, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
mono,0,0,0.014143348046674309,5
mono,0,1,0.01591121200173163,5
mono,0,2,0.021484112269993423,5
mono,0,3,0.035580863329561514,5
mono,0,4,0.05377438285570463,5
mono,0,5,0.06511500263678621,5
mono,0,6,0.06992780404664312,5
mono,0,7,0.07258059540204152,5
mono,0,8,0.07495568615981513,5
mono,0,9,0.07614952598043428,5
mono,1,0,0.01344084311364833,5
mono,1,1,0.013440843113648236,5
mono,1,2,0.01344084311364833,5
mono,1,3,0.01344084311364833,5
mono,1,4,0.01344084311364833,5
mono,1,5,0.01344084311364833,5
mono,1,6,0.013440843113648331,5
mono,1,7,0.014102660311718003,5
mono,1,8,0.015698914262790437,5
mono,1,9,0.020621411197472392,5
mono,2,0,0.013440843113687238,5
mono,2,1,0.013613982043653808,5
mono,2,2,0.013744841643667169,5
mono,2,3,0.013970806133126573,5
mono,2,4,0.01435351483374827,5
mono,2,5,0.015995626756880432,5
mono,2,6,0.02085437556403436,5
mono,2,7,0.03588695443408485,5
mono,2,8,0.06553359840515302,5
mono,2,9,0.09201990382037352,5
mono,3,0,0.013605861633861427,5
mono,3,1,0.014537330418827108,5
mono,3,2,0.017102840212484455,5
mono,3,3,0.025480983626547514,5
mono,3,4,0.04415790593562035,5
mono,3,5,0.06533270510580155,5
mono,3,6,0.07657723945703458,5
mono,3,7,0.08129782191948606,5
mono,3,8,0.08294809850975854,5
mono,3,9,0.08395689462948204,5
mono,4,0,0.01344084311364833,5
mono,4,1,0.013440843113648236,5
mono,4,2,0.013440843113566558,5
mono,4,3,0.013440843113566187,5
mono,4,4,0.013440843113566294,5
mono,4,5,0.013440843113478247,5
mono,4,6,0.013440843113478236,5
mono,4,7,0.013440843113478195,5
mono,4,8,0.013440843113478339,5
mono,4,9,0.014085621175545814,5
mono,5,0,0.013440843113687238,5
mono,5,1,0.01363141271652274,5
mono,5,2,0.013982806277770222,5
mono,5,3,0.014869986825690339,5
mono,5,4,0.01745092064858766,5
mono,5,5,0.024614558246612597,5
mono,5,6,0.044045147062867655,5
mono,5,7,0.08125024052002389,5
mono,5,8,0.12091152564604966,5
mono,5,9,0.14854945016488938,5
mono,6,0,0.014321841080052487,5
mono,6,1,0.017732167408206777,5
mono,6,2,0.02803190154608073,5
mono,6,3,0.04794391411185045,5
mono,6,4,0.06698812705183091,5
mono,6,5,0.07583339552771602,5
mono,6,6,0.0801693051964764,5
mono,6,7,0.0813642297356495,5
mono,6,8,0.08495967253722059,5
mono,6,9,0.0897046300148187,5
mono,7,0,0.014156382179194548,5
mono,7,1,0.01598330803412661,5
mono,7,2,0.02178710884583352,5
mono,7,3,0.03551155767025761,5
mono,7,4,0.05361490145849495,5
mono,7,5,0.06505527362766003,5
mono,7,6,0.06940794156599271,5
mono,7,7,0.07007003575812176,5
mono,7,8,0.07100306675806346,5
mono,7,9,0.07198130611556568,5
mono,8,0,0.014498242335852106,5
mono,8,1,0.01812682051188968,5
mono,8,2,0.03229221198667733,5
mono,8,3,0.06239719020165571,5
mono,8,4,0.08651208313552079,5
mono,8,5,0.09560544693470314,5
mono,8,6,0.09888306073025967,5
mono,8,7,0.09981369031359151,5
mono,8,8,0.10080425211084168,5
mono,8,9,0.10154694807983529,5
mono,9,0,0.013440843113687238,5
mono,9,1,0.014364522566875836,5
mono,9,2,0.01767584356296354,5
mono,9,3,0.03106906183872071,5
mono,9,4,0.06847731549124299,5
mono,9,5,0.11170384819739351,5
mono,9,6,0.13525602300344375,5
mono,9,7,0.14638753718911257,5
mono,9,8,0.15163608567259246,5
mono,9,9,0.15687039569958514,5
