seed,culture,met,rep,frac_slope
154,Monoculture,1,0,-1.4273054119078581e-12
154,Monoculture,1,1,0.0
154,Monoculture,1,2,0.0
154,Monoculture,1,3,0.0
154,Monoculture,1,4,-1.4274682446181363e-12
154,Monoculture,1,5,0.0
154,Monoculture,1,6,0.0
154,Monoculture,1,7,0.006121545470696542
154,Monoculture,1,8,0.0
154,Monoculture,1,9,-2.335492069099046e-12
154,Coculture,1,0,0.11644100918089109
154,Monoculture,2,0,0.040593389249126186
154,Monoculture,2,1,0.06767509408307697
154,Monoculture,2,2,0.00814554386431933
154,Monoculture,2,3,0.12045598443591964
154,Monoculture,2,4,0.11739444308960789
154,Monoculture,2,5,0.00572674444517295
154,Monoculture,2,6,0.11511987598934159
154,Monoculture,2,7,0.0053739821468113255
154,Monoculture,2,8,0.10241735523849355
154,Monoculture,2,9,0.06280470875513768
154,Coculture,2,0,0.11644100918089109
154,Monoculture,3,0,-7.370669731120539e-13
154,Monoculture,3,1,0.12353907253976618
154,Monoculture,3,2,0.08198979816947598
154,Monoculture,3,3,-1.1353517452782784e-12
154,Monoculture,3,4,0.0050174824736325405
154,Monoculture,3,5,0.002130031726520663
154,Monoculture,3,6,0.07328677945283986
154,Monoculture,3,7,0.01717463473867924
154,Monoculture,3,8,0.041359729710386005
154,Monoculture,3,9,0.08171126964799302
154,Coculture,3,0,0.11644100918089109
154,Monoculture,4,0,0.025727388660090098
154,Monoculture,4,1,0.08978645974557531
154,Monoculture,4,2,0.03038588294441063
154,Monoculture,4,3,0.08593837204923212
154,Monoculture,4,4,0.08365706861278356
154,Monoculture,4,5,0.09201774201897224
154,Monoculture,4,6,0.02894160276129292
154,Monoculture,4,7,0.10377881599687593
154,Monoculture,4,8,-7.504219468046358e-13
154,Monoculture,4,9,0.0038358544157115993
154,Coculture,4,0,0.11644100918089109
154,Monoculture,5,0,0.10977433839445161
154,Monoculture,5,1,0.08940401549030026
154,Monoculture,5,2,0.04189804396394474
154,Monoculture,5,3,0.12172039242689092
154,Monoculture,5,4,0.07444414185258807
154,Monoculture,5,5,0.04679234898069115
154,Monoculture,5,6,0.007032367637074855
154,Monoculture,5,7,0.11040981111620302
154,Monoculture,5,8,0.10156440993822106
154,Monoculture,5,9,-1.1014219839208554e-13
154,Coculture,5,0,0.11644100918089109
154,Monoculture,6,0,0.08689969545127707
154,Monoculture,6,1,0.08805589057188475
154,Monoculture,6,2,0.09231488332977539
154,Monoculture,6,3,0.047394708958616354
154,Monoculture,6,4,0.11084495997310335
154,Monoculture,6,5,0.1251353848612749
154,Monoculture,6,6,0.08643651415545969
154,Monoculture,6,7,0.004991941191113887
154,Monoculture,6,8,0.09611207880249968
154,Monoculture,6,9,0.12748956837743194
154,Coculture,6,0,0.11644100918089109
154,Monoculture,7,0,0.08650595793959961
154,Monoculture,7,1,0.08713799666603855
154,Monoculture,7,2,0.10647618482314199
154,Monoculture,7,3,0.10160011530826489
154,Monoculture,7,4,0.08459656664300101
154,Monoculture,7,5,0.12554179526016518
154,Monoculture,7,6,-2.0708821862723253e-13
154,Monoculture,7,7,0.002000651342723317
154,Monoculture,7,8,0.11707739216651694
154,Monoculture,7,9,0.12453704141908907
154,Coculture,7,0,0.11644100918089109
154,Monoculture,8,0,0.0902949421313198
154,Monoculture,8,1,0.013633340854088254
154,Monoculture,8,2,0.0906024469517249
154,Monoculture,8,3,0.10543061421597631
154,Monoculture,8,4,0.0011099723035292975
154,Monoculture,8,5,0.1297683417292107
154,Monoculture,8,6,0.09073995446795224
154,Monoculture,8,7,0.08717247916893467
154,Monoculture,8,8,0.0964727410110342
154,Monoculture,8,9,0.1423529485508456
154,Coculture,8,0,0.11644100918089109
154,Monoculture,9,0,0.09243822279098454
154,Monoculture,9,1,0.09543771393717088
154,Monoculture,9,2,0.11363605968429263
154,Monoculture,9,3,0.06365729474211981
154,Monoculture,9,4,0.09945583347979679
154,Monoculture,9,5,0.09309399319951739
154,Monoculture,9,6,0.09521896098766226
154,Monoculture,9,7,0.13959981541844702
154,Monoculture,9,8,0.04603830859727547
154,Monoculture,9,9,0.10730715493158177
154,Coculture,9,0,0.11644100918089109
154,Monoculture,10,0,0.08540028784604448
154,Monoculture,10,1,0.11037404893681589
154,Monoculture,10,2,0.10774716713990794
154,Monoculture,10,3,0.02339035421293583
154,Monoculture,10,4,0.11540304475739246
154,Monoculture,10,5,0.005285344727435321
154,Monoculture,10,6,0.1166059193040228
154,Monoculture,10,7,0.09425356588406639
154,Monoculture,10,8,0.08387215550561122
154,Monoculture,10,9,0.11501320209424169
154,Coculture,10,0,0.11644100918089109
154,Monoculture,11,0,0.10872067012299215
154,Monoculture,11,1,0.05262066495936847
154,Monoculture,11,2,0.015184232481724836
154,Monoculture,11,3,0.1283958146244113
154,Monoculture,11,4,0.1220368544240113
154,Monoculture,11,5,0.08873795331230122
154,Monoculture,11,6,0.0877030262228482
154,Monoculture,11,7,0.09958791501796799
154,Monoculture,11,8,0.1113256466339674
154,Monoculture,11,9,0.0854223181216704
154,Coculture,11,0,0.11644100918089109
154,Monoculture,12,0,0.10651090883639834
154,Monoculture,12,1,0.09901618525560475
154,Monoculture,12,2,0.029582647048198202
154,Monoculture,12,3,0.10888430330583075
154,Monoculture,12,4,0.10731637365258959
154,Monoculture,12,5,0.06303046522778445
154,Monoculture,12,6,0.09632863306376749
154,Monoculture,12,7,0.11949267890468082
154,Monoculture,12,8,0.036820340967842195
154,Monoculture,12,9,0.09560618573531392
154,Coculture,12,0,0.11644100918089109
154,Monoculture,13,0,0.11132525279034325
154,Monoculture,13,1,0.11395741026351663
154,Monoculture,13,2,0.10533997540771654
154,Monoculture,13,3,0.08666015754527263
154,Monoculture,13,4,0.11991941179028037
154,Monoculture,13,5,0.11040076077925427
154,Monoculture,13,6,0.12236742451989473
154,Monoculture,13,7,0.11918639956914409
154,Monoculture,13,8,0.08952592140525667
154,Monoculture,13,9,0.09916920356354204
154,Coculture,13,0,0.11644100918089109
154,Monoculture,14,0,0.10263861968502876
154,Monoculture,14,1,0.08471823190431438
154,Monoculture,14,2,0.08820543129832785
154,Monoculture,14,3,0.11549199608333825
154,Monoculture,14,4,0.07610537551801262
154,Monoculture,14,5,0.1061328521245738
154,Monoculture,14,6,0.13552625633019896
154,Monoculture,14,7,0.10009444318469302
154,Monoculture,14,8,0.14158187299098574
154,Monoculture,14,9,0.08459148711591223
154,Coculture,14,0,0.11644100918089109
154,Monoculture,15,0,0.11356116458649489
154,Monoculture,15,1,0.10997671877791171
154,Monoculture,15,2,0.08805642145663624
154,Monoculture,15,3,0.09712375477321103
154,Monoculture,15,4,0.09888824998224828
154,Monoculture,15,5,0.07859718223077043
154,Monoculture,15,6,0.1255374919429973
154,Monoculture,15,7,0.10276983702378795
154,Monoculture,15,8,0.11277451986124175
154,Monoculture,15,9,0.08594355679315197
154,Coculture,15,0,0.11644100918089109
154,Monoculture,16,0,0.12043514827845793
