seed,culture,met,rep,frac_slope
154,Monoculture,1,0,-1.4273054119078581e-12
154,Monoculture,1,1,0.0
154,Monoculture,1,2,0.0
154,Monoculture,1,3,0.0
154,Monoculture,1,4,-1.4274682446181363e-12
154,Monoculture,1,5,0.0
154,Monoculture,1,6,0.0
154,Monoculture,1,7,0.006121545470696542
154,Monoculture,1,8,0.0
154,Monoculture,1,9,-2.335492069099046e-12
154,Coculture,1,0,0.11644100918089109
154,Monoculture,5,0,0.10977433839445161
154,Monoculture,5,1,0.08940401549030026
154,Monoculture,5,2,0.04189804396394474
154,Monoculture,5,3,0.12172039242689092
154,Monoculture,5,4,0.07444414185258807
154,Monoculture,5,5,0.04679234898069115
154,Monoculture,5,6,0.007032367637074855
154,Monoculture,5,7,0.11040981111620302
154,Monoculture,5,8,0.10156440993822106
154,Monoculture,5,9,-1.1014219839208554e-13
154,Coculture,5,0,0.11644100918089109
154,Monoculture,10,0,0.08540028784604448
154,Monoculture,10,1,0.11037404893681589
154,Monoculture,10,2,0.10774716713990794
154,Monoculture,10,3,0.02339035421293583
154,Monoculture,10,4,0.11540304475739246
154,Monoculture,10,5,0.005285344727435321
154,Monoculture,10,6,0.1166059193040228
154,Monoculture,10,7,0.09425356588406639
154,Monoculture,10,8,0.08387215550561122
154,Monoculture,10,9,0.11501320209424169
154,Coculture,10,0,0.11644100918089109
154,Monoculture,15,0,0.11356116458649489
154,Monoculture,15,1,0.10997671877791171
154,Monoculture,15,2,0.08805642145663624
154,Monoculture,15,3,0.09712375477321103
154,Monoculture,15,4,0.09888824998224828
154,Monoculture,15,5,0.07859718223077043
154,Monoculture,15,6,0.1255374919429973
154,Monoculture,15,7,0.10276983702378795
154,Monoculture,15,8,0.11277451986124175
154,Monoculture,15,9,0.08594355679315197
154,Coculture,15,0,0.11644100918089109
154,Monoculture,20,0,0.09879228611753653
154,Monoculture,20,1,0.07333667667819876
154,Monoculture,20,2,0.11709483751037734
154,Monoculture,20,3,0.08955239024310936
154,Monoculture,20,4,0.12110402086838423
154,Monoculture,20,5,0.10174043874087826
154,Monoculture,20,6,0.1183004792214696
154,Monoculture,20,7,0.1256589465089023
154,Monoculture,20,8,0.12923958280587095
154,Monoculture,20,9,0.11917020045210472
154,Coculture,20,0,0.11644100918089109
154,Monoculture,25,0,0.11471665491011367
154,Monoculture,25,1,0.11193528169080237
154,Monoculture,25,2,0.10903325885059058
154,Monoculture,25,3,0.11276304740885326
154,Monoculture,25,4,0.13633721792532996
154,Monoculture,25,5,0.036029463897634874
154,Monoculture,25,6,0.0930763101090822
154,Monoculture,25,7,0.1113868388131235
154,Monoculture,25,8,0.10808710309065642
154,Monoculture,25,9,0.10802645963515906
154,Coculture,25,0,0.11644100918089109
154,Monoculture,30,0,0.12200906111738728
154,Monoculture,30,1,0.11395421741010857
154,Monoculture,30,2,0.12871500181676013
154,Monoculture,30,3,0.11026567437129244
154,Monoculture,30,4,0.10899066871820044
154,Monoculture,30,5,0.10479533702759324
154,Monoculture,30,6,0.13275165707297734
154,Monoculture,30,7,0.09588057990586178
154,Monoculture,30,8,0.13404007108553762
154,Monoculture,30,9,0.10142914937387196
154,Coculture,30,0,0.11644100918089109
154,Monoculture,35,0,0.10386510231037503
154,Monoculture,35,1,0.12810208239258486
154,Monoculture,35,2,0.12080852316837357
154,Monoculture,35,3,0.1187919958907959
154,Monoculture,35,4,0.14206115657074433
154,Monoculture,35,5,0.11547772905258918
154,Monoculture,35,6,0.10671101798634762
154,Monoculture,35,7,0.16086505048621416
154,Monoculture,35,8,0.1100479223117677
154,Monoculture,35,9,0.12281820079447182
154,Coculture,35,0,0.11644100918089109
154,Monoculture,40,0,0.12078595320220734
154,Monoculture,40,1,0.11297562033052937
154,Monoculture,40,2,0.11804284233850894
154,Monoculture,40,3,0.11768348538877536
154,Monoculture,40,4,0.0997730336600623
154,Monoculture,40,5,0.12281220720056107
154,Monoculture,40,6,0.11808909220256054
154,Monoculture,40,7,0.11805694179462675
154,Monoculture,40,8,0.06523858357910256
154,Monoculture,40,9,0.03800778447922212
154,Coculture,40,0,0.11644100918089109
154,Monoculture,45,0,0.10229778809156279
154,Monoculture,45,1,0.10274419457693387
154,Monoculture,45,2,0.11708384284487701
154,Monoculture,45,3,0.10636812296874289
154,Monoculture,45,4,0.11437645077887376
154,Monoculture,45,5,0.11741549021096251
154,Monoculture,45,6,0.10959761690649983
154,Monoculture,45,7,0.1119596489465983
154,Monoculture,45,8,0.14048729726810438
154,Monoculture,45,9,0.12061785463892018
154,Coculture,45,0,0.11644100918089109
154,Monoculture,50,0,0.11848587137392622
154,Monoculture,50,1,0.11486836843203936
154,Monoculture,50,2,0.11347630230003188
154,Monoculture,50,3,0.11437542137099721
154,Monoculture,50,4,0.14136745003616497
154,Monoculture,50,5,0.11631870200888547
154,Monoculture,50,6,0.11013001462198992
154,Monoculture,50,7,0.11584286414273524
154,Monoculture,50,8,0.1207553988124425
154,Monoculture,50,9,0.0956239119173761
154,Coculture,50,0,0.11644100918089109
