##culture:mono#seed:56#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
mono,0,0,0,Escherichia coli,E0c0,0.0,10.0,1.0,1000.0,1000.0,0.0
mono,0,0,1,Escherichia coli,E0c0,0.0671853272472443,0.06737946805099602,1.0,999.5067032497818,995.0672574978179,4.982044677204266
mono,0,0,2,Escherichia coli,E0c0,995.1343547673422,5.783866679499471e-11,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E3c0,1.0,0.0,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.0410551097734497,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E5c0,1.0,0.0,1.0939523724650904,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,1,1,Escherichia coli,E0c0,3.3429656736963254,3.3525812541738857,1.0,1425.3331683838278,753.3329663381433,754.1335600734897
mono,0,1,1,Escherichia coli,E1c0,0.0033593108887067856,0.003368973483944803,1.0,1425.3331683838278,753.3329663381433,754.1335600734897
mono,0,1,1,Escherichia coli,E2c0,0.0033593108887067856,0.003368973483944803,1.0,1425.3331683838278,753.3329663381433,754.1335600734897
mono,0,1,1,Escherichia coli,E3c0,0.0033593108887067856,0.003368973483944803,1.0,1425.3331683838278,753.3329663381433,754.1335600734897
mono,0,1,1,Escherichia coli,E4c0,0.0037851654902222305,0.004103287104234054,1.0410551097734497,1425.3331683838278,753.3329663381433,754.1335600734897
mono,0,1,1,Escherichia coli,E5c0,0.004353846604161275,0.005175961930719931,1.0939523724650904,1425.3331683838278,753.3329663381433,754.1335600734897
mono,0,1,2,Escherichia coli,E0c0,991.1969893274793,1.444116522612688e-10,1.0,899.99981100002,4.995889127266454e-19,1009.9997879000234
mono,0,1,2,Escherichia coli,E1c0,1.006092277420668,1.451177453585876e-13,1.0,899.99981100002,4.995889127266454e-19,1009.9997879000234
mono,0,1,2,Escherichia coli,E2c0,1.006092277420668,1.451177453585876e-13,1.0,899.99981100002,4.995889127266454e-19,1009.9997879000234
mono,0,1,2,Escherichia coli,E3c0,1.006092277420668,1.451177453585876e-13,1.0,899.99981100002,4.995889127266454e-19,1009.9997879000234
mono,0,1,2,Escherichia coli,E4c0,1.1560696856483805,3.519567020291e-13,1.0410551097734497,899.99981100002,4.995889127266454e-19,1009.9997879000234
mono,0,1,2,Escherichia coli,E5c0,1.3616027995072122,1.0041525022331614e-12,1.0939523724650904,899.99981100002,4.995889127266454e-19,1009.9997879000234
