##culture:mono#seed:56#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
culture,rep,cycle,tol_time
mono,0,0,2.4000000000000004
mono,0,1,2.5
mono,0,2,2.6
mono,0,3,2.7
mono,0,4,2.7
mono,0,5,2.8000000000000003
mono,0,6,3.0
mono,0,7,3.0
mono,0,8,3.3000000000000003
mono,0,9,3.4000000000000004
mono,1,0,2.4000000000000004
mono,1,1,2.4000000000000004
mono,1,2,2.6
mono,1,3,2.8000000000000003
mono,1,4,2.9000000000000004
mono,1,5,2.9000000000000004
mono,1,6,3.1
mono,1,7,3.2
mono,1,8,3.3000000000000003
mono,1,9,3.8000000000000003
mono,2,0,2.4000000000000004
mono,2,1,2.4000000000000004
mono,2,2,2.6
mono,2,3,2.6
mono,2,4,2.8000000000000003
mono,2,5,2.9000000000000004
mono,2,6,3.0
mono,2,7,3.3000000000000003
mono,2,8,3.6
mono,2,9,3.6
mono,3,0,2.4000000000000004
mono,3,1,2.4000000000000004
mono,3,2,2.6
mono,3,3,2.9000000000000004
mono,3,4,3.1
mono,3,5,3.3000000000000003
mono,3,6,3.0
mono,3,7,3.0
mono,3,8,3.2
mono,3,9,3.4000000000000004
mono,4,0,2.4000000000000004
mono,4,1,2.4000000000000004
mono,4,2,2.5
mono,4,3,2.7
mono,4,4,3.0
mono,4,5,3.1
mono,4,6,2.9000000000000004
mono,4,7,3.3000000000000003
mono,4,8,3.3000000000000003
mono,4,9,3.5
mono,5,0,2.4000000000000004
mono,5,1,2.5
mono,5,2,2.6
mono,5,3,2.9000000000000004
mono,5,4,2.8000000000000003
mono,5,5,2.9000000000000004
mono,5,6,2.9000000000000004
mono,5,7,3.1
mono,5,8,3.2
mono,5,9,3.6
mono,6,0,2.4000000000000004
mono,6,1,2.5
mono,6,2,2.7
mono,6,3,2.8000000000000003
mono,6,4,3.2
mono,6,5,3.2
mono,6,6,3.2
mono,6,7,3.7
mono,6,8,3.8000000000000003
mono,6,9,4.2
mono,7,0,2.4000000000000004
mono,7,1,2.5
mono,7,2,2.7
mono,7,3,2.8000000000000003
mono,7,4,3.1
mono,7,5,2.9000000000000004
mono,7,6,2.9000000000000004
mono,7,7,3.1
mono,7,8,3.3000000000000003
mono,7,9,3.3000000000000003
mono,8,0,2.4000000000000004
mono,8,1,2.5
mono,8,2,2.6
mono,8,3,2.8000000000000003
mono,8,4,3.2
mono,8,5,3.4000000000000004
mono,8,6,3.2
mono,8,7,3.1
mono,8,8,3.3000000000000003
mono,8,9,3.6
mono,9,0,2.4000000000000004
mono,9,1,2.6
mono,9,2,2.8000000000000003
mono,9,3,2.9000000000000004
mono,9,4,3.4000000000000004
mono,9,5,3.4000000000000004
mono,9,6,3.4000000000000004
mono,9,7,3.3000000000000003
mono,9,8,3.3000000000000003
mono,9,9,3.8000000000000003
