##culture:co#seed:685#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013792482360547491,5
co,0,1,0.0144392865754701,5
co,0,2,0.015155716472085988,5
co,0,3,0.016030037317039652,5
co,0,4,0.017724170795926263,5
co,0,5,0.022055909806243185,5
co,0,6,0.040401649650804936,5
co,0,7,0.11630179147409005,5
co,0,8,0.2079545018944046,5
co,0,9,0.26310272499799237,5
co,1,0,0.013889927080179588,5
co,1,1,0.014734389107006389,5
co,1,2,0.01596565815540345,5
co,1,3,0.017725526994372028,5
co,1,4,0.02073257525419383,5
co,1,5,0.027313331016244547,5
co,1,6,0.045761308338720774,5
co,1,7,0.10612964301275851,5
co,1,8,0.1781633719478304,5
co,1,9,0.20655464498544732,5
co,2,0,0.01370706030047225,5
co,2,1,0.014029001457624793,5
co,2,2,0.015035647426251283,5
co,2,3,0.016489293798389548,5
co,2,4,0.01922745832869093,5
co,2,5,0.024325408786142748,5
co,2,6,0.03382189334420586,5
co,2,7,0.05600114097892004,5
co,2,8,0.11005359555578743,5
co,2,9,0.17395528426699325,5
co,3,0,0.014152446441086703,5
co,3,1,0.014862167404418468,5
co,3,2,0.016301366904423936,5
co,3,3,0.01889458839093343,5
co,3,4,0.023665460018447767,5
co,3,5,0.032130868287713915,5
co,3,6,0.045834886525329153,5
co,3,7,0.06437394143917372,5
co,3,8,0.08626379116039437,5
co,3,9,0.12333936341792552,5
co,4,0,0.013838958178315562,5
co,4,1,0.01451976834398603,5
co,4,2,0.015677303272161006,5
co,4,3,0.017389828314751773,5
co,4,4,0.020588010784842414,5
co,4,5,0.0259391815498459,5
co,4,6,0.03582084038623612,5
co,4,7,0.054112084873279,5
co,4,8,0.0904387251609824,5
co,4,9,0.14257936075775107,5
co,5,0,0.014053958093216457,5
co,5,1,0.014982842149301841,5
co,5,2,0.016437218445322366,5
co,5,3,0.01879505730525882,5
co,5,4,0.023658587810278513,5
co,5,5,0.033710586605124326,5
co,5,6,0.057047680374551754,5
co,5,7,0.1090169323163929,5
co,5,8,0.1789609698942697,5
co,5,9,0.22249981173610017,5
co,6,0,0.013807750852312431,5
co,6,1,0.014029608848772284,5
co,6,2,0.014606236046677736,5
co,6,3,0.015400060902706453,5
co,6,4,0.016264562577204926,5
co,6,5,0.017613913851523468,5
co,6,6,0.020492722437247066,5
co,6,7,0.027896267950597527,5
co,6,8,0.05802131847905587,5
co,6,9,0.15486342643530268,5
co,7,0,0.014005350334900654,5
co,7,1,0.014427109253951196,5
co,7,2,0.01528291638275733,5
co,7,3,0.016606413150732167,5
co,7,4,0.019003563324709313,5
co,7,5,0.024972925598468792,5
co,7,6,0.058136535808757536,5
co,7,7,0.16744506338901693,5
co,7,8,0.2231639620007377,5
co,7,9,0.24130794242651307,5
co,8,0,0.013916552797910089,5
co,8,1,0.014539479577252497,5
co,8,2,0.01543472215393646,5
co,8,3,0.017149280331290463,5
co,8,4,0.02284267945424932,5
co,8,5,0.061264059147878414,5
co,8,6,0.1792669004410256,5
co,8,7,0.22871304909883095,5
co,8,8,0.24780132572829466,5
co,8,9,0.27409610904490894,5
co,9,0,0.013688093604582856,5
co,9,1,0.01413360652024685,5
co,9,2,0.01458332821669894,5
co,9,3,0.01531469011694056,5
co,9,4,0.016620960336591238,5
co,9,5,0.02234295599132001,5
co,9,6,0.06826166012277249,5
co,9,7,0.19008171097563273,5
co,9,8,0.23369711076420435,5
co,9,9,0.24955216836951857,5
