##culture:mono#seed:685#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
mono,0,0,0.013790318148546503,5
mono,0,1,0.015973545369608162,5
mono,0,2,0.02692333854074242,5
mono,0,3,0.06158776412498414,5
mono,0,4,0.09579856016268903,5
mono,0,5,0.11301217815821803,5
mono,0,6,0.1357379910562813,5
mono,0,7,0.17587625104855942,5
mono,0,8,0.21456034273305385,5
mono,0,9,0.24188153043145985,5
mono,1,0,0.01393211705138693,5
mono,1,1,0.01614206212160547,5
mono,1,2,0.027556656732644305,5
mono,1,3,0.06639310861277539,5
mono,1,4,0.1076201067829782,5
mono,1,5,0.1352093207160024,5
mono,1,6,0.17041595778874613,5
mono,1,7,0.20452217460928312,5
mono,1,8,0.224734921894754,5
mono,1,9,0.23732645272613082,5
mono,2,0,0.013740993427208593,5
mono,2,1,0.014658232306322926,5
mono,2,2,0.01809529169990677,5
mono,2,3,0.03228262054617063,5
mono,2,4,0.07044558972148972,5
mono,2,5,0.1080721119998309,5
mono,2,6,0.13245904345112686,5
mono,2,7,0.1586597086711749,5
mono,2,8,0.1849489889603076,5
mono,2,9,0.20408526475520866,5
mono,3,0,0.013861308161825996,5
mono,3,1,0.01634775877390104,5
mono,3,2,0.03167763107715895,5
mono,3,3,0.07956596770010231,5
mono,3,4,0.11408072029716859,5
mono,3,5,0.13045206143754362,5
mono,3,6,0.1516439703781037,5
mono,3,7,0.18300323538027888,5
mono,3,8,0.21482593383207843,5
mono,3,9,0.2406372385733958,5
mono,4,0,0.01379299566937488,5
mono,4,1,0.016073768693932663,5
mono,4,2,0.03128131230622618,5
mono,4,3,0.08080436850354034,5
mono,4,4,0.1166970310605163,5
mono,4,5,0.13808708377047804,5
mono,4,6,0.17472865535033547,5
mono,4,7,0.21817242035397544,5
mono,4,8,0.24587613669313774,5
mono,4,9,0.2621413272303566,5
mono,5,0,0.013878599491354152,5
mono,5,1,0.01611103131581808,5
mono,5,2,0.02962935287500833,5
mono,5,3,0.07449510818696958,5
mono,5,4,0.11137288792888053,5
mono,5,5,0.13155140394816522,5
mono,5,6,0.1610453168954777,5
mono,5,7,0.19657088314968674,5
mono,5,8,0.22337811143796682,5
mono,5,9,0.2477135469334069,5
mono,6,0,0.013727409316604908,5
mono,6,1,0.014665088575103489,5
mono,6,2,0.018491133584109042,5
mono,6,3,0.033422653278991646,5
mono,6,4,0.06843983180251619,5
mono,6,5,0.10539896725002727,5
mono,6,6,0.14179063470170386,5
mono,6,7,0.18020473442542942,5
mono,6,8,0.20637815261271245,5
mono,6,9,0.22278171035851724,5
mono,7,0,0.013896200406561136,5
mono,7,1,0.01655684655513329,5
mono,7,2,0.03259055125878808,5
mono,7,3,0.08125052976663093,5
mono,7,4,0.1203176250730952,5
mono,7,5,0.15004012427718574,5
mono,7,6,0.18693901802250212,5
mono,7,7,0.22098278559389403,5
mono,7,8,0.24995011646637,5
mono,7,9,0.2769561463316967,5
mono,8,0,0.013871503564887122,5
mono,8,1,0.01622824722963314,5
mono,8,2,0.03055595202568681,5
mono,8,3,0.07819135410293901,5
mono,8,4,0.12196708182277342,5
mono,8,5,0.1565754889976404,5
mono,8,6,0.1920685001371103,5
mono,8,7,0.21470334512562628,5
mono,8,8,0.2284004274351568,5
mono,8,9,0.24219419459277824,5
mono,9,0,0.013808715107231948,5
mono,9,1,0.015534732790530793,5
mono,9,2,0.024546020006452857,5
mono,9,3,0.05879571121473491,5
mono,9,4,0.09980287475498179,5
mono,9,5,0.1207418704356959,5
mono,9,6,0.1449368371609167,5
mono,9,7,0.1798233849434211,5
mono,9,8,0.20878729610109414,5
mono,9,9,0.22675955739052156,5
