culture,rep,phase0_length,frac
Monoculture,0,1,0.1196228929929772
Coculture,0,1,0.12264806884671156
Monoculture,1,1,0.1918883387407105
Coculture,1,1,0.177633229244857
Monoculture,2,1,0.12267367244116266
Coculture,2,1,0.10274098254116022
Monoculture,3,1,0.1259833538136322
Coculture,3,1,0.12312024606294118
Monoculture,4,1,0.13216477175984812
Coculture,4,1,0.12006048975169946
Monoculture,5,1,0.12409304717856093
Coculture,5,1,0.13982469710224743
Monoculture,6,1,0.14505935490337338
Coculture,6,1,0.14321008204471056
Monoculture,7,1,0.1518141949850412
Coculture,7,1,0.12140255830308698
Monoculture,8,1,0.09650884378240843
Coculture,8,1,0.1614752218797295
Monoculture,9,1,0.13631561154793853
Coculture,9,1,0.10375224212285428
Monoculture,0,2,0.14872906114794304
Coculture,0,2,0.16790173891511143
Monoculture,1,2,0.1265669026874935
Coculture,1,2,0.19158821352101893
Monoculture,2,2,0.15726477095746358
Coculture,2,2,0.18347507292141502
Monoculture,3,2,0.14180120301747587
Coculture,3,2,0.11485646458219588
Monoculture,4,2,0.19518853881240827
Coculture,4,2,0.2386286202151494
Monoculture,5,2,0.13608078750447514
Coculture,5,2,0.1454010040033485
Monoculture,6,2,0.1388644821849162
Coculture,6,2,0.19550437714694593
Monoculture,7,2,0.14355378239671998
Coculture,7,2,0.13227135951022206
Monoculture,8,2,0.10993617414478486
Coculture,8,2,0.22732834318058995
Monoculture,9,2,0.13832845533812915
Coculture,9,2,0.14337539636994912
Monoculture,0,3,0.18856690068204257
Coculture,0,3,0.17220344723516395
Monoculture,1,3,0.1605444273735511
Coculture,1,3,0.14682470870988495
Monoculture,2,3,0.14233160958789592
Coculture,2,3,0.22556791770241436
Monoculture,3,3,0.1422482273739305
Coculture,3,3,0.1599934751517561
Monoculture,4,3,0.17444293411153236
Coculture,4,3,0.16544372995269005
Monoculture,5,3,0.16423588940778083
Coculture,5,3,0.2239751562756757
Monoculture,6,3,0.1705473185921245
Coculture,6,3,0.14608070833336959
Monoculture,7,3,0.17282335397823623
Coculture,7,3,0.18468888402293693
Monoculture,8,3,0.20687016343290862
Coculture,8,3,0.16443355425113565
Monoculture,9,3,0.17938998895261923
Coculture,9,3,0.1582519340041117
Monoculture,0,4,0.1688198270946219
Coculture,0,4,0.20783543458135556
Monoculture,1,4,0.18401026706993137
Coculture,1,4,0.18266437816310416
Monoculture,2,4,0.18008424367259598
Coculture,2,4,0.19924369164023906
Monoculture,3,4,0.17870697151955453
Coculture,3,4,0.17015651341795865
Monoculture,4,4,0.20183363300358928
Coculture,4,4,0.2018257721180948
Monoculture,5,4,0.19409723139096446
Coculture,5,4,0.19130452336626702
Monoculture,6,4,0.22355677077337954
Coculture,6,4,0.18429256407346276
Monoculture,7,4,0.16598199029793442
Coculture,7,4,0.20365237186903615
Monoculture,8,4,0.2404099706101098
Coculture,8,4,0.26986918345716104
Monoculture,9,4,0.15213794105450537
Coculture,9,4,0.1902245147761286
Monoculture,0,5,0.20767755959011225
Coculture,0,5,0.21070432947181378
Monoculture,1,5,0.18632234602393458
Coculture,1,5,0.23663469918370778
Monoculture,2,5,0.21595874461073306
Coculture,2,5,0.19302406827916463
Monoculture,3,5,0.19716891641834197
Coculture,3,5,0.2282725200164427
Monoculture,4,5,0.18825684180253602
Coculture,4,5,0.21131823317388435
Monoculture,5,5,0.18748825182906795
Coculture,5,5,0.19372019867071313
Monoculture,6,5,0.2343312139682988
Coculture,6,5,0.1972326355854904
Monoculture,7,5,0.2186554813087298
Coculture,7,5,0.1523228248923967
Monoculture,8,5,0.20016115519183753
Coculture,8,5,0.24846033211101762
Monoculture,9,5,0.20162378850635393
Coculture,9,5,0.17142472662820657
Monoculture,0,6,0.20217462933912989
Coculture,0,6,0.22331706524304845
Monoculture,1,6,0.21575249241645328
Coculture,1,6,0.20157535786633735
Monoculture,2,6,0.19149126343625653
Coculture,2,6,0.20945743432145025
Monoculture,3,6,0.21188126224611362
Coculture,3,6,0.24408059345226224
Monoculture,4,6,0.21242782999508736
Coculture,4,6,0.1678435038175799
Monoculture,5,6,0.21651594568164179
Coculture,5,6,0.19447266025145737
Monoculture,6,6,0.20321382041268451
Coculture,6,6,0.2048251166072966
Monoculture,7,6,0.22080865537326985
Coculture,7,6,0.201002664866111
Monoculture,8,6,0.18325144303871993
Coculture,8,6,0.1966693820625358
Monoculture,9,6,0.2283690866061028
Coculture,9,6,0.16587019668215444
Monoculture,0,7,0.22824567184613417
Coculture,0,7,0.21060782864764616
Monoculture,1,7,0.23028262039493247
Coculture,1,7,0.22222491179673584
Monoculture,2,7,0.20541614171631223
Coculture,2,7,0.20230619192219992
Monoculture,3,7,0.2577526344016166
Coculture,3,7,0.20025441379087877
Monoculture,4,7,0.22832539360342485
Coculture,4,7,0.23830374766305654
Monoculture,5,7,0.20104551754870645
Coculture,5,7,0.21970836823779427
Monoculture,6,7,0.2095747440095111
Coculture,6,7,0.19641536257295725
Monoculture,7,7,0.20228288493352747
Coculture,7,7,0.2309172542567583
Monoculture,8,7,0.20698899220724828
Coculture,8,7,0.1826675878002364
Monoculture,9,7,0.16914294797064033
Coculture,9,7,0.1654214918704136
Monoculture,0,8,0.21654608242485388
Coculture,0,8,0.21135636206184094
Monoculture,1,8,0.21295143468765865
Coculture,1,8,0.22664810950114128
Monoculture,2,8,0.2048532523957103
Coculture,2,8,0.2279948999283779
Monoculture,3,8,0.20681844658726195
Coculture,3,8,0.1969881925392015
Monoculture,4,8,0.20926637608129703
Coculture,4,8,0.21362902408864118
Monoculture,5,8,0.16990396967300364
Coculture,5,8,0.20647301344338181
Monoculture,6,8,0.26821092539059493
Coculture,6,8,0.2198961126245889
Monoculture,7,8,0.18754165935361983
Coculture,7,8,0.2327242368902862
Monoculture,8,8,0.23874813494599212
Coculture,8,8,0.16862511745032843
Monoculture,9,8,0.156809654190212
Coculture,9,8,0.22451684982766756
Monoculture,0,9,0.23575593798547928
Coculture,0,9,0.2106867506436358
Monoculture,1,9,0.23207009183380797
Coculture,1,9,0.22326747206281208
Monoculture,2,9,0.20352698397813465
Coculture,2,9,0.24337817790149424
Monoculture,3,9,0.12359454900090974
Coculture,3,9,0.21493217226462571
Monoculture,4,9,0.22006235403237148
Coculture,4,9,0.2357702556573324
Monoculture,5,9,0.13830656870285524
Coculture,5,9,0.1884619103664873
Monoculture,6,9,0.1958300710939589
Coculture,6,9,0.238000247642878
Monoculture,7,9,0.20711164438307494
