##culture:co#seed:635#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
co,0,0,0,Escherichia coli,E0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,0,Salmonella enterica,S0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,1,Escherichia coli,E0c0,3.501995299096506,3.385818226363631,1.0,53.1044804991276,752.1938968399464,593.251945703022
co,0,0,1,Salmonella enterica,S0c0,1.9098253091963928,0.3802948583790167,1.0,53.1044804991276,752.1938968399464,593.251945703022
co,0,0,2,Escherichia coli,E0c0,991.8876020959715,4.8144879217782234e-14,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.8449225508224076,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.5243311841315914,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E3c0,1.0,0.0,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.0657470179352353,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E5c0,1.0,0.0,1.6733261938160289,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E6c0,1.0,0.0,1.291288343775905,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E7c0,1.0,0.0,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E8c0,1.0,0.0,1.5928210092153932,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E9c0,1.0,0.0,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E10c0,1.0,0.0,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E11c0,1.0,0.0,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E12c0,1.0,0.0,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E13c0,1.0,0.0,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E14c0,1.0,0.0,1.125581806772932,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Escherichia coli,E15c0,1.0,0.0,1.1983846965133282,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Salmonella enterica,S0c0,504.2900136385719,5.4077264948751334e-15,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Salmonella enterica,S1c0,1.0,0.0,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Salmonella enterica,S2c0,1.0,0.0,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,0,2,Salmonella enterica,S3c0,1.0,0.0,1.0,688.7998553520337,-3.480438397774376e-36,1.341758428999679e-25
co,0,1,1,Escherichia coli,E0c0,4.988990158885987,4.994747488348701,1.0,763.4379331459741,629.2849269315916,11.717701473682059
