##culture:co#seed:933#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
co,0,0,0,Escherichia coli,E0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,0,Salmonella enterica,S0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,1,Escherichia coli,E0c0,0.003519295137515813,0.0003085245113542607,1.0,11.624000493194151,1459.2395343466735,22.962839827133553
co,0,0,1,Salmonella enterica,S0c0,0.06582284209024435,0.0003085245113542607,1.0,11.624000493194151,1459.2395343466735,22.962839827133553
co,0,0,2,Escherichia coli,E0c0,991.003617818871,6.066715875397438e-19,1.0,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.8493349508458923,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.0,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Escherichia coli,E3c0,1.0,0.0,1.0,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.050994074778037,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Escherichia coli,E5c0,1.0,0.0,1.0,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Escherichia coli,E6c0,1.0,0.0,1.9220415138430285,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Escherichia coli,E7c0,1.0,0.0,2.03463755660444,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Escherichia coli,E8c0,1.0,0.0,1.0,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Escherichia coli,E9c0,1.0,0.0,1.0,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Salmonella enterica,S0c0,500.0660253027259,6.066715875397438e-19,1.0,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Salmonella enterica,S1c0,1.0,0.0,1.0,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Salmonella enterica,S2c0,1.0,0.0,1.0,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Salmonella enterica,S3c0,1.0,0.0,1.0,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Salmonella enterica,S4c0,1.0,0.0,1.0632643949939262,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,0,2,Salmonella enterica,S5c0,1.0,0.0,1.3422884251198424,688.799855352008,3.2023783536252154e-32,-3.025681594073927e-23
co,0,1,1,Escherichia coli,E0c0,0.06509836555304023,0.030574891140863272,1.0,772.7629663999326,625.0525914425888,3.4945956114313774
co,0,1,1,Escherichia coli,E1c0,0.0007411075360015912,0.0019248471674011883,1.8493349508458923,772.7629663999326,625.0525914425888,3.4945956114313774
co,0,1,1,Escherichia coli,E2c0,6.568933188792704e-05,3.085245158656082e-05,1.0,772.7629663999326,625.0525914425888,3.4945956114313774
co,0,1,1,Escherichia coli,E3c0,6.568933188792704e-05,3.085245158656082e-05,1.0,772.7629663999326,625.0525914425888,3.4945956114313774
