##culture:mono#seed:314#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
mono,0,0,0,Escherichia coli,E0c0,0.0,10.0,1.0,1000.0,1000.0,0.0
mono,0,0,1,Escherichia coli,E0c0,0.023389292847131562,2.8037752823539095e-08,1.0,1424.7511041136602,747.5116936365814,760.0131162020572
mono,0,0,2,Escherichia coli,E0c0,993.0231793160086,5.120425822045214e-15,1.0,899.9998110000313,-7.517772073043954e-27,1009.9997879000349
mono,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.7256474650018259,899.9998110000313,-7.517772073043954e-27,1009.9997879000349
mono,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.323642483016347,899.9998110000313,-7.517772073043954e-27,1009.9997879000349
mono,0,0,2,Escherichia coli,E3c0,1.0,0.0,2.0289197670356804,899.9998110000313,-7.517772073043954e-27,1009.9997879000349
mono,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.0,899.9998110000313,-7.517772073043954e-27,1009.9997879000349
mono,0,0,2,Escherichia coli,E5c0,1.0,0.0,1.7032253188978017,899.9998110000313,-7.517772073043954e-27,1009.9997879000349
mono,0,0,2,Escherichia coli,E6c0,1.0,0.0,1.0,899.9998110000313,-7.517772073043954e-27,1009.9997879000349
mono,0,0,2,Escherichia coli,E7c0,1.0,0.0,1.428667187897988,899.9998110000313,-7.517772073043954e-27,1009.9997879000349
mono,0,1,1,Escherichia coli,E0c0,0.03457375131637711,1.3910062083293082e-06,1.0,1637.5013187005904,625.0145257557689,1136.2351787491898
mono,0,1,1,Escherichia coli,E1c0,2.9148327126976274e-05,4.1323982201727095e-06,1.7256474650018259,1637.5013187005904,625.0145257557689,1136.2351787491898
mono,0,1,1,Escherichia coli,E2c0,3.094391874053115e-05,1.4586067121838053e-07,1.323642483016347,1637.5013187005904,625.0145257557689,1136.2351787491898
mono,0,1,1,Escherichia coli,E3c0,3.260434375430289e-05,2.1426484132632348e-05,2.0289197670356804,1637.5013187005904,625.0145257557689,1136.2351787491898
