culture,met,rep,frac_slope
Monoculture,0,0,0.0
Monoculture,0,1,0.0
Monoculture,0,2,0.0
Monoculture,0,3,2.6378375174398583e-10
Monoculture,0,4,0.0
Monoculture,0,5,0.04226326251244497
Monoculture,0,6,0.0
Monoculture,0,7,6.898722562906104e-10
Monoculture,0,8,0.0
Monoculture,0,9,0.0
Monoculture,5,0,0.10328459147857573
Monoculture,5,1,0.10036687133265784
Monoculture,5,2,0.10950502635365189
Monoculture,5,3,0.1102645282767762
Monoculture,5,4,0.11774032804519499
Monoculture,5,5,0.10437331144607863
Monoculture,5,6,0.0761880138065836
Monoculture,5,7,0.0605125083237151
Monoculture,5,8,0.023811735231680058
Monoculture,5,9,0.09168409882711419
Monoculture,10,0,0.14045463437541403
Monoculture,10,1,0.10262098482262749
Monoculture,10,2,0.12985226019534776
Monoculture,10,3,0.10806355045457013
Monoculture,10,4,0.12227060531126108
Monoculture,10,5,0.10819885263711937
Monoculture,10,6,0.14327026091230305
Monoculture,10,7,0.08990849179924068
Monoculture,10,8,0.10376711788534232
Monoculture,10,9,0.10615214167120633
Monoculture,15,0,0.09871259893965134
Monoculture,15,1,0.12076244771627745
Monoculture,15,2,0.12183257606453402
Monoculture,15,3,0.09704266078253199
Monoculture,15,4,0.11752122219531391
Monoculture,15,5,0.09894219602955846
Monoculture,15,6,0.12284277399077395
Monoculture,15,7,0.10317380505307651
Monoculture,15,8,0.11617335099858865
Monoculture,15,9,0.11322928926903428
Monoculture,20,0,0.12161028997542049
Monoculture,20,1,0.1217726595284345
Monoculture,20,2,0.12185277680429349
Monoculture,20,3,0.10127988520643688
Monoculture,20,4,0.10899279886904537
Monoculture,20,5,0.10952462531118581
Monoculture,20,6,0.12030942494600828
Monoculture,20,7,0.11350162566676344
Monoculture,20,8,0.1204406089548687
Monoculture,20,9,0.10739119046905435
Monoculture,25,0,0.11000840798993897
Monoculture,25,1,0.14202583543869307
Monoculture,25,2,0.1054911995186555
Monoculture,25,3,0.10434906014019102
Monoculture,25,4,0.10723553767704334
Monoculture,25,5,0.10039263951194322
Monoculture,25,6,0.11562099932445166
Monoculture,25,7,0.1273480320196823
Monoculture,25,8,0.10655366454225601
Monoculture,25,9,0.13711631040343458
Monoculture,30,0,0.13549551068727533
Monoculture,30,1,0.11466694149847499
Monoculture,30,2,0.11542758025517667
Monoculture,30,3,0.10577569662592735
Monoculture,30,4,0.1108162461975541
Monoculture,30,5,0.10982147135122376
Monoculture,30,6,0.09164164284063536
Monoculture,30,7,0.11714490437179714
Monoculture,30,8,0.1265091227428399
Monoculture,30,9,0.12775932795275222
Monoculture,35,0,0.12469581177748464
Monoculture,35,1,0.11718899176516852
Monoculture,35,2,0.11373019639859318
Monoculture,35,3,0.12328601011712843
Monoculture,35,4,0.11953465287825918
Monoculture,35,5,0.11106242321277793
Monoculture,35,6,0.11963799734299226
Monoculture,35,7,0.1157087810801307
Monoculture,35,8,0.11314488416786814
Monoculture,35,9,0.11543426047046992
Monoculture,40,0,0.11478868417437145
Monoculture,40,1,0.11993004703058507
Monoculture,40,2,0.11151590014734328
Monoculture,40,3,0.12795114629532192
Monoculture,40,4,0.11632694869144479
Monoculture,40,5,0.11840300724532402
Monoculture,40,6,0.122227479160954
Monoculture,40,7,0.11896110408457249
Monoculture,40,8,0.1218932864491932
Monoculture,40,9,0.10907619121319063
Monoculture,45,0,0.11532584544672013
Monoculture,45,1,0.10669806655292176
Monoculture,45,2,0.12247087043603791
Monoculture,45,3,0.14038146707364485
Monoculture,45,4,0.10806138687121328
Monoculture,45,5,0.11776992600049811
Monoculture,45,6,0.11356143723456638
Monoculture,45,7,0.11637770586689683
