culture,met,rep,frac_slope
mono,100,0,0.12067317686028439
mono,100,1,0.12605080018371875
mono,100,2,0.11456799441578573
mono,100,3,0.12175601062363833
mono,100,4,0.1284631360171522
mono,100,5,0.12288389785914648
mono,100,6,0.1162507429452503
mono,100,7,0.11904007128177624
mono,100,8,0.11815369729356619
mono,100,9,0.11402311142597299
mono,200,0,0.11940839313441909
mono,200,1,0.1177730205972495
mono,200,2,0.11959533093456642
mono,200,3,0.13591164030135405
mono,200,4,0.11682111383458658
mono,200,5,0.12217949042937448
mono,200,6,0.11848853150736198
mono,200,7,0.116032558446054
mono,200,8,0.1160012216859713
mono,200,9,0.11516385584161098
mono,300,0,0.1334930236887272
mono,300,1,0.11412530068853337
mono,300,2,0.11246666082739976
mono,300,3,0.12292864685304432
mono,300,4,0.11730303814068356
mono,300,5,0.1198440167788833
mono,300,6,0.11473468212684446
mono,300,7,0.1209117799343772
mono,300,8,0.12443834697315828
mono,300,9,0.11754612297992792
mono,400,0,0.12829841840114975
mono,400,1,0.120734785908236
mono,400,2,0.13305381960457305
mono,400,3,0.12422928744648751
mono,400,4,0.11487104261706498
mono,400,5,0.1090253997233327
mono,400,6,0.11368136462005353
mono,400,7,0.1175145177670292
mono,400,8,0.11735788288489264
mono,400,9,0.11805316051274757
mono,600,0,0.1217466626106584
mono,600,1,0.12067879434761121
mono,600,2,0.13166218791112663
mono,600,3,0.11225235788956597
mono,600,4,0.11871091666960001
mono,600,5,0.11746177223858918
mono,600,6,0.12854847369474284
mono,600,7,0.1134530760644593
mono,600,8,0.1163662813602886
mono,600,9,0.11375645394480238
mono,700,0,0.11457899052362908
mono,700,1,0.11321989874975678
mono,700,2,0.10772406793708225
mono,700,3,0.12457904773875031
mono,700,4,0.11698548304654723
mono,700,5,0.10946627637493399
mono,700,6,0.1267094285536006
mono,700,7,0.1190250347695218
mono,700,8,0.12016964808911561
mono,700,9,0.14081823048614533
mono,800,0,0.11918675130209345
mono,800,1,0.11816872433360628
mono,800,2,0.13485824108815425
mono,800,3,0.11478347149248812
mono,800,4,0.11731842852383109
mono,800,5,0.12003395787297184
mono,800,6,0.11429900620625368
mono,800,7,0.11629112229735167
mono,800,8,0.11720015558162558
mono,800,9,0.10899932199035517
mono,900,0,0.1114479384257565
mono,900,1,0.11803809694270274
mono,900,2,0.1187930594241663
mono,900,3,0.1306472789797402
mono,900,4,0.11481926146318408
mono,900,5,0.11696605126221137
mono,900,6,0.11498291018401492
mono,900,7,0.11780139466144857
mono,900,8,0.11299681705470926
mono,900,9,0.11977160691294234
mono,1100,0,0.11608424661375374
mono,1100,1,0.11949828344212332
mono,1100,2,0.1224674554688619
mono,1100,3,0.11298137790888266
mono,1100,4,0.12714801434217446
mono,1100,5,0.11462843949803227
mono,1100,6,0.11718308117144809
mono,1100,7,0.11500485467925792
mono,1100,8,0.1244399287775505
mono,1100,9,0.11769050726646803
mono,1200,0,0.12053968587098422
mono,1200,1,0.11693022264178825
mono,1200,2,0.11610510441342137
mono,1200,3,0.12215832443736993
mono,1200,4,0.116585072513286
mono,1200,5,0.10949446706021636
mono,1200,6,0.12873467237436056
mono,1200,7,0.1342014947231249
mono,1200,8,0.10943379037376572
mono,1200,9,0.11826759918442993
mono,1300,0,0.11633549869811004
mono,1300,1,0.11607656185224403
mono,1300,2,0.11074366214850306
mono,1300,3,0.11520538412064932
mono,1300,4,0.11998503123182643
mono,1300,5,0.1159868810369486
mono,1300,6,0.1145891863932219
mono,1300,7,0.12443566346636327
mono,1300,8,0.129054209121361
mono,1300,9,0.11764894686335298
mono,1400,0,0.12241147055083618
mono,1400,1,0.11628247279393043
mono,1400,2,0.12077103198917333
mono,1400,3,0.1148047791146816
mono,1400,4,0.11499647461491239
mono,1400,5,0.11867508547057216
mono,1400,6,0.11833665129776635
mono,1400,7,0.11201545612735266
mono,1400,8,0.11761813147950381
mono,1400,9,0.12060216160104284
