seed,culture,rep,cycle,tol_time
733,co,0,0,4.9
733,co,0,1,4.9
733,co,0,2,4.9
733,co,0,3,4.9
733,co,0,4,5.5
733,co,0,5,5.7
733,co,0,6,5.300000000000001
733,co,0,7,5.4
733,co,0,8,5.5
733,co,0,9,5.6000000000000005
733,co,1,0,6.5
733,co,1,1,7.6000000000000005
733,co,1,2,7.7
733,co,1,3,7.9
733,co,1,4,8.1
733,co,1,5,8.200000000000001
733,co,1,6,8.4
733,co,1,7,8.5
733,co,1,8,8.5
733,co,1,9,8.6
733,co,2,0,4.9
733,co,2,1,4.9
733,co,2,2,4.9
733,co,2,3,4.9
733,co,2,4,7.1000000000000005
733,co,2,5,7.6000000000000005
733,co,2,6,9.3
733,co,2,7,9.3
733,co,2,8,9.700000000000001
733,co,2,9,10.0
733,co,3,0,4.9
733,co,3,1,4.9
733,co,3,2,4.9
733,co,3,3,4.9
733,co,3,4,4.9
733,co,3,5,4.9
733,co,3,6,4.9
733,co,3,7,4.9
733,co,3,8,4.9
733,co,3,9,4.9
733,co,4,0,4.9
733,co,4,1,4.9
733,co,4,2,4.9
733,co,4,3,4.9
733,co,4,4,4.9
733,co,4,5,5.7
733,co,4,6,5.5
733,co,4,7,5.6000000000000005
733,co,4,8,5.7
733,co,4,9,5.800000000000001
