seed,culture,rep,cycle,tol_time
733,mono,0,0,5.300000000000001
733,mono,0,1,5.300000000000001
733,mono,0,2,5.300000000000001
733,mono,0,3,5.300000000000001
733,mono,0,4,5.300000000000001
733,mono,0,5,5.300000000000001
733,mono,0,6,5.4
733,mono,0,7,5.4
733,mono,0,8,5.5
733,mono,0,9,6.2
733,mono,1,0,5.300000000000001
733,mono,1,1,5.4
733,mono,1,2,5.4
733,mono,1,3,5.4
733,mono,1,4,5.6000000000000005
733,mono,1,5,6.0
733,mono,1,6,6.6000000000000005
733,mono,1,7,7.1000000000000005
733,mono,1,8,7.300000000000001
733,mono,1,9,7.4
733,mono,2,0,5.300000000000001
733,mono,2,1,5.300000000000001
733,mono,2,2,5.4
733,mono,2,3,5.4
733,mono,2,4,5.7
733,mono,2,5,6.9
733,mono,2,6,8.6
733,mono,2,7,9.4
733,mono,2,8,9.600000000000001
733,mono,2,9,9.700000000000001
733,mono,3,0,5.300000000000001
733,mono,3,1,5.300000000000001
733,mono,3,2,5.300000000000001
733,mono,3,3,5.300000000000001
733,mono,3,4,5.4
733,mono,3,5,5.4
733,mono,3,6,5.6000000000000005
733,mono,3,7,6.7
733,mono,3,8,8.6
733,mono,3,9,9.700000000000001
733,mono,4,0,5.4
733,mono,4,1,5.4
733,mono,4,2,5.5
733,mono,4,3,6.1000000000000005
733,mono,4,4,7.5
733,mono,4,5,8.700000000000001
733,mono,4,6,9.1
733,mono,4,7,9.200000000000001
733,mono,4,8,9.200000000000001
733,mono,4,9,9.200000000000001
