seed,culture,gen,tol_time
167,co,0,3.3531553464301393
167,co,1,3.3762464922668083
167,co,2,3.383090777212193
167,co,3,3.3847561632458207
167,co,4,3.3851281657053174
167,co,5,3.385208139422921
167,co,6,3.3861405237552313
167,co,7,3.3863384540701875
167,co,8,3.386505154888152
167,co,9,3.744722589130687
167,co,10,3.874896517571287
167,co,11,3.9511274514377233
167,co,12,4.0118188981155845
167,co,13,4.063592251133195
167,co,14,4.107569354133742
167,co,15,4.14436477821587
167,co,16,4.174723830399992
167,co,17,4.199650469432762
167,co,18,4.235365354710125
167,co,19,4.276240170654656
