seed,culture,rep,gen,tol_time
77,co,0,0,3.3517512783592016
77,co,0,1,3.3648564561406515
77,co,0,2,3.3670414140730562
77,co,0,3,3.367354403371956
77,co,0,4,3.367396755536883
77,co,0,5,3.36740235832149
77,co,0,6,3.36740309311973
77,co,0,7,3.3674031891731704
77,co,0,8,3.3674032017143154
77,co,0,9,3.3674032033508348
77,co,0,10,3.3674032035642942
77,co,0,11,3.367403203592257
77,co,0,12,3.36740320359585
77,co,0,13,3.367403203596261
77,co,0,14,3.367403203596309
77,co,0,15,3.3701750263876984
77,co,0,16,3.371909793867543
77,co,0,17,3.3743283204351235
77,co,0,18,3.377957710163714
77,co,0,19,3.38339199751525
77,co,1,0,3.3517512783592016
77,co,1,1,3.3648564561406515
77,co,1,2,3.3670414140730562
77,co,1,3,3.367354403371956
77,co,1,4,3.3691698559330017
77,co,1,5,3.369881811501289
77,co,1,6,3.370679073109504
77,co,1,7,3.3717025520836046
77,co,1,8,3.6204981368700264
77,co,1,9,3.7206298311611685
77,co,1,10,3.7856836245614165
77,co,1,11,3.8376035992685322
77,co,1,12,3.8788192210680377
77,co,1,13,3.911190046283656
77,co,1,14,3.936700228710539
77,co,1,15,3.958681003073306
77,co,1,16,3.9762542150890066
77,co,1,17,3.990945412526569
77,co,1,18,4.003486641454282
77,co,1,19,4.014349284339469
77,co,2,0,3.3517512783592016
77,co,2,1,3.3648564561406515
77,co,2,2,3.3670414140730562
77,co,2,3,3.367354403371956
77,co,2,4,3.367396755536883
77,co,2,5,3.36740235832149
77,co,2,6,3.36740309311973
77,co,2,7,3.3674031891731704
77,co,2,8,3.3674032017143154
77,co,2,9,3.3674032033508348
77,co,2,10,3.3674032035642942
77,co,2,11,3.367403203592257
77,co,2,12,3.7623931001404585
77,co,2,13,3.9273095355163337
77,co,2,14,4.04493410257305
77,co,2,15,4.123299119906131
77,co,2,16,4.170484539031242
77,co,2,17,4.196091873970472
77,co,2,18,4.209572382166594
77,co,2,19,4.21655553542448
77,co,3,0,3.3517512783592016
77,co,3,1,3.3648564561406515
77,co,3,2,3.3670414140730562
77,co,3,3,3.367354403371956
77,co,3,4,3.367396755536883
77,co,3,5,3.3703638907518907
77,co,3,6,3.3723584637043813
77,co,3,7,3.3752385526433724
77,co,3,8,3.3796859648805753
77,co,3,9,3.3865226744481243
77,co,3,10,3.396861444800104
77,co,3,11,3.412101721464994
77,co,3,12,3.4368827240890525
77,co,3,13,3.467105944681288
77,co,3,14,3.414288215629649
77,co,3,15,3.445368400044594
77,co,3,16,3.4638485927284743
77,co,3,17,3.4858769593477907
77,co,3,18,3.5139906831086196
77,co,3,19,3.548778646237971
77,co,4,0,3.3517512783592016
77,co,4,1,3.3648564561406515
77,co,4,2,3.3670414140730562
77,co,4,3,3.3677959605129226
77,co,4,4,3.3679023073946555
77,co,4,5,3.36794784935985
77,co,4,6,3.367987577703507
77,co,4,7,3.3680288820161888
77,co,4,8,3.3680728858051188
77,co,4,9,3.368119901135149
77,co,4,10,3.3681701439703895
77,co,4,11,3.36822382813212
77,co,4,12,3.368281178010362
77,co,4,13,3.3683424306748764
77,co,4,14,3.3684078365799013
77,co,4,15,3.368477660073177
77,co,4,16,3.3685521798534737
77,co,4,17,3.3686316893902046
77,co,4,18,3.368716497299035
77,co,4,19,3.3688069276580115
77,co,5,0,3.3517512783592016
77,co,5,1,3.3648564561406515
77,co,5,2,3.3670414140730562
77,co,5,3,3.367354403371956
77,co,5,4,3.367396755536883
77,co,5,5,3.36740235832149
77,co,5,6,3.36740309311973
77,co,5,7,3.3674031891731704
77,co,5,8,3.3674032017143154
77,co,5,9,3.3674032033508348
77,co,5,10,3.3674032035642942
77,co,5,11,3.367403203592257
77,co,5,12,3.36740320359585
77,co,5,13,3.367403203596261
77,co,5,14,3.367403203596309
77,co,5,15,3.369373002943759
77,co,5,16,3.3702405898820165
77,co,5,17,3.3712656580963856
77,co,5,18,3.3726248650320008
77,co,5,19,3.3744420926684566
77,co,6,0,3.3517512783592016
77,co,6,1,3.3648564561406515
77,co,6,2,3.3670414140730562
77,co,6,3,3.367354403371956
77,co,6,4,3.367396755536883
77,co,6,5,3.36740235832149
77,co,6,6,3.36740309311973
77,co,6,7,3.3674031891731704
77,co,6,8,3.3674032017143154
77,co,6,9,3.3674032033508348
77,co,6,10,3.3674032035642942
77,co,6,11,3.367403203592257
77,co,6,12,3.36740320359585
77,co,6,13,3.367403203596261
77,co,6,14,3.367403203596309
77,co,6,15,3.367403203596389
77,co,6,16,3.367403203596479
77,co,6,17,3.3674032035965866
77,co,6,18,3.3674032035964205
77,co,6,19,3.3674032035964845
77,co,7,0,3.3517512783592016
77,co,7,1,3.3648564561406515
77,co,7,2,3.3670414140730562
77,co,7,3,3.367354403371956
77,co,7,4,3.3685921909555367
77,co,7,5,3.368935006280626
77,co,7,6,3.369258165817277
77,co,7,7,3.369633876287475
77,co,7,8,3.3700819510999116
77,co,7,9,3.3706170929745447
77,co,7,10,3.371255252399379
77,co,7,11,3.3720146193236213
77,co,7,12,3.3729158615331483
77,co,7,13,3.3739821756387123
77,co,7,14,3.3752391765818697
77,co,7,15,3.3767145694176834
77,co,7,16,3.378437527132278
77,co,7,17,3.3804376925132544
77,co,7,18,3.3827437301523338
77,co,7,19,3.3853813833051665
77,co,8,0,3.3517512783592016
77,co,8,1,3.3648564561406515
77,co,8,2,3.3670414140730562
77,co,8,3,3.367354403371956
77,co,8,4,3.3704341407415246
77,co,8,5,3.3725430940461885
77,co,8,6,3.3756241377174545
77,co,8,7,3.3804861859362476
77,co,8,8,3.3879912657763755
77,co,8,9,3.399439790656342
77,co,8,10,3.41643334523154
77,co,8,11,3.440644969511683
77,co,8,12,3.4731363266987354
77,co,8,13,3.5135314794802994
77,co,8,14,3.5591372495462528
77,co,8,15,3.605386257581736
77,co,8,16,3.647384188293794
77,co,8,17,3.6819159136978086
77,co,8,18,3.7079265182144843
77,co,8,19,3.7262865850887605
77,co,9,0,3.3517512783592016
77,co,9,1,3.3648564561406515
77,co,9,2,3.7151347717622563
77,co,9,3,3.8572612710936016
77,co,9,4,4.006472876354923
77,co,9,5,4.065349932464907
77,co,9,6,4.091849537297722
77,co,9,7,4.1057517552964224
77,co,9,8,4.113060894459431
77,co,9,9,4.116848297196073
77,co,9,10,4.118814082779886
77,co,9,11,4.119833063576784
77,co,9,12,4.12036123437946
77,co,9,13,4.1206352492567095
77,co,9,14,4.120777645903297
77,co,9,15,4.120851841476391
77,co,9,16,4.120890668514222
77,co,9,17,4.1209111380109595
77,co,9,18,4.120922071421252
77,co,9,19,4.120928047417192
