seed,culture,rep,cycle,tol_time
seed232,co,0,0,3.3517512783591674
seed232,co,0,1,3.3648564547136752
seed232,co,0,2,3.3670414121928056
seed232,co,0,3,3.367354401392337
seed232,co,0,4,3.367396753539035
seed232,co,0,5,3.367402356320805
seed232,co,0,6,3.367403091118464
seed232,co,0,7,3.3674031871716816
seed232,co,0,8,3.3674031997128044
seed232,co,0,9,3.367403201349354
seed232,co,0,10,3.367403201562934
seed232,co,0,11,3.367403201590676
seed232,co,0,12,3.3674032015945525
seed232,co,0,13,3.3674032015950264
seed232,co,0,14,3.369777921894258
seed232,co,0,15,3.371039184176381
seed232,co,0,16,3.3726653696406106
seed232,co,0,17,3.3749622640893624
seed232,co,0,18,3.3782154575462315
seed232,co,0,19,3.38278448053329
seed232,co,1,0,3.3517512783591674
seed232,co,1,1,3.3648564547136752
seed232,co,1,2,3.3670414121928056
seed232,co,1,3,3.367354401392337
seed232,co,1,4,3.367396753539035
seed232,co,1,5,3.367402356320805
seed232,co,1,6,3.367403091118464
seed232,co,1,7,3.3674031871716816
seed232,co,1,8,3.3674031997128044
seed232,co,1,9,3.367403201349354
seed232,co,1,10,3.367403201562934
seed232,co,1,11,3.367403201590676
seed232,co,1,12,3.3674032015945525
seed232,co,1,13,3.3674032015950264
seed232,co,1,14,3.3674032015950996
seed232,co,1,15,3.367403201594932
seed232,co,1,16,3.56976367238673
seed232,co,1,17,3.6508166559129527
seed232,co,1,18,3.699380328419944
seed232,co,1,19,3.736009878033707
seed232,co,2,0,3.3517512783591674
seed232,co,2,1,3.3648564547136752
seed232,co,2,2,3.427367507331473
seed232,co,2,3,3.473040042420354
seed232,co,2,4,3.4868279738075008
seed232,co,2,5,3.4967447955465665
seed232,co,2,6,3.5053852006113275
seed232,co,2,7,3.513040360996398
seed232,co,2,8,3.5197396380481445
seed232,co,2,9,3.5254981453907868
seed232,co,2,10,3.5303559314628132
seed232,co,2,11,3.534426225828099
seed232,co,2,12,3.53780100595585
seed232,co,2,13,3.812892604557579
seed232,co,2,14,3.918084134929944
seed232,co,2,15,3.999193685213127
seed232,co,2,16,4.066725123219687
seed232,co,2,17,4.119365697195414
seed232,co,2,18,4.157836191453611
seed232,co,2,19,4.184623640547213
seed232,co,3,0,3.3517512783591674
seed232,co,3,1,3.3648564547136752
seed232,co,3,2,3.3670414121928056
seed232,co,3,3,3.367354401392337
seed232,co,3,4,3.367396753539035
seed232,co,3,5,3.367402356320805
seed232,co,3,6,3.367403091118464
seed232,co,3,7,3.3674031871716816
seed232,co,3,8,3.3674031997128044
seed232,co,3,9,3.367403201349354
seed232,co,3,10,3.367403201562934
seed232,co,3,11,3.367403201590676
seed232,co,3,12,3.3674032015945525
seed232,co,3,13,3.3674032015950264
seed232,co,3,14,3.3674032015950996
seed232,co,3,15,3.367403201594932
seed232,co,3,16,3.367403201595076
seed232,co,3,17,3.367403201595001
seed232,co,3,18,3.367403201595039
seed232,co,3,19,3.4179274339422854
seed232,co,4,0,3.3517512783591674
seed232,co,4,1,3.7061307917741964
seed232,co,4,2,4.012385251153498
seed232,co,4,3,4.106676363924233
seed232,co,4,4,4.157561166545936
seed232,co,4,5,4.187196982982902
seed232,co,4,6,4.204706308461733
seed232,co,4,7,4.215631328248909
seed232,co,4,8,4.223109515695511
seed232,co,4,9,4.2287729841281925
seed232,co,4,10,4.233513037220907
seed232,co,4,11,4.237766116570456
seed232,co,4,12,4.241748713758774
seed232,co,4,13,4.245566382677695
seed232,co,4,14,4.249268814460897
seed232,co,4,15,4.252877914653148
seed232,co,4,16,4.256402038828735
seed232,co,4,17,4.259834697705765
seed232,co,4,18,4.263177711119247
seed232,co,4,19,4.266435705430531
