seed,culture,rep,cycle,tol_time
876,co,0,0,6.0
876,co,0,1,6.0
876,co,0,2,7.9
876,co,0,3,10.0
876,co,0,4,10.0
876,co,0,5,10.0
876,co,0,6,10.0
876,co,0,7,10.0
876,co,0,8,10.0
876,co,0,9,10.0
876,co,1,0,5.6000000000000005
876,co,1,1,6.2
876,co,1,2,6.5
876,co,1,3,6.6000000000000005
876,co,1,4,6.6000000000000005
876,co,1,5,6.7
876,co,1,6,6.7
876,co,1,7,6.7
876,co,1,8,6.7
876,co,1,9,6.7
876,co,2,0,6.0
876,co,2,1,6.0
876,co,2,2,6.0
876,co,2,3,6.0
876,co,2,4,6.0
876,co,2,5,6.0
876,co,2,6,6.0
876,co,2,7,6.0
876,co,2,8,6.0
876,co,2,9,6.0
876,co,3,0,6.0
876,co,3,1,6.0
876,co,3,2,6.0
876,co,3,3,6.0
876,co,3,4,6.0
876,co,3,5,6.0
876,co,3,6,6.0
876,co,3,7,6.0
876,co,3,8,6.0
876,co,3,9,6.800000000000001
876,co,4,0,6.0
876,co,4,1,6.0
876,co,4,2,7.4
876,co,4,3,8.1
876,co,4,4,8.5
876,co,4,5,8.5
876,co,4,6,8.5
876,co,4,7,9.8
876,co,4,8,9.200000000000001
876,co,4,9,9.3
