seed,culture,rep,cycle,tol_time
876,mono,0,0,5.300000000000001
876,mono,0,1,5.300000000000001
876,mono,0,2,5.300000000000001
876,mono,0,3,5.300000000000001
876,mono,0,4,5.300000000000001
876,mono,0,5,5.300000000000001
876,mono,0,6,5.300000000000001
876,mono,0,7,5.300000000000001
876,mono,0,8,5.300000000000001
876,mono,0,9,5.300000000000001
876,mono,1,0,5.300000000000001
876,mono,1,1,5.300000000000001
876,mono,1,2,5.300000000000001
876,mono,1,3,5.300000000000001
876,mono,1,4,5.300000000000001
876,mono,1,5,5.300000000000001
876,mono,1,6,5.300000000000001
876,mono,1,7,5.300000000000001
876,mono,1,8,5.300000000000001
876,mono,1,9,5.4
876,mono,2,0,5.300000000000001
876,mono,2,1,5.300000000000001
876,mono,2,2,5.300000000000001
876,mono,2,3,5.4
876,mono,2,4,5.4
876,mono,2,5,5.6000000000000005
876,mono,2,6,6.6000000000000005
876,mono,2,7,8.6
876,mono,2,8,9.600000000000001
876,mono,2,9,9.9
876,mono,3,0,5.300000000000001
876,mono,3,1,5.4
876,mono,3,2,5.4
876,mono,3,3,5.4
876,mono,3,4,5.6000000000000005
876,mono,3,5,6.2
876,mono,3,6,7.2
876,mono,3,7,7.9
876,mono,3,8,8.200000000000001
876,mono,3,9,8.3
876,mono,4,0,5.300000000000001
876,mono,4,1,5.300000000000001
876,mono,4,2,5.300000000000001
876,mono,4,3,5.300000000000001
876,mono,4,4,5.300000000000001
876,mono,4,5,5.300000000000001
876,mono,4,6,5.300000000000001
876,mono,4,7,5.300000000000001
876,mono,4,8,5.300000000000001
876,mono,4,9,5.4
