seed,culture,rep,cycle,tol_time
319,co,0,0,6.0
319,co,0,1,6.0
319,co,0,2,6.0
319,co,0,3,6.0
319,co,0,4,6.0
319,co,0,5,6.0
319,co,0,6,6.0
319,co,0,7,6.0
319,co,0,8,6.0
319,co,0,9,6.0
319,co,0,10,6.0
319,co,0,11,6.0
319,co,0,12,6.0
319,co,0,13,6.0
319,co,0,14,6.0
319,co,0,15,6.0
319,co,0,16,6.0
319,co,0,17,6.0
319,co,0,18,6.0
319,co,0,19,6.0
319,co,1,0,6.0
319,co,1,1,6.0
319,co,1,2,6.0
319,co,1,3,6.0
319,co,1,4,6.0
319,co,1,5,6.0
319,co,1,6,6.0
319,co,1,7,6.0
319,co,1,8,6.0
319,co,1,9,6.0
319,co,1,10,6.0
319,co,1,11,6.0
319,co,1,12,6.0
319,co,1,13,6.0
319,co,1,14,6.0
319,co,1,15,6.0
319,co,1,16,6.0
319,co,1,17,6.0
319,co,1,18,6.0
319,co,1,19,6.0
319,co,2,0,6.0
319,co,2,1,6.0
319,co,2,2,6.0
319,co,2,3,6.0
319,co,2,4,6.0
319,co,2,5,6.0
319,co,2,6,6.0
319,co,2,7,6.0
319,co,2,8,6.0
319,co,2,9,6.0
319,co,2,10,6.0
319,co,2,11,6.0
319,co,2,12,6.0
319,co,2,13,6.0
319,co,2,14,6.0
319,co,2,15,6.0
319,co,2,16,6.0
319,co,2,17,6.0
319,co,2,18,6.0
319,co,2,19,6.0
319,co,3,0,6.0
319,co,3,1,6.0
319,co,3,2,6.0
319,co,3,3,6.0
319,co,3,4,6.0
319,co,3,5,6.0
319,co,3,6,6.0
319,co,3,7,6.0
319,co,3,8,6.0
319,co,3,9,6.0
319,co,3,10,6.0
319,co,3,11,6.0
319,co,3,12,6.0
319,co,3,13,6.0
319,co,3,14,6.0
319,co,3,15,6.0
319,co,3,16,6.0
319,co,3,17,6.0
319,co,3,18,6.0
319,co,3,19,6.0
319,co,4,0,6.0
319,co,4,1,6.0
319,co,4,2,6.0
319,co,4,3,6.0
319,co,4,4,6.0
319,co,4,5,6.0
319,co,4,6,6.0
319,co,4,7,6.0
319,co,4,8,6.0
319,co,4,9,6.0
319,co,4,10,6.75
319,co,4,11,7.0
319,co,4,12,7.0
319,co,4,13,7.0
319,co,4,14,7.0
319,co,4,15,7.0
319,co,4,16,7.0
319,co,4,17,7.0
319,co,4,18,7.0
319,co,4,19,7.0
319,co,5,0,6.0
319,co,5,1,6.0
319,co,5,2,6.0
319,co,5,3,6.0
319,co,5,4,6.0
319,co,5,5,6.0
319,co,5,6,6.0
319,co,5,7,6.0
319,co,5,8,6.0
319,co,5,9,6.0
319,co,5,10,6.0
319,co,5,11,6.0
319,co,5,12,6.0
319,co,5,13,6.0
319,co,5,14,6.0
319,co,5,15,6.0
319,co,5,16,6.0
319,co,5,17,6.25
319,co,5,18,6.5
319,co,5,19,7.25
319,co,6,0,6.0
319,co,6,1,6.0
319,co,6,2,6.0
319,co,6,3,6.0
319,co,6,4,6.0
319,co,6,5,6.0
319,co,6,6,6.0
319,co,6,7,6.0
319,co,6,8,6.0
319,co,6,9,6.0
319,co,6,10,6.0
319,co,6,11,6.0
319,co,6,12,6.0
319,co,6,13,6.0
319,co,6,14,6.0
319,co,6,15,6.0
319,co,6,16,6.0
319,co,6,17,6.0
319,co,6,18,6.0
319,co,6,19,6.0
319,co,7,0,6.0
319,co,7,1,6.0
319,co,7,2,6.0
319,co,7,3,6.0
319,co,7,4,6.0
319,co,7,5,6.0
319,co,7,6,6.0
319,co,7,7,6.0
319,co,7,8,6.0
319,co,7,9,6.0
319,co,7,10,6.0
319,co,7,11,6.0
319,co,7,12,6.0
319,co,7,13,6.0
319,co,7,14,6.0
319,co,7,15,6.0
319,co,7,16,6.0
319,co,7,17,6.0
319,co,7,18,6.0
319,co,7,19,6.0
319,co,8,0,6.0
319,co,8,1,6.0
319,co,8,2,6.0
319,co,8,3,6.0
319,co,8,4,6.0
319,co,8,5,6.0
319,co,8,6,6.0
319,co,8,7,6.0
319,co,8,8,6.0
319,co,8,9,6.0
319,co,8,10,6.0
319,co,8,11,6.0
319,co,8,12,6.0
319,co,8,13,6.0
319,co,8,14,6.0
319,co,8,15,6.0
319,co,8,16,6.0
319,co,8,17,6.0
319,co,8,18,6.0
319,co,8,19,6.0
319,co,9,0,6.0
319,co,9,1,6.0
319,co,9,2,6.0
319,co,9,3,6.0
319,co,9,4,6.0
319,co,9,5,6.0
319,co,9,6,6.0
319,co,9,7,6.0
319,co,9,8,6.0
319,co,9,9,6.0
319,co,9,10,6.0
319,co,9,11,6.0
319,co,9,12,6.0
319,co,9,13,6.0
319,co,9,14,6.0
319,co,9,15,6.0
319,co,9,16,6.0
319,co,9,17,6.0
319,co,9,18,6.0
319,co,9,19,6.0
