seed,culture,rep,gen,tol_time
77,mono,0,0,2.9764551029771003
77,mono,0,1,2.9764551029771003
77,mono,0,2,2.9764551029771003
77,mono,0,3,2.9764551029771003
77,mono,0,4,2.9764551029771003
77,mono,0,5,2.9764551029771003
77,mono,0,6,2.9764551029771003
77,mono,0,7,2.9764551029771003
77,mono,0,8,2.9764551029771003
77,mono,0,9,2.9764551029771003
77,mono,0,10,2.9764551029771003
77,mono,0,11,2.9764551029771003
77,mono,0,12,2.9764551029771003
77,mono,0,13,2.9764551029771003
77,mono,0,14,2.9764551029771003
77,mono,0,15,2.9764551029771003
77,mono,0,16,2.9764551029771003
77,mono,0,17,2.9764551029771003
77,mono,0,18,2.9764551029771003
77,mono,0,19,2.9764551029771003
77,mono,1,0,2.9764551029771003
77,mono,1,1,2.9764551029771003
77,mono,1,2,2.9764551029771003
77,mono,1,3,2.9764551029771003
77,mono,1,4,2.9764551029771003
77,mono,1,5,2.9764551029771003
77,mono,1,6,2.9764551029771003
77,mono,1,7,2.9764551029771003
77,mono,1,8,2.9764551029771003
77,mono,1,9,2.9764551029771003
77,mono,1,10,2.9764551029771003
77,mono,1,11,2.9764551029771003
77,mono,1,12,2.9764551029771003
77,mono,1,13,2.9764551029771003
77,mono,1,14,2.9764551029771003
77,mono,1,15,2.9764551029771003
77,mono,1,16,2.9764551029771003
77,mono,1,17,2.9764551029771003
77,mono,1,18,2.9764551029771003
77,mono,1,19,2.9764551029771003
77,mono,2,0,2.9764551029771003
77,mono,2,1,2.9764551029771003
77,mono,2,2,2.9764551029771003
77,mono,2,3,2.9791257026841764
77,mono,2,4,2.9797571160894685
77,mono,2,5,2.980535162254627
77,mono,2,6,2.9814925032632758
77,mono,2,7,2.9826683556622866
77,mono,2,8,2.984109432285499
77,mono,2,9,2.9858708202663116
77,mono,2,10,2.988016677901401
77,mono,2,11,2.990620447045588
77,mono,2,12,2.9937646241723774
77,mono,2,13,2.997522385334795
77,mono,2,14,3.001995432561348
77,mono,2,15,3.0072831875625283
77,mono,2,16,3.013472555967972
77,mono,2,17,3.02063399761198
77,mono,2,18,3.028802779269115
77,mono,2,19,3.0379408040656113
77,mono,3,0,2.9764551029771003
77,mono,3,1,2.9764551029771003
77,mono,3,2,2.9764551029771003
77,mono,3,3,2.9764551029771003
77,mono,3,4,2.9764551029771003
77,mono,3,5,2.9764551029771003
77,mono,3,6,2.9833867549908435
77,mono,3,7,2.9884280353675705
77,mono,3,8,2.9970473374442226
77,mono,3,9,3.011564793459498
77,mono,3,10,3.0355988920000554
77,mono,3,11,3.0740300779735223
77,mono,3,12,3.1323140506875307
77,mono,3,13,3.2138169622975665
77,mono,3,14,3.3157361374818772
77,mono,3,15,3.439433445962089
77,mono,3,16,3.541481246396868
77,mono,3,17,3.6228329540677424
77,mono,3,18,3.680764427111735
77,mono,3,19,3.718791047847694
77,mono,4,0,2.9764551029771003
77,mono,4,1,2.9764551029771003
77,mono,4,2,2.9764551029771003
77,mono,4,3,2.9764551029771003
77,mono,4,4,2.9764551029771003
77,mono,4,5,2.9764551029771003
77,mono,4,6,2.9764551029771003
77,mono,4,7,2.9764551029771003
77,mono,4,8,2.9764551029771003
77,mono,4,9,2.9764551029771003
77,mono,4,10,2.9764551029771003
77,mono,4,11,2.9764551029771003
77,mono,4,12,2.9764551029771003
77,mono,4,13,2.9764551029771003
77,mono,4,14,2.9764551029771003
77,mono,4,15,2.9764551029771003
77,mono,4,16,2.9764551029771003
77,mono,4,17,2.9764551029771003
77,mono,4,18,2.9764551029771003
77,mono,4,19,2.978794270766532
77,mono,5,0,2.9764551029771003
77,mono,5,1,2.9764551029771003
77,mono,5,2,2.9764551029771003
77,mono,5,3,2.9764551029771003
77,mono,5,4,2.9764551029771003
77,mono,5,5,2.9764551029771003
77,mono,5,6,2.9764551029771003
77,mono,5,7,2.9764551029771003
77,mono,5,8,2.9764551029771003
77,mono,5,9,2.9764551029771003
77,mono,5,10,2.9764551029771003
77,mono,5,11,2.9764551029771003
77,mono,5,12,2.9764551029771003
77,mono,5,13,2.9764551029771003
77,mono,5,14,2.9764551029771003
77,mono,5,15,2.9764551029771003
77,mono,5,16,2.9764551029771003
77,mono,5,17,2.9764551029771003
77,mono,5,18,2.9764551029771003
77,mono,5,19,2.9764551029771003
77,mono,6,0,2.9764551029771003
77,mono,6,1,2.9764551029771003
77,mono,6,2,2.9764551029771003
77,mono,6,3,2.9764551029771003
77,mono,6,4,2.9764551029771003
77,mono,6,5,2.9764551029771003
77,mono,6,6,2.9764551029771003
77,mono,6,7,2.9764551029771003
77,mono,6,8,2.9764551029771003
77,mono,6,9,2.9764551029771003
77,mono,6,10,2.9764551029771003
77,mono,6,11,2.9764551029771003
77,mono,6,12,2.9764551029771003
77,mono,6,13,2.9764551029771003
77,mono,6,14,2.9764551029771003
77,mono,6,15,2.9764551029771003
77,mono,6,16,2.9764551029771003
77,mono,6,17,2.9764551029771003
77,mono,6,18,2.9764551029771003
77,mono,6,19,2.9764551029771003
77,mono,7,0,2.9764551029771003
77,mono,7,1,2.9764551029771003
77,mono,7,2,2.9764551029771003
77,mono,7,3,2.9764551029771003
77,mono,7,4,2.9764551029771003
77,mono,7,5,2.9764551029771003
77,mono,7,6,2.9764551029771003
77,mono,7,7,2.9764551029771003
77,mono,7,8,2.9764551029771003
77,mono,7,9,2.9851841287038963
77,mono,7,10,2.993929115893522
77,mono,7,11,3.0111986404346736
77,mono,7,12,3.044636554522308
77,mono,7,13,3.1070952102529987
77,mono,7,14,3.2158763731555893
77,mono,7,15,3.3840765530733057
77,mono,7,16,3.6004861594347313
77,mono,7,17,3.820380535894233
77,mono,7,18,3.9955216867594645
77,mono,7,19,4.110028833364646
77,mono,8,0,2.9764551029771003
77,mono,8,1,2.9764551029771003
77,mono,8,2,2.9764551029771003
77,mono,8,3,2.9764551029771003
77,mono,8,4,2.984734477168774
77,mono,8,5,2.9924108647900427
77,mono,8,6,3.0070160609848546
77,mono,8,7,3.0342805212883284
77,mono,8,8,3.0836509583036453
77,mono,8,9,3.1678975774599683
77,mono,8,10,3.2980494347138998
77,mono,8,11,3.4706733456715337
77,mono,8,12,3.657799488991311
77,mono,8,13,3.8205209625051744
77,mono,8,14,3.9370347296095716
77,mono,8,15,4.009480023183066
77,mono,8,16,4.050732492403796
77,mono,8,17,4.073051805423966
77,mono,8,18,4.084803145311159
77,mono,8,19,4.090914022907986
77,mono,9,0,2.9764551029771003
77,mono,9,1,2.9764551029771003
77,mono,9,2,2.9764551029771003
77,mono,9,3,2.9764551029771003
77,mono,9,4,2.9764551029771003
77,mono,9,5,2.9764551029771003
77,mono,9,6,2.9855027348259835
77,mono,9,7,2.9950760704666504
77,mono,9,8,3.0145068092567504
77,mono,9,9,3.0531521569931024
77,mono,9,10,3.12698907764116
77,mono,9,11,3.25762109681235
77,mono,9,12,3.4595135159791632
77,mono,9,13,3.7130368156236857
77,mono,9,14,3.958065353337675
77,mono,9,15,4.1410038684570125
77,mono,9,16,4.253198004390494
77,mono,9,17,4.314144989884259
77,mono,9,18,4.345117806113679
77,mono,9,19,4.360375835589506
