##culture:co#seed:331#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
culture,rep,cycle,tol_time
co,0,0,2.4000000000000004
co,0,1,2.5
co,0,2,2.7
co,0,3,3.2
co,0,4,3.7
co,0,5,3.3000000000000003
co,0,6,3.8000000000000003
co,0,7,4.2
co,0,8,4.4
co,0,9,4.9
co,1,0,2.4000000000000004
co,1,1,2.5
co,1,2,2.7
co,1,3,3.4000000000000004
co,1,4,4.1000000000000005
co,1,5,4.1000000000000005
co,1,6,4.0
co,1,7,4.3
co,1,8,4.9
co,1,9,5.2
co,2,0,2.4000000000000004
co,2,1,2.5
co,2,2,2.7
co,2,3,2.9000000000000004
co,2,4,3.0
co,2,5,3.3000000000000003
co,2,6,3.7
co,2,7,3.9000000000000004
co,2,8,4.4
co,2,9,4.6000000000000005
co,3,0,2.4000000000000004
co,3,1,2.5
co,3,2,2.7
co,3,3,2.7
co,3,4,2.8000000000000003
co,3,5,3.3000000000000003
co,3,6,3.8000000000000003
co,3,7,4.2
co,3,8,4.5
co,3,9,4.9
co,4,0,2.4000000000000004
co,4,1,2.5
co,4,2,2.8000000000000003
co,4,3,2.9000000000000004
co,4,4,3.3000000000000003
co,4,5,3.3000000000000003
co,4,6,3.7
co,4,7,4.1000000000000005
co,4,8,4.6000000000000005
co,4,9,4.9
co,5,0,2.5
co,5,1,2.6
co,5,2,3.1
co,5,3,3.8000000000000003
co,5,4,4.1000000000000005
co,5,5,4.3
co,5,6,4.6000000000000005
co,5,7,4.9
co,5,8,5.4
co,5,9,6.1000000000000005
co,6,0,2.4000000000000004
co,6,1,2.5
co,6,2,2.7
co,6,3,2.9000000000000004
co,6,4,3.5
co,6,5,4.0
co,6,6,4.4
co,6,7,4.9
co,6,8,4.7
co,6,9,5.2
co,7,0,2.4000000000000004
co,7,1,2.5
co,7,2,2.9000000000000004
co,7,3,3.4000000000000004
co,7,4,3.1
co,7,5,3.4000000000000004
co,7,6,3.8000000000000003
co,7,7,4.0
co,7,8,4.5
co,7,9,5.1000000000000005
co,8,0,2.5
co,8,1,2.7
co,8,2,2.8000000000000003
co,8,3,3.0
co,8,4,3.4000000000000004
co,8,5,3.5
co,8,6,3.9000000000000004
co,8,7,4.4
co,8,8,4.7
co,8,9,5.0
co,9,0,2.4000000000000004
co,9,1,2.5
co,9,2,3.0
co,9,3,3.2
co,9,4,3.2
co,9,5,3.3000000000000003
co,9,6,3.7
co,9,7,3.9000000000000004
co,9,8,4.6000000000000005
co,9,9,4.800000000000001
