##culture:co#seed:3#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 750, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
3,co,0,0,7.300000000000001
3,co,0,1,11.200000000000001
3,co,0,2,12.4
3,co,0,3,12.8
3,co,0,4,13.100000000000001
3,co,0,5,13.3
3,co,0,6,13.4
3,co,0,7,13.5
3,co,0,8,13.600000000000001
3,co,0,9,13.700000000000001
3,co,1,0,5.300000000000001
3,co,1,1,5.300000000000001
3,co,1,2,5.300000000000001
3,co,1,3,5.300000000000001
3,co,1,4,5.300000000000001
3,co,1,5,5.300000000000001
3,co,1,6,5.300000000000001
3,co,1,7,5.300000000000001
3,co,1,8,5.300000000000001
3,co,1,9,5.300000000000001
3,co,2,0,5.300000000000001
3,co,2,1,5.300000000000001
3,co,2,2,5.300000000000001
3,co,2,3,5.300000000000001
3,co,2,4,5.300000000000001
3,co,2,5,5.6000000000000005
3,co,2,6,6.0
3,co,2,7,6.300000000000001
3,co,2,8,6.6000000000000005
3,co,2,9,6.9
3,co,3,0,5.300000000000001
3,co,3,1,7.7
3,co,3,2,10.0
3,co,3,3,10.5
3,co,3,4,12.100000000000001
3,co,3,5,12.600000000000001
3,co,3,6,12.9
3,co,3,7,13.100000000000001
3,co,3,8,13.3
3,co,3,9,15.9
3,co,4,0,5.300000000000001
3,co,4,1,5.300000000000001
3,co,4,2,5.4
3,co,4,3,5.4
3,co,4,4,5.4
3,co,4,5,5.4
3,co,4,6,5.5
3,co,4,7,5.5
3,co,4,8,5.5
3,co,4,9,8.1
